RESULTADOS DEL MODELO: NN Custom (simple_data)
======================================================================
Accuracy General: 0.6841

Matriz de Confusión:
51 CONFIRMED (CP) 41.68%
52 CONFIRMED (CP) 74.61%
53 CANDIDATE (PC) 77.10%
54 CANDIDATE (PC) 45.47%
55 CONFIRMED (CP) 73.33%
56 CANDIDATE (PC) 70.05%
57 FALSE POSITIVE 97.13%
58 CANDIDATE (PC) 74.95%
59 CANDIDATE (PC) 77.07%
60 CANDIDATE (PC) 84.50%
61 FALSE POSITIVE 39.46%
62 CONFIRMED (CP) 45.63%
63 CONFIRMED (CP) 43.82%
64 CANDIDATE (PC) 77.04%
65 FALSE POSITIVE 97.02%
66 CANDIDATE (PC) 73.71%
67 CANDIDATE (PC) 68.93%
68 CANDIDATE (PC) 36.63%
69 CANDIDATE (PC) 75.44%
70 CANDIDATE (PC) 73.13%
71 FALSE POSITIVE 96.68%
72 CANDIDATE (PC) 71.07%
73 FALSE POSITIVE 62.98%
74 FALSE POSITIVE 55.29%
75 CONFIRMED (CP) 92.68%
76 FALSE POSITIVE 80.10%
77 CANDIDATE (PC) 77.51%
78 FALSE POSITIVE 89.49%
79 CONFIRMED (CP) 73.76%
80 CONFIRMED (CP) 36.12%
81 FALSE POSITIVE 96.28%
82 CANDIDATE (PC) 43.70%
83 FALSE POSITIVE 39.11%
84 FALSE POSITIVE 94.91%
85 FALSE POSITIVE 80.40%
86 CONFIRMED (CP) 92.82%
87 FALSE POSITIVE 97.27%
88 CANDIDATE (PC) 70.46%
89 FALSE POSITIVE 97.03%
90 CONFIRMED (CP) 47.01%
91 FALSE POSITIVE 67.98%
92 CANDIDATE (PC) 77.96%
93 CANDIDATE (PC) 45.33%
94 FALSE POSITIVE 97.15%
95 CONFIRMED (CP) 43.41%
96 CANDIDATE (PC) 70.01%
97 CONFIRMED (CP) 71.45%
98 CANDIDATE (PC) 53.28%
99 FALSE POSITIVE 60.09%
100 CONFIRMED (CP) 45.10%
101 CONFIRMED (CP) 77.51%
102 CANDIDATE (PC) 48.63%
103 CANDIDATE (PC) 77.13%
104 FALSE POSITIVE 59.79%
105 CANDIDATE (PC) 46.02%
106 CANDIDATE (PC) 55.86%
107 CANDIDATE (PC) 55.75%
108 CANDIDATE (PC) 59.37%
109 FALSE POSITIVE 36.08%
110 CANDIDATE (PC) 41.30%
111 CANDIDATE (PC) 47.30%
112 CANDIDATE (PC) 77.27%
113 CONFIRMED (CP) 74.09%
114 CANDIDATE (PC) 73.01%
115 CANDIDATE (PC) 48.11%
116 CANDIDATE (PC) 71.75%
117 CONFIRMED (CP) 73.96%
118 CANDIDATE (PC) 62.04%
119 CANDIDATE (PC) 54.67%
120 CANDIDATE (PC) 76.82%
121 CANDIDATE (PC) 49.53%
122 CANDIDATE (PC) 71.90%
123 FALSE POSITIVE 49.94%
124 CANDIDATE (PC) 67.40%
125 CANDIDATE (PC) 51.71%
126 FALSE POSITIVE 93.28%
127 CANDIDATE (PC) 69.08%
128 FALSE POSITIVE 36.60%
129 CANDIDATE (PC) 43.84%
130 CANDIDATE (PC) 73.69%
131 CONFIRMED (CP) 74.14%
132 CONFIRMED (CP) 93.29%
133 CANDIDATE (PC) 75.82%
134 CANDIDATE (PC) 59.78%
135 CONFIRMED (CP) 49.12%
136 CANDIDATE (PC) 80.18%
137 CANDIDATE (PC) 40.65%
138 CANDIDATE (PC) 78.02%
139 CONFIRMED (CP) 73.54%
140 FALSE POSITIVE 68.88%
141 CANDIDATE (PC) 74.89%
142 CONFIRMED (CP) 92.73%
143 FALSE POSITIVE 38.98%
144 FALSE POSITIVE 59.90%
145 CONFIRMED (CP) 42.41%
146 CONFIRMED (CP) 89.28%
147 FALSE POSITIVE 61.53%
148 CANDIDATE (PC) 45.28%
149 CANDIDATE (PC) 74.09%
150 CANDIDATE (PC) 77.00%
151 CANDIDATE (PC) 35.77%
152 CONFIRMED (CP) 74.13%
153 CONFIRMED (CP) 84.48%
154 CANDIDATE (PC) 71.14%
155 CONFIRMED (CP) 46.01%
156 CONFIRMED (CP) 44.39%
157 CONFIRMED (CP) 86.37%
158 CANDIDATE (PC) 50.86%
159 CONFIRMED (CP) 90.57%
160 CANDIDATE (PC) 58.30%
161 FALSE POSITIVE 62.72%
162 CANDIDATE (PC) 77.00%
163 CANDIDATE (PC) 54.69%
164 FALSE POSITIVE 95.46%
165 CANDIDATE (PC) 74.36%
166 CONFIRMED (CP) 93.10%
167 CANDIDATE (PC) 52.65%
168 CANDIDATE (PC) 69.22%
169 CANDIDATE (PC) 78.59%
170 CANDIDATE (PC) 77.09%
171 CANDIDATE (PC) 54.53%
172 CANDIDATE (PC) 77.15%
173 CANDIDATE (PC) 39.16%
174 CANDIDATE (PC) 50.36%
175 CANDIDATE (PC) 75.45%
176 CONFIRMED (CP) 90.86%
177 CONFIRMED (CP) 49.20%
178 CONFIRMED (CP) 72.91%
179 CONFIRMED (CP) 38.72%
180 CANDIDATE (PC) 74.37%
181 CANDIDATE (PC) 73.13%
182 CANDIDATE (PC) 71.59%
183 CONFIRMED (CP) 47.90%
184 CONFIRMED (CP) 69.35%
185 CANDIDATE (PC) 71.31%
186 CONFIRMED (CP) 74.75%
187 FALSE POSITIVE 94.76%
188 CANDIDATE (PC) 60.95%
189 CANDIDATE (PC) 72.61%
190 FALSE POSITIVE 41.45%
191 FALSE POSITIVE 94.78%
192 FALSE POSITIVE 75.68%
193 CANDIDATE (PC) 63.77%
194 CANDIDATE (PC) 45.53%
195 CANDIDATE (PC) 40.59%
196 CANDIDATE (PC) 78.93%
197 CONFIRMED (CP) 43.94%
198 CANDIDATE (PC) 43.54%
199 FALSE POSITIVE 97.45%
200 CANDIDATE (PC) 50.11%
201 FALSE POSITIVE 70.50%
202 FALSE POSITIVE 35.08%
203 CONFIRMED (CP) 72.48%
204 CONFIRMED (CP) 77.61%
205 CANDIDATE (PC) 76.17%
206 FALSE POSITIVE 86.72%
207 CANDIDATE (PC) 68.13%
208 CANDIDATE (PC) 51.59%
209 FALSE POSITIVE 54.74%
210 CANDIDATE (PC) 72.87%
211 FALSE POSITIVE 81.37%
212 FALSE POSITIVE 55.08%
213 CONFIRMED (CP) 50.04%
214 FALSE POSITIVE 79.57%
215 CANDIDATE (PC) 76.61%
216 CANDIDATE (PC) 49.63%
217 FALSE POSITIVE 96.48%
218 CANDIDATE (PC) 77.09%
219 CONFIRMED (CP) 71.92%
220 CANDIDATE (PC) 77.56%
221 FALSE POSITIVE 97.15%
222 CONFIRMED (CP) 90.24%
223 CONFIRMED (CP) 50.66%
224 CANDIDATE (PC) 74.45%
225 CONFIRMED (CP) 71.30%
226 CANDIDATE (PC) 44.93%
227 CANDIDATE (PC) 77.12%
228 FALSE POSITIVE 47.80%
229 CANDIDATE (PC) 54.72%
230 FALSE POSITIVE 97.44%
231 FALSE POSITIVE 91.44%
232 CANDIDATE (PC) 51.44%
233 CONFIRMED (CP) 73.95%
234 FALSE POSITIVE 52.30%
235 CONFIRMED (CP) 73.87%
236 FALSE POSITIVE 43.81%
237 FALSE POSITIVE 97.03%
238 CONFIRMED (CP) 66.44%
239 FALSE POSITIVE 73.41%
240 CANDIDATE (PC) 45.54%
241 CONFIRMED (CP) 73.22%
242 CANDIDATE (PC) 52.36%
243 FALSE POSITIVE 62.67%
244 CANDIDATE (PC) 51.75%
245 CONFIRMED (CP) 47.53%
246 CANDIDATE (PC) 75.91%
247 CONFIRMED (CP) 73.41%
248 CANDIDATE (PC) 62.90%
249 CANDIDATE (PC) 74.18%
250 CANDIDATE (PC) 57.55%
251 FALSE POSITIVE 61.32%
252 CANDIDATE (PC) 73.88%
253 FALSE POSITIVE 45.31%
254 CONFIRMED (CP) 36.38%
255 FALSE POSITIVE 97.29%
256 CANDIDATE (PC) 70.45%
257 FALSE POSITIVE 96.42%
258 CANDIDATE (PC) 54.73%
259 CANDIDATE (PC) 80.16%
260 CANDIDATE (PC) 48.37%
261 CANDIDATE (PC) 47.60%
262 FALSE POSITIVE 93.36%
263 FALSE POSITIVE 54.35%
264 CONFIRMED (CP) 93.48%
265 CONFIRMED (CP) 92.34%
266 CANDIDATE (PC) 68.44%
267 FALSE POSITIVE 72.49%
268 CANDIDATE (PC) 51.46%
269 CANDIDATE (PC) 76.38%
270 CONFIRMED (CP) 71.62%
271 CANDIDATE (PC) 68.16%
272 FALSE POSITIVE 97.43%
273 FALSE POSITIVE 46.00%
274 FALSE POSITIVE 66.36%
275 FALSE POSITIVE 73.83%
276 CANDIDATE (PC) 63.49%
277 CANDIDATE (PC) 75.07%
278 CONFIRMED (CP) 89.74%
279 CONFIRMED (CP) 90.21%
280 CONFIRMED (CP) 66.05%
281 FALSE POSITIVE 96.73%
282 FALSE POSITIVE 40.15%
283 CANDIDATE (PC) 73.23%
284 CANDIDATE (PC) 53.27%
285 CANDIDATE (PC) 71.73%
286 CONFIRMED (CP) 47.17%
287 FALSE POSITIVE 95.84%
288 CONFIRMED (CP) 74.01%
289 CANDIDATE (PC) 72.21%
290 CANDIDATE (PC) 79.68%
291 CONFIRMED (CP) 51.12%
292 CANDIDATE (PC) 52.31%
293 CANDIDATE (PC) 44.56%
294 CANDIDATE (PC) 70.67%
295 CANDIDATE (PC) 73.99%
296 FALSE POSITIVE 92.79%
297 CANDIDATE (PC) 53.06%
298 CONFIRMED (CP) 93.33%
299 CANDIDATE (PC) 80.44%
300 FALSE POSITIVE 60.19%
301 CANDIDATE (PC) 39.73%
302 CANDIDATE (PC) 79.41%
303 FALSE POSITIVE 88.57%
304 FALSE POSITIVE 73.09%
305 FALSE POSITIVE 51.23%
306 CONFIRMED (CP) 87.26%
307 CONFIRMED (CP) 50.72%
308 FALSE POSITIVE 68.58%
309 CANDIDATE (PC) 59.47%
310 CONFIRMED (CP) 89.73%
311 CANDIDATE (PC) 77.08%
312 CANDIDATE (PC) 74.31%
313 CANDIDATE (PC) 73.93%
314 FALSE POSITIVE 88.05%
315 FALSE POSITIVE 97.19%
316 CANDIDATE (PC) 77.34%
317 CANDIDATE (PC) 75.96%
318 CANDIDATE (PC) 70.38%
319 CANDIDATE (PC) 69.40%
320 CONFIRMED (CP) 89.68%
321 CONFIRMED (CP) 73.02%
322 CANDIDATE (PC) 51.55%
323 CANDIDATE (PC) 79.20%
324 CANDIDATE (PC) 72.99%
325 CONFIRMED (CP) 90.93%
326 CANDIDATE (PC) 39.90%
327 CANDIDATE (PC) 75.10%
328 CANDIDATE (PC) 76.06%
329 CONFIRMED (CP) 47.64%
330 CANDIDATE (PC) 63.74%
331 CANDIDATE (PC) 76.18%
332 FALSE POSITIVE 57.47%
333 FALSE POSITIVE 81.56%
334 CANDIDATE (PC) 73.37%
335 FALSE POSITIVE 96.67%
336 CANDIDATE (PC) 46.87%
337 CANDIDATE (PC) 69.96%
338 FALSE POSITIVE 97.88%
339 CONFIRMED (CP) 89.97%
340 CANDIDATE (PC) 40.59%
341 FALSE POSITIVE 47.30%
342 CONFIRMED (CP) 90.23%
343 CONFIRMED (CP) 67.11%
344 CANDIDATE (PC) 66.59%
345 CONFIRMED (CP) 89.51%
346 CONFIRMED (CP) 42.45%
347 CANDIDATE (PC) 67.53%
348 CANDIDATE (PC) 68.15%
349 CANDIDATE (PC) 50.31%
350 CANDIDATE (PC) 51.53%
351 CONFIRMED (CP) 89.70%
352 CANDIDATE (PC) 73.41%
353 FALSE POSITIVE 38.26%
354 CONFIRMED (CP) 92.07%
355 CANDIDATE (PC) 61.38%
356 CONFIRMED (CP) 75.73%
357 CANDIDATE (PC) 58.82%
358 CANDIDATE (PC) 74.21%
359 CONFIRMED (CP) 75.59%
360 CANDIDATE (PC) 68.87%
361 FALSE POSITIVE 75.13%
362 CONFIRMED (CP) 43.93%
363 FALSE POSITIVE 95.73%
364 CONFIRMED (CP) 90.02%
365 CANDIDATE (PC) 75.00%
366 FALSE POSITIVE 54.52%
367 CANDIDATE (PC) 76.80%
368 CANDIDATE (PC) 81.33%
369 FALSE POSITIVE 96.80%
370 FALSE POSITIVE 87.37%
371 CANDIDATE (PC) 55.47%
372 FALSE POSITIVE 97.31%
373 FALSE POSITIVE 97.52%
374 CANDIDATE (PC) 61.72%
375 CANDIDATE (PC) 76.73%
376 CONFIRMED (CP) 90.86%
377 CANDIDATE (PC) 58.95%
378 FALSE POSITIVE 70.21%
379 CANDIDATE (PC) 74.65%
380 FALSE POSITIVE 78.92%
381 CONFIRMED (CP) 89.80%
382 CONFIRMED (CP) 39.01%
383 CANDIDATE (PC) 45.34%
384 FALSE POSITIVE 73.30%
385 FALSE POSITIVE 91.15%
386 CONFIRMED (CP) 46.30%
387 FALSE POSITIVE 50.79%
388 CANDIDATE (PC) 60.64%
389 CONFIRMED (CP) 49.86%
390 CONFIRMED (CP) 73.84%
391 CANDIDATE (PC) 70.32%
392 FALSE POSITIVE 70.62%
393 CANDIDATE (PC) 75.16%
394 CANDIDATE (PC) 76.10%
395 FALSE POSITIVE 93.66%
396 FALSE POSITIVE 69.88%
397 FALSE POSITIVE 97.52%
398 CONFIRMED (CP) 73.89%
399 CANDIDATE (PC) 54.68%
400 FALSE POSITIVE 97.17%
401 CANDIDATE (PC) 38.80%
402 CONFIRMED (CP) 92.96%
403 CONFIRMED (CP) 36.55%
404 CONFIRMED (CP) 72.62%
405 FALSE POSITIVE 48.72%
406 CANDIDATE (PC) 54.21%
407 CANDIDATE (PC) 74.74%
408 CANDIDATE (PC) 48.21%
409 CANDIDATE (PC) 74.65%
410 CONFIRMED (CP) 37.76%
411 CANDIDATE (PC) 49.00%
412 FALSE POSITIVE 63.94%
413 CONFIRMED (CP) 73.23%
414 CONFIRMED (CP) 92.29%
415 FALSE POSITIVE 61.28%
416 CANDIDATE (PC) 78.18%
417 CONFIRMED (CP) 73.35%
418 CONFIRMED (CP) 73.09%
419 FALSE POSITIVE 44.05%
420 CANDIDATE (PC) 79.41%
421 FALSE POSITIVE 96.96%
422 CANDIDATE (PC) 64.70%
423 CANDIDATE (PC) 74.13%
424 CANDIDATE (PC) 54.73%
425 CONFIRMED (CP) 72.96%
426 CONFIRMED (CP) 43.38%
427 CANDIDATE (PC) 45.27%
428 CONFIRMED (CP) 72.91%
429 CANDIDATE (PC) 52.96%
430 CANDIDATE (PC) 78.16%
431 FALSE POSITIVE 97.85%
432 CANDIDATE (PC) 49.83%
433 CANDIDATE (PC) 35.29%
434 CONFIRMED (CP) 87.96%
435 CONFIRMED (CP) 72.28%
436 CANDIDATE (PC) 77.73%
437 CANDIDATE (PC) 78.78%
438 CANDIDATE (PC) 45.31%
439 CANDIDATE (PC) 60.60%
440 CONFIRMED (CP) 71.26%
441 CANDIDATE (PC) 45.36%
442 CANDIDATE (PC) 54.71%
443 CANDIDATE (PC) 46.52%
444 CANDIDATE (PC) 73.88%
445 FALSE POSITIVE 59.34%
446 FALSE POSITIVE 38.38%
447 CONFIRMED (CP) 89.73%
448 FALSE POSITIVE 61.23%
449 FALSE POSITIVE 79.32%
450 FALSE POSITIVE 42.31%
451 CONFIRMED (CP) 88.41%
452 FALSE POSITIVE 40.07%
453 FALSE POSITIVE 52.48%
454 CONFIRMED (CP) 90.43%
455 FALSE POSITIVE 75.73%
456 FALSE POSITIVE 59.49%
457 CANDIDATE (PC) 54.73%
458 CANDIDATE (PC) 63.07%
459 CANDIDATE (PC) 54.71%
460 FALSE POSITIVE 57.54%
461 FALSE POSITIVE 59.00%
462 CONFIRMED (CP) 89.64%
463 FALSE POSITIVE 43.30%
464 CANDIDATE (PC) 58.25%
465 CONFIRMED (CP) 47.15%
466 CANDIDATE (PC) 47.76%
467 CANDIDATE (PC) 60.17%
468 FALSE POSITIVE 86.98%
469 CANDIDATE (PC) 43.94%
470 FALSE POSITIVE 55.32%
471 CANDIDATE (PC) 72.44%
472 FALSE POSITIVE 53.86%
473 FALSE POSITIVE 96.72%
474 CANDIDATE (PC) 76.66%
475 CANDIDATE (PC) 81.85%
476 CONFIRMED (CP) 74.21%
477 CONFIRMED (CP) 58.74%
478 CONFIRMED (CP) 88.74%
479 FALSE POSITIVE 61.90%
480 FALSE POSITIVE 58.43%
481 CONFIRMED (CP) 71.94%
482 CANDIDATE (PC) 52.91%
483 CONFIRMED (CP) 93.50%
484 CONFIRMED (CP) 45.16%
485 CONFIRMED (CP) 89.71%
486 CANDIDATE (PC) 76.53%
487 CANDIDATE (PC) 49.21%
488 FALSE POSITIVE 41.58%
489 CANDIDATE (PC) 70.47%
490 FALSE POSITIVE 34.34%
491 CANDIDATE (PC) 77.29%
492 CONFIRMED (CP) 89.82%
493 CANDIDATE (PC) 49.03%
494 CANDIDATE (PC) 57.53%
495 CANDIDATE (PC) 75.40%
496 CANDIDATE (PC) 57.92%
497 FALSE POSITIVE 96.77%
498 CANDIDATE (PC) 49.61%
499 CONFIRMED (CP) 76.11%
500 CANDIDATE (PC) 45.24%
501 CANDIDATE (PC) 64.09%
502 CANDIDATE (PC) 76.48%
503 CANDIDATE (PC) 72.72%
504 CONFIRMED (CP) 66.01%
505 FALSE POSITIVE 96.11%
506 CONFIRMED (CP) 93.40%
507 FALSE POSITIVE 57.77%
508 CANDIDATE (PC) 71.12%
509 CANDIDATE (PC) 74.73%
510 CANDIDATE (PC) 47.95%
511 CONFIRMED (CP) 72.25%
512 CANDIDATE (PC) 75.94%
513 FALSE POSITIVE 44.00%
514 CONFIRMED (CP) 45.39%
515 CANDIDATE (PC) 63.78%
516 CONFIRMED (CP) 71.88%
517 CONFIRMED (CP) 34.45%
518 CANDIDATE (PC) 75.95%
519 FALSE POSITIVE 63.26%
520 CANDIDATE (PC) 72.84%
521 CANDIDATE (PC) 62.83%
522 CANDIDATE (PC) 54.51%
523 CONFIRMED (CP) 71.34%
524 CANDIDATE (PC) 43.86%
525 CONFIRMED (CP) 73.48%
526 CANDIDATE (PC) 54.69%
527 FALSE POSITIVE 37.97%
528 FALSE POSITIVE 53.71%
529 CANDIDATE (PC) 75.82%
530 CANDIDATE (PC) 76.00%
531 FALSE POSITIVE 96.96%
532 CANDIDATE (PC) 76.99%
533 CANDIDATE (PC) 47.22%
534 CONFIRMED (CP) 45.87%
535 FALSE POSITIVE 44.94%
536 FALSE POSITIVE 73.16%
537 CANDIDATE (PC) 47.99%
538 FALSE POSITIVE 37.12%
539 CANDIDATE (PC) 38.85%
540 CANDIDATE (PC) 46.27%
541 CONFIRMED (CP) 74.69%
542 FALSE POSITIVE 64.51%
543 FALSE POSITIVE 96.10%
544 CANDIDATE (PC) 51.32%
545 CANDIDATE (PC) 49.00%
546 CANDIDATE (PC) 74.80%
547 CANDIDATE (PC) 72.02%
548 CONFIRMED (CP) 45.62%
549 CANDIDATE (PC) 68.24%
550 FALSE POSITIVE 64.86%
551 FALSE POSITIVE 96.40%
552 CANDIDATE (PC) 59.72%
553 FALSE POSITIVE 72.02%
554 CANDIDATE (PC) 58.82%
555 FALSE POSITIVE 80.19%
556 CONFIRMED (CP) 89.60%
557 FALSE POSITIVE 81.36%
558 CONFIRMED (CP) 43.75%
559 CONFIRMED (CP) 37.96%
560 CANDIDATE (PC) 70.51%
561 CANDIDATE (PC) 49.88%
562 FALSE POSITIVE 43.25%
563 CANDIDATE (PC) 75.67%
564 CONFIRMED (CP) 41.51%
565 CANDIDATE (PC) 77.89%
566 CANDIDATE (PC) 62.85%
567 FALSE POSITIVE 97.14%
568 FALSE POSITIVE 96.86%
569 CANDIDATE (PC) 43.83%
570 CONFIRMED (CP) 72.13%
571 CANDIDATE (PC) 71.83%
572 FALSE POSITIVE 39.65%
573 CANDIDATE (PC) 40.33%
574 CANDIDATE (PC) 53.69%
575 FALSE POSITIVE 96.00%
576 FALSE POSITIVE 94.84%
577 FALSE POSITIVE 44.05%
578 CANDIDATE (PC) 70.93%
579 FALSE POSITIVE 51.34%
580 CANDIDATE (PC) 48.93%
581 FALSE POSITIVE 97.03%
582 CONFIRMED (CP) 37.78%
583 FALSE POSITIVE 97.07%
584 CONFIRMED (CP) 69.56%
585 CANDIDATE (PC) 54.69%
586 FALSE POSITIVE 95.03%
587 CANDIDATE (PC) 40.33%
588 CONFIRMED (CP) 60.16%
589 FALSE POSITIVE 97.05%
590 CANDIDATE (PC) 44.69%
591 CONFIRMED (CP) 90.30%
592 FALSE POSITIVE 82.46%
593 CANDIDATE (PC) 40.30%
594 FALSE POSITIVE 75.28%
595 CANDIDATE (PC) 72.47%
596 CONFIRMED (CP) 92.35%
597 CANDIDATE (PC) 75.68%
598 FALSE POSITIVE 93.07%
599 CONFIRMED (CP) 51.96%
600 CANDIDATE (PC) 70.58%
601 CANDIDATE (PC) 49.92%
602 FALSE POSITIVE 67.49%
603 CANDIDATE (PC) 48.06%
604 CANDIDATE (PC) 71.84%
605 CANDIDATE (PC) 46.44%
606 CANDIDATE (PC) 50.87%
607 CANDIDATE (PC) 76.96%
608 CONFIRMED (CP) 71.24%
609 CONFIRMED (CP) 89.57%
610 CANDIDATE (PC) 77.45%
611 CONFIRMED (CP) 90.35%
612 CANDIDATE (PC) 44.61%
613 CANDIDATE (PC) 76.83%
614 CANDIDATE (PC) 75.23%
615 CONFIRMED (CP) 41.38%
616 CANDIDATE (PC) 43.27%
617 CANDIDATE (PC) 60.48%
618 CANDIDATE (PC) 46.76%
619 CONFIRMED (CP) 92.78%
620 FALSE POSITIVE 96.18%
621 CONFIRMED (CP) 92.96%
622 FALSE POSITIVE 96.01%
623 CONFIRMED (CP) 40.73%
624 FALSE POSITIVE 94.90%
625 CONFIRMED (CP) 90.53%
626 CANDIDATE (PC) 54.73%
627 FALSE POSITIVE 57.41%
628 FALSE POSITIVE 97.19%
629 FALSE POSITIVE 37.40%
630 CONFIRMED (CP) 70.95%
631 FALSE POSITIVE 45.30%
632 CONFIRMED (CP) 38.11%
633 FALSE POSITIVE 53.33%
634 CANDIDATE (PC) 46.69%
635 FALSE POSITIVE 48.53%
636 CANDIDATE (PC) 76.19%
637 CANDIDATE (PC) 69.18%
638 CONFIRMED (CP) 43.99%
639 CANDIDATE (PC) 75.86%
640 FALSE POSITIVE 63.41%
641 CANDIDATE (PC) 43.68%
642 CONFIRMED (CP) 61.74%
643 CONFIRMED (CP) 74.55%
644 FALSE POSITIVE 88.07%
645 CANDIDATE (PC) 77.13%
646 CONFIRMED (CP) 40.74%
647 CONFIRMED (CP) 74.85%
648 CANDIDATE (PC) 78.02%
649 CANDIDATE (PC) 68.07%
650 CANDIDATE (PC) 66.83%
651 CANDIDATE (PC) 69.69%
652 CANDIDATE (PC) 48.71%
653 FALSE POSITIVE 51.16%
654 FALSE POSITIVE 90.94%
655 CONFIRMED (CP) 72.68%
656 CANDIDATE (PC) 69.87%
657 FALSE POSITIVE 74.22%
658 CONFIRMED (CP) 43.50%
659 CANDIDATE (PC) 77.56%
660 CANDIDATE (PC) 43.46%
661 CANDIDATE (PC) 75.67%
662 CANDIDATE (PC) 73.17%
663 CANDIDATE (PC) 62.29%
664 CANDIDATE (PC) 80.02%
665 CANDIDATE (PC) 75.03%
666 CONFIRMED (CP) 43.39%
667 FALSE POSITIVE 94.63%
668 CONFIRMED (CP) 90.37%
669 FALSE POSITIVE 97.76%
670 FALSE POSITIVE 66.60%
671 CONFIRMED (CP) 91.41%
672 CANDIDATE (PC) 58.62%
673 FALSE POSITIVE 57.67%
674 CONFIRMED (CP) 67.53%
675 FALSE POSITIVE 42.92%
676 CANDIDATE (PC) 75.84%
677 CONFIRMED (CP) 89.64%
678 FALSE POSITIVE 97.09%
679 CANDIDATE (PC) 57.16%
680 CANDIDATE (PC) 60.56%
681 CONFIRMED (CP) 92.17%
682 FALSE POSITIVE 96.87%
683 CANDIDATE (PC) 77.21%
684 FALSE POSITIVE 89.99%
685 CANDIDATE (PC) 69.99%
686 CONFIRMED (CP) 48.18%
687 CANDIDATE (PC) 51.44%
688 CONFIRMED (CP) 92.06%
689 CANDIDATE (PC) 71.80%
690 CANDIDATE (PC) 53.27%
691 FALSE POSITIVE 39.61%
692 CONFIRMED (CP) 92.24%
693 CONFIRMED (CP) 76.74%
694 FALSE POSITIVE 46.46%
695 CONFIRMED (CP) 70.53%
696 FALSE POSITIVE 69.29%
697 CONFIRMED (CP) 93.61%
698 CANDIDATE (PC) 48.60%
699 FALSE POSITIVE 56.27%
700 CANDIDATE (PC) 54.36%
701 CONFIRMED (CP) 38.42%
702 CONFIRMED (CP) 88.97%
703 CANDIDATE (PC) 72.34%
704 FALSE POSITIVE 41.22%
705 FALSE POSITIVE 95.25%
706 FALSE POSITIVE 77.51%
707 FALSE POSITIVE 97.09%
708 CANDIDATE (PC) 77.96%
709 CANDIDATE (PC) 45.80%
710 CANDIDATE (PC) 69.57%
711 CANDIDATE (PC) 67.42%
712 CONFIRMED (CP) 89.95%
713 FALSE POSITIVE 97.41%
714 CANDIDATE (PC) 67.44%
715 CANDIDATE (PC) 57.08%
716 CANDIDATE (PC) 47.88%
717 CONFIRMED (CP) 49.52%
718 FALSE POSITIVE 36.94%
719 CANDIDATE (PC) 47.36%
720 CANDIDATE (PC) 66.06%
721 FALSE POSITIVE 45.39%
722 FALSE POSITIVE 75.04%
723 CONFIRMED (CP) 64.56%
724 CANDIDATE (PC) 45.31%
725 CONFIRMED (CP) 73.78%
726 CANDIDATE (PC) 54.69%
727 CONFIRMED (CP) 93.12%
728 CONFIRMED (CP) 90.23%
729 FALSE POSITIVE 40.32%
