RESULTADOS DEL MODELO: RandomForest
171 CANDIDATE (PC) 53.19%
172 FALSE POSITIVE 80.35%
173 CANDIDATE (PC) 39.89%
174 CANDIDATE (PC) 51.35%
175 CANDIDATE (PC) 86.97%
176 CONFIRMED (CP) 76.53%
177 CONFIRMED (CP) 71.77%
178 CONFIRMED (CP) 82.38%
179 CONFIRMED (CP) 50.17%
180 CANDIDATE (PC) 90.24%
181 FALSE POSITIVE 51.22%
182 CANDIDATE (PC) 63.82%
183 CANDIDATE (PC) 47.19%
184 CONFIRMED (CP) 81.65%
185 CANDIDATE (PC) 87.61%
186 CANDIDATE (PC) 51.85%
187 FALSE POSITIVE 69.47%
188 CANDIDATE (PC) 81.45%
189 CANDIDATE (PC) 77.21%
190 FALSE POSITIVE 65.74%
191 FALSE POSITIVE 94.74%
192 FALSE POSITIVE 99.60%
193 CONFIRMED (CP) 96.12%
194 CANDIDATE (PC) 68.21%
195 CONFIRMED (CP) 48.72%
196 CANDIDATE (PC) 95.46%
197 CANDIDATE (PC) 49.42%
198 CONFIRMED (CP) 89.09%
199 FALSE POSITIVE 99.98%
200 CANDIDATE (PC) 62.30%
201 FALSE POSITIVE 49.79%
202 FALSE POSITIVE 41.09%
203 CONFIRMED (CP) 96.22%
204 CONFIRMED (CP) 88.40%
205 CANDIDATE (PC) 90.39%
206 FALSE POSITIVE 94.38%
207 FALSE POSITIVE 76.95%
208 CANDIDATE (PC) 81.47%
209 CANDIDATE (PC) 59.27%
210 CANDIDATE (PC) 89.63%
211 FALSE POSITIVE 94.20%
212 FALSE POSITIVE 52.59%
213 CONFIRMED (CP) 38.37%
214 CANDIDATE (PC) 49.95%
215 CANDIDATE (PC) 83.23%
216 CANDIDATE (PC) 59.95%
217 FALSE POSITIVE 87.28%
218 CANDIDATE (PC) 68.71%
219 CONFIRMED (CP) 96.06%
220 CANDIDATE (PC) 97.29%
221 FALSE POSITIVE 99.99%
222 CONFIRMED (CP) 94.68%
223 CANDIDATE (PC) 47.60%
224 CANDIDATE (PC) 85.87%
225 CONFIRMED (CP) 77.84%
226 CANDIDATE (PC) 75.45%
227 FALSE POSITIVE 66.52%
228 CONFIRMED (CP) 43.17%
229 CANDIDATE (PC) 66.96%
230 FALSE POSITIVE 99.97%
231 FALSE POSITIVE 93.04%
232 FALSE POSITIVE 69.04%
233 CONFIRMED (CP) 83.16%
234 FALSE POSITIVE 53.75%
235 CONFIRMED (CP) 93.19%
236 FALSE POSITIVE 76.09%
237 FALSE POSITIVE 99.97%
238 CONFIRMED (CP) 72.71%
239 FALSE POSITIVE 96.25%
240 CONFIRMED (CP) 91.00%
241 CONFIRMED (CP) 97.91%
242 CANDIDATE (PC) 58.45%
243 FALSE POSITIVE 54.59%
244 FALSE POSITIVE 58.36%
245 CONFIRMED (CP) 68.72%
246 CANDIDATE (PC) 88.46%
247 CONFIRMED (CP) 97.54%
248 CANDIDATE (PC) 52.93%
249 CANDIDATE (PC) 90.21%
250 CANDIDATE (PC) 61.06%
251 FALSE POSITIVE 57.98%
252 FALSE POSITIVE 52.42%
253 FALSE POSITIVE 53.01%
254 FALSE POSITIVE 68.98%
255 FALSE POSITIVE 95.81%
256 CANDIDATE (PC) 88.84%
257 FALSE POSITIVE 96.22%
258 CANDIDATE (PC) 88.52%
259 CANDIDATE (PC) 86.84%
260 CANDIDATE (PC) 70.27%
261 CONFIRMED (CP) 92.46%
262 FALSE POSITIVE 98.80%
263 FALSE POSITIVE 85.65%
264 CONFIRMED (CP) 97.20%
265 CONFIRMED (CP) 50.55%
266 CANDIDATE (PC) 86.50%
267 FALSE POSITIVE 67.48%
268 CONFIRMED (CP) 92.99%
269 CANDIDATE (PC) 90.33%
270 CONFIRMED (CP) 95.13%
271 FALSE POSITIVE 71.68%
272 FALSE POSITIVE 99.98%
273 FALSE POSITIVE 48.05%
274 FALSE POSITIVE 58.57%
275 FALSE POSITIVE 93.90%
276 CANDIDATE (PC) 88.18%
277 CANDIDATE (PC) 89.89%
278 CONFIRMED (CP) 97.69%
279 CONFIRMED (CP) 95.99%
280 CONFIRMED (CP) 52.32%
281 FALSE POSITIVE 99.97%
282 CONFIRMED (CP) 57.39%
283 CANDIDATE (PC) 86.77%
284 FALSE POSITIVE 66.15%
285 CANDIDATE (PC) 85.17%
286 CONFIRMED (CP) 53.35%
287 FALSE POSITIVE 97.14%
288 CONFIRMED (CP) 56.09%
289 CANDIDATE (PC) 77.20%
290 CANDIDATE (PC) 94.72%
291 CONFIRMED (CP) 67.47%
292 FALSE POSITIVE 62.47%
293 CANDIDATE (PC) 34.11%
294 CANDIDATE (PC) 91.06%
295 CANDIDATE (PC) 84.17%
296 FALSE POSITIVE 72.10%
297 FALSE POSITIVE 80.26%
298 CONFIRMED (CP) 92.58%
299 CANDIDATE (PC) 95.54%
300 FALSE POSITIVE 45.73%
301 CANDIDATE (PC) 51.29%
302 FALSE POSITIVE 67.95%
303 FALSE POSITIVE 59.26%
304 FALSE POSITIVE 72.14%
305 CONFIRMED (CP) 58.46%
306 CONFIRMED (CP) 92.23%
307 CANDIDATE (PC) 48.96%
308 CONFIRMED (CP) 62.09%
309 FALSE POSITIVE 61.13%
310 CONFIRMED (CP) 97.71%
311 CANDIDATE (PC) 84.38%
312 CANDIDATE (PC) 78.88%
313 CANDIDATE (PC) 91.74%
314 FALSE POSITIVE 98.88%
315 FALSE POSITIVE 93.65%
316 CANDIDATE (PC) 78.80%
317 CANDIDATE (PC) 88.05%
318 CANDIDATE (PC) 56.77%
319 CANDIDATE (PC) 68.18%
320 CONFIRMED (CP) 92.61%
321 CONFIRMED (CP) 96.70%
322 CANDIDATE (PC) 56.09%
323 CANDIDATE (PC) 89.30%
324 CANDIDATE (PC) 89.60%
325 CONFIRMED (CP) 97.97%
326 FALSE POSITIVE 56.77%
327 CANDIDATE (PC) 86.53%
328 CANDIDATE (PC) 94.08%
329 CONFIRMED (CP) 63.93%
330 CANDIDATE (PC) 74.75%
331 CANDIDATE (PC) 97.90%
332 CANDIDATE (PC) 50.54%
333 FALSE POSITIVE 90.04%
334 CANDIDATE (PC) 85.80%
335 FALSE POSITIVE 98.96%
336 CONFIRMED (CP) 45.34%
337 CANDIDATE (PC) 51.43%
338 FALSE POSITIVE 98.00%
339 CONFIRMED (CP) 98.52%
340 FALSE POSITIVE 62.13%
341 FALSE POSITIVE 76.58%
342 CONFIRMED (CP) 83.87%
343 CONFIRMED (CP) 44.79%
344 CANDIDATE (PC) 82.33%
345 CONFIRMED (CP) 77.67%
346 FALSE POSITIVE 40.20%
347 CANDIDATE (PC) 85.39%
348 CANDIDATE (PC) 67.66%
349 CONFIRMED (CP) 92.81%
350 CANDIDATE (PC) 52.09%
351 CONFIRMED (CP) 82.47%
352 FALSE POSITIVE 59.80%
353 FALSE POSITIVE 77.52%
354 CONFIRMED (CP) 93.35%
355 CONFIRMED (CP) 71.63%
356 CONFIRMED (CP) 93.41%
357 FALSE POSITIVE 66.33%
358 CANDIDATE (PC) 91.62%
359 CONFIRMED (CP) 91.61%
360 CANDIDATE (PC) 69.30%
361 FALSE POSITIVE 86.46%
362 CANDIDATE (PC) 55.02%
363 FALSE POSITIVE 94.55%
364 CONFIRMED (CP) 50.70%
365 CANDIDATE (PC) 85.45%
366 FALSE POSITIVE 66.23%
367 CANDIDATE (PC) 73.28%
368 CANDIDATE (PC) 93.09%
369 FALSE POSITIVE 91.52%
370 FALSE POSITIVE 91.15%
371 FALSE POSITIVE 68.21%
372 FALSE POSITIVE 98.98%
373 FALSE POSITIVE 95.19%
374 CANDIDATE (PC) 52.00%
375 CANDIDATE (PC) 90.41%
376 CONFIRMED (CP) 85.27%
377 FALSE POSITIVE 56.55%
378 FALSE POSITIVE 89.46%
379 CONFIRMED (CP) 86.24%
380 CONFIRMED (CP) 47.98%
381 CONFIRMED (CP) 80.54%
382 CONFIRMED (CP) 51.83%
383 FALSE POSITIVE 61.07%
384 FALSE POSITIVE 83.26%
385 FALSE POSITIVE 99.31%
386 CONFIRMED (CP) 49.49%
387 FALSE POSITIVE 38.82%
388 FALSE POSITIVE 66.81%
389 CANDIDATE (PC) 39.73%
390 CONFIRMED (CP) 58.17%
391 CANDIDATE (PC) 86.47%
392 FALSE POSITIVE 54.18%
393 CANDIDATE (PC) 89.90%
394 CANDIDATE (PC) 81.08%
395 FALSE POSITIVE 95.72%
396 FALSE POSITIVE 62.55%
397 FALSE POSITIVE 99.65%
398 CANDIDATE (PC) 67.42%
399 CANDIDATE (PC) 80.05%
400 FALSE POSITIVE 99.65%
401 CONFIRMED (CP) 53.16%
402 CONFIRMED (CP) 97.37%
403 CONFIRMED (CP) 49.83%
404 CONFIRMED (CP) 64.51%
405 FALSE POSITIVE 83.23%
406 CANDIDATE (PC) 68.67%
407 CANDIDATE (PC) 90.06%
408 CANDIDATE (PC) 71.24%
409 CANDIDATE (PC) 84.67%
410 CONFIRMED (CP) 38.53%
411 CANDIDATE (PC) 51.90%
412 FALSE POSITIVE 45.09%
413 CANDIDATE (PC) 54.41%
414 CONFIRMED (CP) 55.06%
415 FALSE POSITIVE 97.96%
416 CANDIDATE (PC) 91.03%
417 CONFIRMED (CP) 97.37%
418 FALSE POSITIVE 39.23%
419 FALSE POSITIVE 58.17%
420 CANDIDATE (PC) 87.41%
421 FALSE POSITIVE 99.65%
422 CANDIDATE (PC) 74.42%
423 CANDIDATE (PC) 90.42%
424 CANDIDATE (PC) 79.91%
425 CONFIRMED (CP) 81.43%
426 CONFIRMED (CP) 78.37%
427 CANDIDATE (PC) 55.32%
428 CONFIRMED (CP) 97.82%
429 FALSE POSITIVE 44.62%
430 CANDIDATE (PC) 76.27%
431 FALSE POSITIVE 94.29%
432 CANDIDATE (PC) 45.49%
433 FALSE POSITIVE 53.10%
434 CONFIRMED (CP) 97.26%
435 CONFIRMED (CP) 84.00%
436 CONFIRMED (CP) 93.82%
437 CANDIDATE (PC) 71.62%
438 FALSE POSITIVE 78.89%
439 CANDIDATE (PC) 67.18%
440 CONFIRMED (CP) 86.41%
441 CANDIDATE (PC) 67.32%
442 CANDIDATE (PC) 86.12%
443 CONFIRMED (CP) 92.07%
444 CANDIDATE (PC) 87.05%
445 FALSE POSITIVE 59.96%
446 CONFIRMED (CP) 41.77%
447 CONFIRMED (CP) 97.66%
448 FALSE POSITIVE 58.71%
449 FALSE POSITIVE 93.71%
450 CONFIRMED (CP) 55.50%
451 CONFIRMED (CP) 86.74%
452 FALSE POSITIVE 61.16%
453 FALSE POSITIVE 54.88%
454 CONFIRMED (CP) 91.36%
455 FALSE POSITIVE 85.90%
456 FALSE POSITIVE 57.38%
457 CANDIDATE (PC) 89.55%
458 FALSE POSITIVE 55.67%
459 CANDIDATE (PC) 86.37%
460 FALSE POSITIVE 85.83%
461 FALSE POSITIVE 79.73%
462 CONFIRMED (CP) 68.34%
463 CONFIRMED (CP) 58.21%
464 CANDIDATE (PC) 45.04%
465 CONFIRMED (CP) 50.10%
466 CONFIRMED (CP) 90.48%
467 CANDIDATE (PC) 88.14%
468 FALSE POSITIVE 98.15%
469 FALSE POSITIVE 46.38%
470 FALSE POSITIVE 57.07%
471 CANDIDATE (PC) 68.01%
472 FALSE POSITIVE 54.26%
473 FALSE POSITIVE 99.00%
474 CANDIDATE (PC) 87.09%
475 CANDIDATE (PC) 95.73%
476 CONFIRMED (CP) 96.72%
477 CANDIDATE (PC) 35.54%
478 CONFIRMED (CP) 93.18%
479 FALSE POSITIVE 71.53%
480 FALSE POSITIVE 43.49%
481 CONFIRMED (CP) 92.43%
482 CONFIRMED (CP) 94.08%
483 CONFIRMED (CP) 68.20%
484 CONFIRMED (CP) 70.72%
485 CONFIRMED (CP) 90.19%
486 CANDIDATE (PC) 92.41%
487 CANDIDATE (PC) 66.74%
488 FALSE POSITIVE 73.58%
489 CANDIDATE (PC) 90.00%
490 CONFIRMED (CP) 57.76%
491 CANDIDATE (PC) 84.37%
492 CONFIRMED (CP) 98.46%
493 CANDIDATE (PC) 40.43%
494 CANDIDATE (PC) 48.65%
495 CANDIDATE (PC) 52.58%
496 CANDIDATE (PC) 80.94%
497 FALSE POSITIVE 99.17%
498 CANDIDATE (PC) 78.50%
499 CONFIRMED (CP) 50.02%
500 CANDIDATE (PC) 66.01%
501 CANDIDATE (PC) 87.85%
502 CANDIDATE (PC) 50.82%
503 CONFIRMED (CP) 91.00%
504 CONFIRMED (CP) 77.53%
505 FALSE POSITIVE 96.31%
506 CONFIRMED (CP) 93.76%
507 CANDIDATE (PC) 53.95%
508 CANDIDATE (PC) 76.58%
509 CANDIDATE (PC) 88.71%
510 CONFIRMED (CP) 93.21%
511 CONFIRMED (CP) 71.33%
512 CANDIDATE (PC) 89.20%
513 FALSE POSITIVE 73.04%
514 CONFIRMED (CP) 87.67%
515 CANDIDATE (PC) 84.45%
516 CONFIRMED (CP) 94.74%
517 CONFIRMED (CP) 56.29%
518 CANDIDATE (PC) 98.14%
519 FALSE POSITIVE 68.56%
520 CANDIDATE (PC) 91.55%
521 FALSE POSITIVE 56.14%
522 CANDIDATE (PC) 60.96%
523 CONFIRMED (CP) 84.76%
524 CANDIDATE (PC) 41.34%
525 FALSE POSITIVE 60.16%
526 CONFIRMED (CP) 88.27%
527 CONFIRMED (CP) 66.36%
528 FALSE POSITIVE 57.92%
529 CANDIDATE (PC) 90.41%
530 CONFIRMED (CP) 94.12%
531 FALSE POSITIVE 99.84%
532 FALSE POSITIVE 94.43%
533 CANDIDATE (PC) 71.29%
534 CONFIRMED (CP) 54.40%
535 CONFIRMED (CP) 60.94%
536 FALSE POSITIVE 99.43%
537 CANDIDATE (PC) 49.16%
538 FALSE POSITIVE 38.82%
539 FALSE POSITIVE 70.41%
540 CANDIDATE (PC) 83.51%
541 CONFIRMED (CP) 98.01%
542 FALSE POSITIVE 93.05%
543 FALSE POSITIVE 99.29%
544 CONFIRMED (CP) 58.67%
545 CONFIRMED (CP) 91.55%
546 CANDIDATE (PC) 88.10%
547 CANDIDATE (PC) 90.81%
548 CANDIDATE (PC) 39.46%
549 FALSE POSITIVE 62.32%
550 FALSE POSITIVE 69.53%
551 FALSE POSITIVE 94.07%
552 CANDIDATE (PC) 82.10%
553 FALSE POSITIVE 86.01%
554 FALSE POSITIVE 56.99%
555 FALSE POSITIVE 97.17%
556 CONFIRMED (CP) 86.91%
557 FALSE POSITIVE 91.42%
558 CONFIRMED (CP) 68.70%
559 CONFIRMED (CP) 46.67%
560 CANDIDATE (PC) 84.36%
561 CANDIDATE (PC) 54.64%
562 FALSE POSITIVE 80.59%
563 CANDIDATE (PC) 83.07%
564 FALSE POSITIVE 41.01%
565 CANDIDATE (PC) 89.57%
566 CONFIRMED (CP) 37.22%
567 FALSE POSITIVE 99.57%
568 FALSE POSITIVE 95.77%
569 FALSE POSITIVE 51.35%
570 CANDIDATE (PC) 52.09%
571 CANDIDATE (PC) 91.64%
572 FALSE POSITIVE 42.81%
573 CONFIRMED (CP) 48.85%
574 CANDIDATE (PC) 81.64%
575 FALSE POSITIVE 99.99%
576 FALSE POSITIVE 97.16%
577 FALSE POSITIVE 60.29%
578 CANDIDATE (PC) 80.70%
579 CANDIDATE (PC) 39.88%
580 FALSE POSITIVE 57.75%
581 FALSE POSITIVE 98.16%
582 FALSE POSITIVE 45.55%
583 FALSE POSITIVE 98.80%
584 CONFIRMED (CP) 59.85%
585 CANDIDATE (PC) 85.70%
586 FALSE POSITIVE 97.49%
587 FALSE POSITIVE 61.83%
588 CONFIRMED (CP) 52.80%
589 FALSE POSITIVE 99.17%
590 CONFIRMED (CP) 91.43%
591 CONFIRMED (CP) 97.84%
592 FALSE POSITIVE 86.58%
593 CONFIRMED (CP) 40.88%
594 FALSE POSITIVE 86.67%
595 CANDIDATE (PC) 75.45%
596 CONFIRMED (CP) 89.14%
597 CONFIRMED (CP) 94.32%
598 FALSE POSITIVE 99.27%
599 CONFIRMED (CP) 84.62%
600 CANDIDATE (PC) 83.96%
601 FALSE POSITIVE 63.70%
602 FALSE POSITIVE 53.55%
603 CANDIDATE (PC) 71.44%
604 CANDIDATE (PC) 59.12%
605 CONFIRMED (CP) 91.43%
606 CANDIDATE (PC) 86.23%
607 FALSE POSITIVE 71.38%
608 CONFIRMED (CP) 69.32%
609 CONFIRMED (CP) 92.14%
610 CANDIDATE (PC) 62.61%
611 CONFIRMED (CP) 98.61%
612 CANDIDATE (PC) 58.35%
613 CANDIDATE (PC) 86.03%
614 CANDIDATE (PC) 89.33%
615 CANDIDATE (PC) 36.26%
616 CANDIDATE (PC) 55.94%
617 FALSE POSITIVE 57.44%
618 CANDIDATE (PC) 63.67%
619 CONFIRMED (CP) 97.71%
620 FALSE POSITIVE 97.60%
621 CONFIRMED (CP) 76.21%
622 FALSE POSITIVE 99.64%
623 CONFIRMED (CP) 50.14%
624 FALSE POSITIVE 97.99%
625 CONFIRMED (CP) 93.55%
626 CONFIRMED (CP) 91.81%
627 FALSE POSITIVE 46.40%
628 FALSE POSITIVE 95.05%
629 CONFIRMED (CP) 51.23%
630 CONFIRMED (CP) 48.05%
631 FALSE POSITIVE 86.04%
632 CONFIRMED (CP) 38.46%
633 CANDIDATE (PC) 53.79%
634 CANDIDATE (PC) 82.22%
635 CANDIDATE (PC) 42.74%
636 CANDIDATE (PC) 75.46%
637 CANDIDATE (PC) 87.35%
638 CONFIRMED (CP) 62.98%
639 CANDIDATE (PC) 89.54%
640 FALSE POSITIVE 69.82%
641 CONFIRMED (CP) 94.89%
642 CONFIRMED (CP) 71.66%
643 CONFIRMED (CP) 93.66%
644 FALSE POSITIVE 94.17%
645 CANDIDATE (PC) 89.79%
646 CONFIRMED (CP) 80.98%
647 CONFIRMED (CP) 57.52%
648 CANDIDATE (PC) 90.97%
649 CANDIDATE (PC) 66.48%
650 CANDIDATE (PC) 75.40%
651 CANDIDATE (PC) 77.50%
652 CONFIRMED (CP) 93.86%
653 CONFIRMED (CP) 59.18%
654 FALSE POSITIVE 97.68%
655 CONFIRMED (CP) 97.39%
656 CANDIDATE (PC) 61.28%
657 FALSE POSITIVE 55.74%
658 CONFIRMED (CP) 50.41%
659 FALSE POSITIVE 68.13%
660 FALSE POSITIVE 72.48%
661 CANDIDATE (PC) 87.05%
662 CANDIDATE (PC) 82.29%
663 CANDIDATE (PC) 87.40%
664 CANDIDATE (PC) 85.21%
665 CANDIDATE (PC) 91.41%
666 CONFIRMED (CP) 66.26%
667 FALSE POSITIVE 99.98%
668 CONFIRMED (CP) 91.77%
669 FALSE POSITIVE 99.61%
670 FALSE POSITIVE 89.75%
671 CONFIRMED (CP) 97.34%
672 FALSE POSITIVE 63.38%
673 FALSE POSITIVE 53.60%
674 CONFIRMED (CP) 75.55%
675 FALSE POSITIVE 62.81%
676 CANDIDATE (PC) 87.35%
677 CONFIRMED (CP) 68.41%
678 FALSE POSITIVE 99.49%
679 CANDIDATE (PC) 78.45%
680 FALSE POSITIVE 49.60%
681 CONFIRMED (CP) 96.51%
682 FALSE POSITIVE 99.98%
683 CANDIDATE (PC) 95.63%
684 FALSE POSITIVE 96.28%
685 CANDIDATE (PC) 84.47%
686 FALSE POSITIVE 72.32%
687 CANDIDATE (PC) 60.71%
688 CONFIRMED (CP) 95.54%
689 CANDIDATE (PC) 89.68%
690 FALSE POSITIVE 59.34%
691 FALSE POSITIVE 39.95%
692 CONFIRMED (CP) 97.72%
693 CONFIRMED (CP) 79.00%
694 CONFIRMED (CP) 91.40%
695 CONFIRMED (CP) 76.44%
696 FALSE POSITIVE 59.64%
697 CONFIRMED (CP) 96.35%
698 CONFIRMED (CP) 54.94%
699 FALSE POSITIVE 48.85%
700 CANDIDATE (PC) 53.99%
701 CONFIRMED (CP) 51.72%
702 CONFIRMED (CP) 88.58%
703 CANDIDATE (PC) 88.29%
704 CONFIRMED (CP) 55.96%
705 FALSE POSITIVE 99.31%
706 FALSE POSITIVE 79.17%
707 FALSE POSITIVE 99.99%
708 CANDIDATE (PC) 93.03%
709 CANDIDATE (PC) 49.88%
710 CONFIRMED (CP) 95.95%
711 FALSE POSITIVE 51.06%
712 CONFIRMED (CP) 87.96%
713 FALSE POSITIVE 94.80%
714 CANDIDATE (PC) 73.82%
715 CANDIDATE (PC) 53.43%
716 FALSE POSITIVE 50.55%
717 CONFIRMED (CP) 69.16%
718 FALSE POSITIVE 82.46%
719 CONFIRMED (CP) 91.55%
720 FALSE POSITIVE 59.25%
721 CANDIDATE (PC) 74.53%
722 FALSE POSITIVE 90.55%
723 CANDIDATE (PC) 35.04%
724 CONFIRMED (CP) 91.53%
725 CONFIRMED (CP) 95.71%
726 CANDIDATE (PC) 83.62%
727 CONFIRMED (CP) 87.10%
728 CONFIRMED (CP) 84.82%
729 CONFIRMED (CP) 53.03%
730 CANDIDATE (PC) 42.71%
731 CANDIDATE (PC) 43.50%
732 CANDIDATE (PC) 37.51%
733 FALSE POSITIVE 49.74%
