RESULTADOS DEL MODELO: RandomForest (TestData: simple_data)
======================================================================
Accuracy General: 0.7204

Matriz de Confusión:
356 CONFIRMED (CP) 89.52%
357 FALSE POSITIVE 57.23%
358 CANDIDATE (PC) 85.19%
359 CONFIRMED (CP) 88.78%
360 CANDIDATE (PC) 65.48%
361 FALSE POSITIVE 92.02%
362 CONFIRMED (CP) 65.27%
363 FALSE POSITIVE 97.74%
364 CONFIRMED (CP) 71.29%
365 CANDIDATE (PC) 69.01%
366 FALSE POSITIVE 70.84%
367 CANDIDATE (PC) 78.08%
368 CANDIDATE (PC) 97.72%
369 FALSE POSITIVE 97.60%
370 FALSE POSITIVE 97.04%
371 FALSE POSITIVE 48.53%
372 FALSE POSITIVE 99.58%
373 FALSE POSITIVE 98.13%
374 CANDIDATE (PC) 59.74%
375 CANDIDATE (PC) 77.88%
376 CONFIRMED (CP) 95.95%
377 CANDIDATE (PC) 50.73%
378 FALSE POSITIVE 88.73%
379 CANDIDATE (PC) 76.59%
380 CONFIRMED (CP) 55.11%
381 CONFIRMED (CP) 95.18%
382 CONFIRMED (CP) 46.68%
383 FALSE POSITIVE 54.94%
384 FALSE POSITIVE 92.81%
385 FALSE POSITIVE 99.54%
386 CANDIDATE (PC) 38.78%
387 CANDIDATE (PC) 38.54%
388 FALSE POSITIVE 71.72%
389 CANDIDATE (PC) 52.01%
390 CONFIRMED (CP) 62.02%
391 CANDIDATE (PC) 74.71%
392 FALSE POSITIVE 70.54%
393 CANDIDATE (PC) 80.98%
394 CANDIDATE (PC) 82.89%
395 FALSE POSITIVE 99.41%
396 FALSE POSITIVE 89.04%
397 FALSE POSITIVE 97.36%
398 CONFIRMED (CP) 85.61%
399 CANDIDATE (PC) 48.73%
400 FALSE POSITIVE 99.58%
401 CONFIRMED (CP) 53.75%
402 CONFIRMED (CP) 96.06%
403 CONFIRMED (CP) 47.70%
404 CONFIRMED (CP) 46.18%
405 FALSE POSITIVE 70.02%
406 CANDIDATE (PC) 48.61%
407 CANDIDATE (PC) 77.98%
408 CANDIDATE (PC) 54.82%
409 CANDIDATE (PC) 79.43%
410 CONFIRMED (CP) 68.57%
411 CANDIDATE (PC) 46.40%
412 CANDIDATE (PC) 61.97%
413 CONFIRMED (CP) 41.44%
414 CONFIRMED (CP) 59.26%
415 FALSE POSITIVE 87.48%
416 CANDIDATE (PC) 98.45%
417 CONFIRMED (CP) 87.95%
418 CONFIRMED (CP) 72.83%
419 CONFIRMED (CP) 44.82%
420 CANDIDATE (PC) 88.16%
421 FALSE POSITIVE 96.16%
422 CANDIDATE (PC) 69.94%
423 CANDIDATE (PC) 83.58%
424 CANDIDATE (PC) 46.35%
425 CONFIRMED (CP) 86.78%
426 CANDIDATE (PC) 56.41%
427 CONFIRMED (CP) 59.76%
428 CONFIRMED (CP) 74.97%
429 FALSE POSITIVE 47.09%
430 CANDIDATE (PC) 92.25%
431 FALSE POSITIVE 90.14%
432 CANDIDATE (PC) 64.74%
433 FALSE POSITIVE 61.86%
434 CONFIRMED (CP) 95.45%
435 CONFIRMED (CP) 86.15%
436 CANDIDATE (PC) 66.87%
437 CANDIDATE (PC) 71.00%
438 FALSE POSITIVE 76.51%
439 CANDIDATE (PC) 69.75%
440 CONFIRMED (CP) 87.25%
441 CONFIRMED (CP) 60.64%
442 CANDIDATE (PC) 47.73%
443 CONFIRMED (CP) 57.33%
444 CANDIDATE (PC) 81.72%
445 FALSE POSITIVE 86.89%
446 CONFIRMED (CP) 36.10%
447 CONFIRMED (CP) 94.08%
448 FALSE POSITIVE 66.44%
449 FALSE POSITIVE 90.81%
450 CONFIRMED (CP) 55.56%
451 CONFIRMED (CP) 93.08%
452 CONFIRMED (CP) 44.48%
453 FALSE POSITIVE 60.87%
454 CONFIRMED (CP) 95.50%
455 FALSE POSITIVE 69.44%
456 FALSE POSITIVE 57.07%
457 CANDIDATE (PC) 46.35%
458 CANDIDATE (PC) 63.45%
459 CANDIDATE (PC) 53.83%
460 FALSE POSITIVE 80.64%
461 FALSE POSITIVE 78.36%
462 CONFIRMED (CP) 70.75%
463 CONFIRMED (CP) 56.01%
464 CANDIDATE (PC) 53.69%
465 CONFIRMED (CP) 41.31%
466 CONFIRMED (CP) 52.20%
467 CANDIDATE (PC) 60.53%
468 FALSE POSITIVE 99.73%
469 CANDIDATE (PC) 41.07%
470 CANDIDATE (PC) 50.82%
471 CANDIDATE (PC) 62.26%
472 CANDIDATE (PC) 50.08%
473 FALSE POSITIVE 99.39%
474 CANDIDATE (PC) 72.23%
475 CANDIDATE (PC) 99.79%
476 CONFIRMED (CP) 87.07%
477 CANDIDATE (PC) 70.61%
478 CONFIRMED (CP) 63.10%
479 FALSE POSITIVE 84.59%
480 FALSE POSITIVE 60.70%
481 CONFIRMED (CP) 76.76%
482 CONFIRMED (CP) 50.37%
483 CONFIRMED (CP) 89.41%
484 CONFIRMED (CP) 69.69%
485 CONFIRMED (CP) 96.27%
486 CANDIDATE (PC) 85.98%
487 CANDIDATE (PC) 53.16%
488 FALSE POSITIVE 52.32%
489 CANDIDATE (PC) 83.39%
490 CONFIRMED (CP) 49.61%
491 CANDIDATE (PC) 71.51%
492 CONFIRMED (CP) 94.19%
493 FALSE POSITIVE 47.90%
494 CANDIDATE (PC) 48.26%
495 CANDIDATE (PC) 81.98%
496 CANDIDATE (PC) 81.18%
497 FALSE POSITIVE 99.74%
498 CONFIRMED (CP) 44.04%
499 CONFIRMED (CP) 49.31%
500 CONFIRMED (CP) 60.55%
501 CANDIDATE (PC) 65.60%
502 CANDIDATE (PC) 67.28%
503 CANDIDATE (PC) 78.89%
504 CONFIRMED (CP) 86.68%
505 FALSE POSITIVE 88.73%
506 CONFIRMED (CP) 96.74%
507 CANDIDATE (PC) 48.55%
508 CANDIDATE (PC) 85.51%
509 CANDIDATE (PC) 80.84%
510 CONFIRMED (CP) 60.35%
511 CONFIRMED (CP) 84.81%
512 CANDIDATE (PC) 84.24%
513 FALSE POSITIVE 72.33%
514 CONFIRMED (CP) 62.69%
515 CANDIDATE (PC) 66.96%
516 CONFIRMED (CP) 76.15%
517 CONFIRMED (CP) 55.66%
518 CANDIDATE (PC) 95.94%
519 FALSE POSITIVE 69.86%
520 CANDIDATE (PC) 80.67%
521 FALSE POSITIVE 66.37%
522 CANDIDATE (PC) 45.71%
523 CONFIRMED (CP) 83.60%
524 FALSE POSITIVE 35.88%
525 CONFIRMED (CP) 65.84%
526 CANDIDATE (PC) 47.07%
527 CONFIRMED (CP) 68.65%
528 CANDIDATE (PC) 53.96%
529 CANDIDATE (PC) 85.23%
530 CANDIDATE (PC) 80.40%
531 FALSE POSITIVE 97.31%
532 FALSE POSITIVE 94.86%
533 CANDIDATE (PC) 43.94%
534 CONFIRMED (CP) 70.27%
535 CONFIRMED (CP) 64.54%
536 FALSE POSITIVE 97.24%
537 CANDIDATE (PC) 49.48%
538 FALSE POSITIVE 50.87%
539 FALSE POSITIVE 72.13%
540 CONFIRMED (CP) 60.65%
541 CONFIRMED (CP) 93.35%
542 FALSE POSITIVE 93.96%
543 FALSE POSITIVE 96.16%
544 FALSE POSITIVE 48.36%
545 CONFIRMED (CP) 47.95%
546 CANDIDATE (PC) 80.31%
547 CANDIDATE (PC) 83.48%
548 CONFIRMED (CP) 67.25%
549 FALSE POSITIVE 59.05%
550 FALSE POSITIVE 74.12%
551 FALSE POSITIVE 99.02%
552 CANDIDATE (PC) 63.57%
553 FALSE POSITIVE 96.43%
554 FALSE POSITIVE 54.24%
555 FALSE POSITIVE 99.15%
556 CONFIRMED (CP) 94.42%
557 FALSE POSITIVE 96.87%
558 CONFIRMED (CP) 73.16%
559 CONFIRMED (CP) 59.63%
560 CANDIDATE (PC) 79.24%
561 CONFIRMED (CP) 56.17%
562 FALSE POSITIVE 45.78%
563 CANDIDATE (PC) 85.30%
564 CONFIRMED (CP) 43.66%
565 CANDIDATE (PC) 68.94%
566 CONFIRMED (CP) 56.63%
567 FALSE POSITIVE 99.17%
568 FALSE POSITIVE 96.18%
569 FALSE POSITIVE 35.22%
570 CANDIDATE (PC) 58.92%
571 CANDIDATE (PC) 79.49%
572 CANDIDATE (PC) 47.51%
573 CONFIRMED (CP) 53.62%
574 CANDIDATE (PC) 45.81%
575 FALSE POSITIVE 98.92%
576 FALSE POSITIVE 98.44%
577 FALSE POSITIVE 66.12%
578 CANDIDATE (PC) 83.47%
579 FALSE POSITIVE 65.49%
580 CANDIDATE (PC) 56.32%
581 FALSE POSITIVE 99.53%
582 FALSE POSITIVE 50.32%
583 FALSE POSITIVE 99.16%
584 FALSE POSITIVE 53.64%
585 CANDIDATE (PC) 49.24%
586 FALSE POSITIVE 96.63%
587 FALSE POSITIVE 63.27%
588 CONFIRMED (CP) 51.65%
589 FALSE POSITIVE 97.93%
590 CONFIRMED (CP) 63.34%
591 CONFIRMED (CP) 97.29%
592 FALSE POSITIVE 99.39%
593 FALSE POSITIVE 37.98%
594 FALSE POSITIVE 88.51%
595 CANDIDATE (PC) 62.32%
596 CONFIRMED (CP) 92.88%
597 CANDIDATE (PC) 84.63%
598 FALSE POSITIVE 99.10%
599 CONFIRMED (CP) 88.79%
600 CANDIDATE (PC) 84.02%
601 FALSE POSITIVE 44.05%
602 CANDIDATE (PC) 50.64%
603 CONFIRMED (CP) 52.18%
604 CANDIDATE (PC) 79.95%
605 CONFIRMED (CP) 63.71%
606 CANDIDATE (PC) 47.59%
607 FALSE POSITIVE 79.74%
608 CONFIRMED (CP) 70.33%
609 CONFIRMED (CP) 95.32%
610 CANDIDATE (PC) 55.68%
611 CONFIRMED (CP) 96.34%
612 CONFIRMED (CP) 61.11%
613 CANDIDATE (PC) 69.63%
614 CANDIDATE (PC) 83.17%
615 CANDIDATE (PC) 38.92%
616 CANDIDATE (PC) 56.53%
617 CANDIDATE (PC) 57.49%
618 CONFIRMED (CP) 50.26%
619 CONFIRMED (CP) 96.12%
620 FALSE POSITIVE 90.32%
621 CONFIRMED (CP) 79.56%
622 FALSE POSITIVE 97.88%
623 CONFIRMED (CP) 67.22%
624 FALSE POSITIVE 99.59%
625 CONFIRMED (CP) 91.34%
626 CANDIDATE (PC) 47.46%
627 FALSE POSITIVE 74.62%
628 FALSE POSITIVE 93.53%
629 CONFIRMED (CP) 71.50%
630 CONFIRMED (CP) 84.12%
631 FALSE POSITIVE 72.56%
632 FALSE POSITIVE 47.24%
633 CANDIDATE (PC) 58.03%
634 CONFIRMED (CP) 61.29%
635 CANDIDATE (PC) 45.06%
636 CANDIDATE (PC) 67.00%
637 CANDIDATE (PC) 79.03%
638 CONFIRMED (CP) 71.45%
639 CANDIDATE (PC) 84.19%
640 FALSE POSITIVE 66.16%
641 CONFIRMED (CP) 65.21%
642 CONFIRMED (CP) 81.95%
643 CONFIRMED (CP) 55.58%
644 FALSE POSITIVE 92.63%
645 FALSE POSITIVE 55.29%
646 CONFIRMED (CP) 86.64%
647 CONFIRMED (CP) 49.12%
648 CANDIDATE (PC) 70.76%
649 CANDIDATE (PC) 75.91%
650 CANDIDATE (PC) 75.60%
651 CANDIDATE (PC) 73.11%
652 CONFIRMED (CP) 46.96%
653 CONFIRMED (CP) 58.34%
654 FALSE POSITIVE 96.88%
655 CONFIRMED (CP) 87.03%
656 CANDIDATE (PC) 75.08%
657 CONFIRMED (CP) 46.74%
658 CONFIRMED (CP) 75.05%
659 CANDIDATE (PC) 56.22%
660 FALSE POSITIVE 77.20%
661 CANDIDATE (PC) 80.50%
662 CANDIDATE (PC) 67.19%
663 CANDIDATE (PC) 58.17%
664 CANDIDATE (PC) 72.86%
665 CANDIDATE (PC) 84.78%
666 CONFIRMED (CP) 64.43%
667 FALSE POSITIVE 99.89%
668 CONFIRMED (CP) 95.31%
669 FALSE POSITIVE 99.56%
670 FALSE POSITIVE 83.40%
671 CONFIRMED (CP) 97.14%
672 CANDIDATE (PC) 47.77%
673 FALSE POSITIVE 93.27%
674 CONFIRMED (CP) 84.36%
675 FALSE POSITIVE 70.09%
676 CANDIDATE (PC) 83.39%
677 CONFIRMED (CP) 75.36%
678 FALSE POSITIVE 98.81%
679 CANDIDATE (PC) 47.05%
680 FALSE POSITIVE 57.44%
681 CONFIRMED (CP) 95.34%
682 FALSE POSITIVE 99.61%
683 CANDIDATE (PC) 99.91%
684 FALSE POSITIVE 96.30%
685 CANDIDATE (PC) 73.15%
686 FALSE POSITIVE 69.44%
687 CONFIRMED (CP) 55.46%
688 CONFIRMED (CP) 95.65%
689 CANDIDATE (PC) 83.51%
690 FALSE POSITIVE 66.86%
691 FALSE POSITIVE 51.96%
692 CONFIRMED (CP) 96.97%
693 CONFIRMED (CP) 86.57%
694 CONFIRMED (CP) 65.01%
695 CONFIRMED (CP) 59.49%
696 FALSE POSITIVE 73.41%
697 CONFIRMED (CP) 94.44%
698 CONFIRMED (CP) 65.08%
699 FALSE POSITIVE 71.96%
700 FALSE POSITIVE 40.21%
701 CONFIRMED (CP) 73.66%
702 CONFIRMED (CP) 92.80%
703 CANDIDATE (PC) 82.68%
704 CONFIRMED (CP) 64.85%
705 FALSE POSITIVE 99.23%
706 FALSE POSITIVE 91.20%
707 FALSE POSITIVE 97.95%
708 CANDIDATE (PC) 99.22%
709 CONFIRMED (CP) 55.40%
710 CANDIDATE (PC) 76.30%
711 FALSE POSITIVE 50.68%
712 CONFIRMED (CP) 93.69%
713 FALSE POSITIVE 99.51%
714 CANDIDATE (PC) 67.01%
715 CANDIDATE (PC) 52.96%
716 CONFIRMED (CP) 52.30%
717 CONFIRMED (CP) 78.92%
718 FALSE POSITIVE 58.26%
719 CONFIRMED (CP) 47.48%
720 CANDIDATE (PC) 52.74%
721 CANDIDATE (PC) 84.95%
722 FALSE POSITIVE 91.71%
723 FALSE POSITIVE 47.02%
724 CONFIRMED (CP) 61.04%
725 CONFIRMED (CP) 87.21%
726 CANDIDATE (PC) 47.41%
727 CONFIRMED (CP) 96.31%
728 CONFIRMED (CP) 93.64%
729 CONFIRMED (CP) 51.10%
730 CANDIDATE (PC) 43.88%
