RESULTADOS DEL MODELO: XGBoost (TestData: complex_data)
======================================================================
Accuracy General: 0.8121

Matriz de Confusión:
203 CANDIDATE (PC) 85.85%
204 CONFIRMED (CP) 97.86%
205 FALSE POSITIVE 63.52%
206 FALSE POSITIVE 90.88%
207 CANDIDATE (PC) 93.05%
208 CONFIRMED (CP) 97.19%
209 CANDIDATE (PC) 66.75%
210 CONFIRMED (CP) 99.07%
211 CONFIRMED (CP) 91.13%
212 CONFIRMED (CP) 95.31%
213 FALSE POSITIVE 99.68%
214 CANDIDATE (PC) 90.72%
215 FALSE POSITIVE 98.83%
216 CANDIDATE (PC) 81.12%
217 FALSE POSITIVE 98.40%
218 CONFIRMED (CP) 98.69%
219 CONFIRMED (CP) 43.62%
220 CANDIDATE (PC) 96.66%
221 FALSE POSITIVE 51.04%
222 CONFIRMED (CP) 86.46%
223 CANDIDATE (PC) 87.23%
224 CANDIDATE (PC) 75.97%
225 FALSE POSITIVE 74.53%
226 CANDIDATE (PC) 88.61%
227 FALSE POSITIVE 62.37%
228 CANDIDATE (PC) 97.44%
229 CONFIRMED (CP) 70.48%
230 CONFIRMED (CP) 99.41%
231 FALSE POSITIVE 75.59%
232 CANDIDATE (PC) 90.99%
233 CANDIDATE (PC) 91.78%
234 CONFIRMED (CP) 99.27%
235 FALSE POSITIVE 69.26%
236 CONFIRMED (CP) 53.42%
237 CONFIRMED (CP) 44.08%
238 CONFIRMED (CP) 95.64%
239 CANDIDATE (PC) 90.72%
240 CONFIRMED (CP) 98.62%
241 FALSE POSITIVE 50.41%
242 CONFIRMED (CP) 96.53%
243 FALSE POSITIVE 56.00%
244 FALSE POSITIVE 99.32%
245 CANDIDATE (PC) 55.76%
246 CANDIDATE (PC) 94.72%
247 CONFIRMED (CP) 99.29%
248 CONFIRMED (CP) 67.78%
249 FALSE POSITIVE 95.26%
250 CANDIDATE (PC) 96.00%
251 CANDIDATE (PC) 89.54%
252 CONFIRMED (CP) 98.66%
253 FALSE POSITIVE 99.53%
254 FALSE POSITIVE 94.28%
255 CANDIDATE (PC) 51.16%
256 FALSE POSITIVE 94.67%
257 FALSE POSITIVE 56.46%
258 CONFIRMED (CP) 92.80%
259 FALSE POSITIVE 51.25%
260 FALSE POSITIVE 90.13%
261 CONFIRMED (CP) 89.90%
262 CANDIDATE (PC) 89.73%
263 CONFIRMED (CP) 88.60%
264 CONFIRMED (CP) 98.13%
265 CANDIDATE (PC) 73.66%
266 CANDIDATE (PC) 94.00%
267 FALSE POSITIVE 99.89%
268 CANDIDATE (PC) 66.16%
269 CANDIDATE (PC) 73.95%
270 CONFIRMED (CP) 53.28%
271 CONFIRMED (CP) 97.66%
272 CANDIDATE (PC) 68.54%
273 CONFIRMED (CP) 38.88%
274 CANDIDATE (PC) 90.92%
275 FALSE POSITIVE 60.87%
276 CANDIDATE (PC) 92.10%
277 CANDIDATE (PC) 43.27%
278 CANDIDATE (PC) 94.38%
279 CANDIDATE (PC) 83.99%
280 CONFIRMED (CP) 92.31%
281 CANDIDATE (PC) 56.12%
282 CANDIDATE (PC) 92.21%
283 FALSE POSITIVE 65.79%
284 FALSE POSITIVE 66.01%
285 CONFIRMED (CP) 98.83%
286 CANDIDATE (PC) 99.74%
287 FALSE POSITIVE 50.41%
288 CONFIRMED (CP) 47.11%
289 CONFIRMED (CP) 87.07%
290 CONFIRMED (CP) 62.05%
291 FALSE POSITIVE 97.27%
292 CONFIRMED (CP) 98.84%
293 FALSE POSITIVE 91.73%
294 FALSE POSITIVE 99.85%
295 CONFIRMED (CP) 89.39%
296 CONFIRMED (CP) 96.44%
297 CANDIDATE (PC) 91.84%
298 CANDIDATE (PC) 70.84%
299 FALSE POSITIVE 51.92%
300 FALSE POSITIVE 99.89%
301 FALSE POSITIVE 93.01%
302 CONFIRMED (CP) 84.69%
303 CANDIDATE (PC) 90.23%
304 FALSE POSITIVE 65.08%
305 CANDIDATE (PC) 90.12%
306 FALSE POSITIVE 50.85%
307 CANDIDATE (PC) 89.95%
308 FALSE POSITIVE 87.53%
309 FALSE POSITIVE 68.58%
310 CANDIDATE (PC) 71.24%
311 FALSE POSITIVE 74.46%
312 CANDIDATE (PC) 77.85%
313 CONFIRMED (CP) 98.53%
314 FALSE POSITIVE 98.92%
315 CANDIDATE (PC) 95.55%
316 CONFIRMED (CP) 95.01%
317 FALSE POSITIVE 75.99%
318 CONFIRMED (CP) 96.66%
319 CONFIRMED (CP) 91.03%
320 CANDIDATE (PC) 95.67%
321 CANDIDATE (PC) 87.40%
322 CANDIDATE (PC) 53.10%
323 FALSE POSITIVE 99.74%
324 CONFIRMED (CP) 66.31%
325 CANDIDATE (PC) 93.23%
326 CANDIDATE (PC) 91.04%
327 CANDIDATE (PC) 82.66%
328 CANDIDATE (PC) 87.47%
329 CONFIRMED (CP) 98.39%
330 CONFIRMED (CP) 62.45%
331 CONFIRMED (CP) 51.10%
332 CANDIDATE (PC) 84.61%
333 CANDIDATE (PC) 50.29%
334 CANDIDATE (PC) 89.43%
335 CANDIDATE (PC) 99.53%
336 CANDIDATE (PC) 94.58%
337 CONFIRMED (CP) 96.94%
338 CANDIDATE (PC) 90.87%
339 CANDIDATE (PC) 92.50%
340 CANDIDATE (PC) 50.01%
341 CANDIDATE (PC) 94.01%
342 FALSE POSITIVE 84.84%
343 FALSE POSITIVE 58.32%
344 CANDIDATE (PC) 64.95%
345 FALSE POSITIVE 98.91%
346 FALSE POSITIVE 89.29%
347 CANDIDATE (PC) 52.03%
348 CANDIDATE (PC) 96.14%
349 CANDIDATE (PC) 43.43%
350 FALSE POSITIVE 84.14%
351 FALSE POSITIVE 71.84%
352 CONFIRMED (CP) 41.88%
353 FALSE POSITIVE 76.55%
354 CANDIDATE (PC) 92.87%
355 FALSE POSITIVE 99.54%
356 CANDIDATE (PC) 53.00%
357 CONFIRMED (CP) 92.57%
358 CONFIRMED (CP) 80.94%
359 CANDIDATE (PC) 79.38%
360 FALSE POSITIVE 99.85%
361 CANDIDATE (PC) 88.58%
362 FALSE POSITIVE 99.81%
363 CANDIDATE (PC) 96.07%
364 CANDIDATE (PC) 90.00%
365 CANDIDATE (PC) 86.10%
366 FALSE POSITIVE 84.58%
367 CANDIDATE (PC) 70.67%
368 FALSE POSITIVE 64.09%
369 FALSE POSITIVE 99.78%
370 CONFIRMED (CP) 98.97%
371 CANDIDATE (PC) 93.26%
372 CANDIDATE (PC) 85.67%
373 CANDIDATE (PC) 90.72%
374 CANDIDATE (PC) 99.82%
375 FALSE POSITIVE 94.36%
376 FALSE POSITIVE 78.04%
377 CONFIRMED (CP) 88.80%
378 CONFIRMED (CP) 98.58%
379 CONFIRMED (CP) 60.94%
380 CANDIDATE (PC) 92.07%
381 CANDIDATE (PC) 61.93%
382 FALSE POSITIVE 88.50%
383 CANDIDATE (PC) 89.15%
384 CANDIDATE (PC) 47.60%
385 FALSE POSITIVE 38.52%
386 FALSE POSITIVE 70.90%
387 FALSE POSITIVE 97.06%
388 CANDIDATE (PC) 55.58%
389 CONFIRMED (CP) 84.37%
390 CONFIRMED (CP) 98.64%
391 CANDIDATE (PC) 48.48%
392 FALSE POSITIVE 53.44%
393 CONFIRMED (CP) 37.43%
394 CONFIRMED (CP) 94.02%
395 CANDIDATE (PC) 93.87%
396 CANDIDATE (PC) 72.80%
397 CONFIRMED (CP) 82.54%
398 CONFIRMED (CP) 38.87%
399 FALSE POSITIVE 68.68%
400 FALSE POSITIVE 82.20%
401 CANDIDATE (PC) 93.66%
402 CANDIDATE (PC) 60.76%
403 CANDIDATE (PC) 85.94%
404 FALSE POSITIVE 95.11%
405 FALSE POSITIVE 99.65%
406 FALSE POSITIVE 67.04%
407 FALSE POSITIVE 87.53%
408 CANDIDATE (PC) 92.22%
409 CONFIRMED (CP) 96.63%
410 CANDIDATE (PC) 82.88%
411 FALSE POSITIVE 67.79%
412 CONFIRMED (CP) 95.36%
413 FALSE POSITIVE 56.68%
414 CONFIRMED (CP) 98.84%
415 CONFIRMED (CP) 71.67%
416 FALSE POSITIVE 79.12%
417 CANDIDATE (PC) 49.11%
418 CANDIDATE (PC) 92.55%
419 FALSE POSITIVE 51.70%
420 CANDIDATE (PC) 89.29%
421 CANDIDATE (PC) 99.59%
422 FALSE POSITIVE 94.45%
423 CONFIRMED (CP) 93.55%
424 CANDIDATE (PC) 88.96%
425 CONFIRMED (CP) 96.59%
426 CANDIDATE (PC) 61.45%
427 CANDIDATE (PC) 99.79%
428 CANDIDATE (PC) 65.06%
429 FALSE POSITIVE 92.69%
430 CONFIRMED (CP) 97.56%
431 CONFIRMED (CP) 74.63%
432 CONFIRMED (CP) 98.20%
433 CONFIRMED (CP) 95.70%
434 CONFIRMED (CP) 57.46%
435 CANDIDATE (PC) 93.59%
436 FALSE POSITIVE 63.68%
437 CANDIDATE (PC) 44.33%
438 CONFIRMED (CP) 93.67%
439 CONFIRMED (CP) 75.18%
440 FALSE POSITIVE 97.75%
441 FALSE POSITIVE 99.90%
442 CONFIRMED (CP) 88.30%
443 CANDIDATE (PC) 50.38%
444 FALSE POSITIVE 93.50%
445 CANDIDATE (PC) 92.32%
446 CONFIRMED (CP) 99.70%
447 CONFIRMED (CP) 93.52%
448 FALSE POSITIVE 99.93%
449 CANDIDATE (PC) 99.68%
450 FALSE POSITIVE 54.04%
451 CANDIDATE (PC) 77.09%
452 CANDIDATE (PC) 90.22%
453 CANDIDATE (PC) 94.80%
454 CANDIDATE (PC) 65.71%
455 CANDIDATE (PC) 85.58%
456 CANDIDATE (PC) 84.77%
457 FALSE POSITIVE 99.12%
458 CONFIRMED (CP) 99.40%
459 FALSE POSITIVE 84.00%
460 CONFIRMED (CP) 85.85%
461 FALSE POSITIVE 70.45%
462 CONFIRMED (CP) 97.99%
463 FALSE POSITIVE 68.01%
464 CANDIDATE (PC) 79.05%
465 FALSE POSITIVE 69.87%
466 CANDIDATE (PC) 86.71%
467 FALSE POSITIVE 99.88%
468 CANDIDATE (PC) 63.60%
469 FALSE POSITIVE 94.07%
470 CONFIRMED (CP) 40.96%
471 FALSE POSITIVE 98.15%
472 FALSE POSITIVE 99.83%
473 CONFIRMED (CP) 96.72%
474 CANDIDATE (PC) 87.84%
475 FALSE POSITIVE 49.84%
476 CANDIDATE (PC) 72.50%
477 CANDIDATE (PC) 54.40%
478 CANDIDATE (PC) 55.90%
479 FALSE POSITIVE 53.45%
480 FALSE POSITIVE 94.94%
481 CANDIDATE (PC) 76.20%
482 CANDIDATE (PC) 86.35%
483 CONFIRMED (CP) 98.08%
484 CANDIDATE (PC) 94.05%
485 CANDIDATE (PC) 89.67%
486 CONFIRMED (CP) 97.84%
487 CANDIDATE (PC) 80.36%
488 FALSE POSITIVE 65.06%
489 CANDIDATE (PC) 85.79%
490 CANDIDATE (PC) 63.62%
491 CONFIRMED (CP) 95.64%
492 CANDIDATE (PC) 99.95%
493 CANDIDATE (PC) 59.87%
494 CONFIRMED (CP) 98.40%
495 CANDIDATE (PC) 82.10%
496 CANDIDATE (PC) 84.05%
497 CONFIRMED (CP) 93.17%
498 CANDIDATE (PC) 90.39%
499 CANDIDATE (PC) 57.19%
500 CANDIDATE (PC) 94.87%
501 CANDIDATE (PC) 89.68%
502 FALSE POSITIVE 99.70%
503 FALSE POSITIVE 71.15%
504 CANDIDATE (PC) 94.91%
505 CONFIRMED (CP) 62.38%
506 CONFIRMED (CP) 95.71%
507 FALSE POSITIVE 99.16%
508 CONFIRMED (CP) 89.60%
509 CANDIDATE (PC) 78.48%
510 CONFIRMED (CP) 95.59%
511 FALSE POSITIVE 65.19%
512 CANDIDATE (PC) 99.90%
513 CANDIDATE (PC) 66.68%
514 CONFIRMED (CP) 82.14%
515 CONFIRMED (CP) 53.56%
516 FALSE POSITIVE 99.46%
517 FALSE POSITIVE 81.68%
518 FALSE POSITIVE 96.86%
519 CONFIRMED (CP) 99.18%
520 CONFIRMED (CP) 47.08%
521 CANDIDATE (PC) 99.25%
522 CONFIRMED (CP) 97.16%
523 CONFIRMED (CP) 92.80%
524 CANDIDATE (PC) 86.53%
525 CANDIDATE (PC) 88.37%
526 CONFIRMED (CP) 40.65%
527 CONFIRMED (CP) 98.65%
528 CANDIDATE (PC) 96.15%
529 CANDIDATE (PC) 94.44%
530 CONFIRMED (CP) 96.13%
531 FALSE POSITIVE 59.01%
532 CANDIDATE (PC) 79.22%
533 CONFIRMED (CP) 74.18%
534 FALSE POSITIVE 99.87%
535 CONFIRMED (CP) 52.62%
536 CANDIDATE (PC) 93.92%
537 FALSE POSITIVE 98.57%
538 CANDIDATE (PC) 92.35%
539 CANDIDATE (PC) 53.42%
540 FALSE POSITIVE 99.89%
541 FALSE POSITIVE 99.53%
542 CONFIRMED (CP) 99.38%
543 FALSE POSITIVE 99.52%
544 FALSE POSITIVE 80.61%
545 CANDIDATE (PC) 86.56%
546 CONFIRMED (CP) 83.22%
547 FALSE POSITIVE 56.05%
548 CANDIDATE (PC) 53.98%
549 CONFIRMED (CP) 79.23%
550 CONFIRMED (CP) 43.05%
551 CONFIRMED (CP) 58.16%
552 CONFIRMED (CP) 50.78%
553 CANDIDATE (PC) 78.55%
554 CANDIDATE (PC) 85.82%
555 CONFIRMED (CP) 95.95%
556 FALSE POSITIVE 99.86%
557 CONFIRMED (CP) 96.79%
558 CANDIDATE (PC) 87.65%
559 CONFIRMED (CP) 68.00%
560 FALSE POSITIVE 85.02%
561 CANDIDATE (PC) 76.78%
562 CONFIRMED (CP) 95.97%
563 CONFIRMED (CP) 49.83%
564 CANDIDATE (PC) 99.06%
565 CANDIDATE (PC) 87.82%
566 CONFIRMED (CP) 96.95%
567 FALSE POSITIVE 99.88%
568 FALSE POSITIVE 73.96%
569 CANDIDATE (PC) 93.56%
570 CANDIDATE (PC) 94.35%
571 CONFIRMED (CP) 99.03%
572 CANDIDATE (PC) 64.47%
573 CANDIDATE (PC) 53.07%
574 CANDIDATE (PC) 51.79%
575 CONFIRMED (CP) 98.79%
576 CANDIDATE (PC) 90.43%
577 FALSE POSITIVE 72.07%
578 CANDIDATE (PC) 83.35%
579 CANDIDATE (PC) 44.22%
580 CANDIDATE (PC) 99.79%
581 CANDIDATE (PC) 92.97%
582 FALSE POSITIVE 99.86%
583 CONFIRMED (CP) 97.23%
584 CANDIDATE (PC) 93.74%
585 FALSE POSITIVE 73.88%
586 CONFIRMED (CP) 97.32%
587 FALSE POSITIVE 98.03%
588 CONFIRMED (CP) 65.61%
589 CONFIRMED (CP) 75.19%
590 CONFIRMED (CP) 86.92%
591 CANDIDATE (PC) 72.62%
592 CANDIDATE (PC) 76.96%
593 CONFIRMED (CP) 99.12%
594 CANDIDATE (PC) 90.50%
595 CONFIRMED (CP) 86.49%
596 CANDIDATE (PC) 86.31%
597 FALSE POSITIVE 61.53%
598 FALSE POSITIVE 99.63%
599 FALSE POSITIVE 67.43%
600 CANDIDATE (PC) 84.70%
601 CANDIDATE (PC) 77.36%
602 CANDIDATE (PC) 75.37%
603 FALSE POSITIVE 62.31%
604 FALSE POSITIVE 79.09%
605 CANDIDATE (PC) 94.74%
606 CANDIDATE (PC) 87.16%
607 CANDIDATE (PC) 93.87%
608 CANDIDATE (PC) 89.42%
609 CONFIRMED (CP) 98.63%
610 CANDIDATE (PC) 93.95%
611 FALSE POSITIVE 68.23%
612 CANDIDATE (PC) 89.32%
613 CANDIDATE (PC) 85.37%
614 CONFIRMED (CP) 97.76%
615 CANDIDATE (PC) 99.80%
616 CANDIDATE (PC) 49.04%
617 CONFIRMED (CP) 95.44%
618 CANDIDATE (PC) 96.62%
619 FALSE POSITIVE 68.70%
620 CONFIRMED (CP) 94.31%
621 CANDIDATE (PC) 55.28%
622 CANDIDATE (PC) 46.10%
623 CANDIDATE (PC) 95.90%
624 CONFIRMED (CP) 97.88%
625 CANDIDATE (PC) 74.87%
626 CONFIRMED (CP) 58.06%
627 CANDIDATE (PC) 84.46%
628 CANDIDATE (PC) 92.50%
629 CANDIDATE (PC) 81.47%
630 CONFIRMED (CP) 55.57%
631 FALSE POSITIVE 61.29%
632 FALSE POSITIVE 81.88%
633 FALSE POSITIVE 58.75%
634 CANDIDATE (PC) 49.13%
635 CONFIRMED (CP) 97.66%
636 CONFIRMED (CP) 98.61%
637 CANDIDATE (PC) 90.05%
638 FALSE POSITIVE 89.00%
639 CANDIDATE (PC) 92.26%
640 CONFIRMED (CP) 98.90%
641 CANDIDATE (PC) 85.86%
642 CONFIRMED (CP) 97.84%
643 CANDIDATE (PC) 90.94%
644 FALSE POSITIVE 98.23%
645 CONFIRMED (CP) 41.31%
646 CANDIDATE (PC) 62.07%
647 CONFIRMED (CP) 92.87%
648 CONFIRMED (CP) 99.83%
649 CONFIRMED (CP) 65.10%
650 FALSE POSITIVE 99.80%
651 FALSE POSITIVE 48.30%
652 CONFIRMED (CP) 85.45%
653 CANDIDATE (PC) 91.72%
654 FALSE POSITIVE 81.53%
655 CANDIDATE (PC) 68.83%
656 FALSE POSITIVE 74.22%
657 FALSE POSITIVE 48.36%
658 FALSE POSITIVE 58.75%
659 CONFIRMED (CP) 81.92%
660 FALSE POSITIVE 99.48%
661 CANDIDATE (PC) 76.26%
662 CONFIRMED (CP) 99.14%
663 FALSE POSITIVE 91.35%
664 CANDIDATE (PC) 87.31%
665 CONFIRMED (CP) 50.94%
666 CANDIDATE (PC) 98.25%
667 CANDIDATE (PC) 73.09%
668 CANDIDATE (PC) 99.61%
669 CONFIRMED (CP) 94.62%
670 CANDIDATE (PC) 48.29%
671 CANDIDATE (PC) 92.04%
672 CONFIRMED (CP) 98.65%
673 FALSE POSITIVE 57.41%
674 FALSE POSITIVE 73.05%
675 CANDIDATE (PC) 99.57%
676 CANDIDATE (PC) 62.69%
677 CONFIRMED (CP) 98.59%
678 FALSE POSITIVE 98.95%
679 CANDIDATE (PC) 91.96%
680 FALSE POSITIVE 96.30%
681 CONFIRMED (CP) 91.94%
682 FALSE POSITIVE 87.97%
683 CANDIDATE (PC) 54.29%
684 CONFIRMED (CP) 35.88%
685 CONFIRMED (CP) 78.87%
686 FALSE POSITIVE 98.22%
687 CANDIDATE (PC) 92.35%
688 CANDIDATE (PC) 65.16%
689 CONFIRMED (CP) 98.63%
690 FALSE POSITIVE 61.55%
691 CANDIDATE (PC) 93.94%
692 CONFIRMED (CP) 97.41%
693 CANDIDATE (PC) 98.60%
694 FALSE POSITIVE 94.41%
695 FALSE POSITIVE 56.88%
696 CANDIDATE (PC) 78.98%
697 CANDIDATE (PC) 74.57%
698 CANDIDATE (PC) 58.04%
699 CANDIDATE (PC) 99.89%
700 CONFIRMED (CP) 75.92%
701 CANDIDATE (PC) 58.57%
702 CONFIRMED (CP) 96.19%
703 FALSE POSITIVE 71.76%
704 CANDIDATE (PC) 50.77%
705 CONFIRMED (CP) 98.28%
706 CONFIRMED (CP) 62.44%
707 CONFIRMED (CP) 83.49%
708 CONFIRMED (CP) 46.80%
709 FALSE POSITIVE 99.88%
710 CANDIDATE (PC) 63.94%
711 CANDIDATE (PC) 94.07%
712 CANDIDATE (PC) 43.75%
713 CONFIRMED (CP) 49.70%
714 CANDIDATE (PC) 98.68%
715 CANDIDATE (PC) 53.30%
716 CANDIDATE (PC) 81.67%
717 FALSE POSITIVE 81.63%
718 CANDIDATE (PC) 77.81%
719 CANDIDATE (PC) 81.42%
720 CONFIRMED (CP) 94.58%
721 CANDIDATE (PC) 84.94%
722 CONFIRMED (CP) 97.35%
723 CANDIDATE (PC) 95.86%
724 CANDIDATE (PC) 69.33%
725 CONFIRMED (CP) 99.28%
726 CANDIDATE (PC) 92.08%
727 CANDIDATE (PC) 93.81%
728 CONFIRMED (CP) 98.49%
729 CONFIRMED (CP) 97.01%
