RESULTADOS DEL MODELO: NN Custom (complex_data)
======================================================================
Accuracy General: 0.7415

Matriz de Confusión:
56 CANDIDATE (PC) 82.75%
57 FALSE POSITIVE 93.74%
58 CANDIDATE (PC) 91.91%
59 CANDIDATE (PC) 77.38%
60 CANDIDATE (PC) 88.90%
61 CONFIRMED (CP) 38.11%
62 FALSE POSITIVE 38.32%
63 CONFIRMED (CP) 95.16%
64 CANDIDATE (PC) 77.93%
65 FALSE POSITIVE 96.71%
66 CANDIDATE (PC) 90.71%
67 CANDIDATE (PC) 75.65%
68 CANDIDATE (PC) 45.25%
69 CANDIDATE (PC) 86.18%
70 CANDIDATE (PC) 90.98%
71 FALSE POSITIVE 98.34%
72 CANDIDATE (PC) 79.76%
73 CANDIDATE (PC) 49.37%
74 FALSE POSITIVE 54.92%
75 CONFIRMED (CP) 99.49%
76 FALSE POSITIVE 83.13%
77 CANDIDATE (PC) 72.72%
78 FALSE POSITIVE 75.56%
79 CONFIRMED (CP) 91.94%
80 CONFIRMED (CP) 50.41%
81 FALSE POSITIVE 99.98%
82 CONFIRMED (CP) 95.68%
83 FALSE POSITIVE 50.95%
84 FALSE POSITIVE 99.51%
85 FALSE POSITIVE 85.94%
86 CONFIRMED (CP) 76.20%
87 FALSE POSITIVE 94.33%
88 CANDIDATE (PC) 70.67%
89 FALSE POSITIVE 98.63%
90 CONFIRMED (CP) 41.09%
91 FALSE POSITIVE 71.95%
92 CANDIDATE (PC) 86.95%
93 CONFIRMED (CP) 92.44%
94 FALSE POSITIVE 98.04%
95 CONFIRMED (CP) 44.74%
96 CONFIRMED (CP) 82.73%
97 CONFIRMED (CP) 95.85%
98 FALSE POSITIVE 63.29%
99 FALSE POSITIVE 58.61%
100 CONFIRMED (CP) 50.49%
101 CONFIRMED (CP) 67.82%
102 FALSE POSITIVE 61.38%
103 CANDIDATE (PC) 82.44%
104 FALSE POSITIVE 62.39%
105 CONFIRMED (CP) 35.97%
106 CONFIRMED (CP) 93.66%
107 CANDIDATE (PC) 59.96%
108 CANDIDATE (PC) 49.82%
109 CANDIDATE (PC) 46.21%
110 CONFIRMED (CP) 71.76%
111 CONFIRMED (CP) 93.50%
112 FALSE POSITIVE 85.00%
113 CONFIRMED (CP) 99.16%
114 CANDIDATE (PC) 76.53%
115 CONFIRMED (CP) 94.64%
116 CANDIDATE (PC) 82.81%
117 CONFIRMED (CP) 46.36%
118 FALSE POSITIVE 54.28%
119 CONFIRMED (CP) 87.15%
120 FALSE POSITIVE 59.79%
121 FALSE POSITIVE 58.44%
122 CANDIDATE (PC) 82.03%
123 CANDIDATE (PC) 66.89%
124 FALSE POSITIVE 57.47%
125 CONFIRMED (CP) 44.77%
126 FALSE POSITIVE 100.00%
127 CANDIDATE (PC) 81.42%
128 CANDIDATE (PC) 39.15%
129 CONFIRMED (CP) 49.74%
130 CANDIDATE (PC) 82.51%
131 CONFIRMED (CP) 56.39%
132 CONFIRMED (CP) 79.32%
133 CANDIDATE (PC) 84.09%
134 CONFIRMED (CP) 49.92%
135 CANDIDATE (PC) 62.28%
136 CANDIDATE (PC) 73.63%
137 CANDIDATE (PC) 41.63%
138 CANDIDATE (PC) 82.47%
139 CONFIRMED (CP) 97.68%
140 FALSE POSITIVE 99.99%
141 CANDIDATE (PC) 73.78%
142 CONFIRMED (CP) 98.84%
143 CONFIRMED (CP) 45.93%
144 FALSE POSITIVE 57.22%
145 CONFIRMED (CP) 39.51%
146 CONFIRMED (CP) 66.01%
147 CANDIDATE (PC) 46.20%
148 CONFIRMED (CP) 94.87%
149 CANDIDATE (PC) 77.13%
150 FALSE POSITIVE 59.45%
151 CANDIDATE (PC) 48.98%
152 CONFIRMED (CP) 48.22%
153 CONFIRMED (CP) 56.00%
154 CANDIDATE (PC) 89.99%
155 CONFIRMED (CP) 48.68%
156 CONFIRMED (CP) 50.90%
157 CONFIRMED (CP) 53.14%
158 CANDIDATE (PC) 51.01%
159 CONFIRMED (CP) 99.49%
160 FALSE POSITIVE 51.87%
161 FALSE POSITIVE 63.58%
162 CANDIDATE (PC) 51.06%
163 CONFIRMED (CP) 97.26%
164 FALSE POSITIVE 90.51%
165 CANDIDATE (PC) 91.46%
166 CONFIRMED (CP) 99.38%
167 CANDIDATE (PC) 65.88%
168 CANDIDATE (PC) 79.39%
169 CANDIDATE (PC) 83.76%
170 CANDIDATE (PC) 67.28%
171 CANDIDATE (PC) 62.21%
172 FALSE POSITIVE 66.42%
173 FALSE POSITIVE 44.52%
174 CANDIDATE (PC) 47.41%
175 CANDIDATE (PC) 76.53%
176 CONFIRMED (CP) 71.45%
177 CONFIRMED (CP) 51.40%
178 CONFIRMED (CP) 46.23%
179 CONFIRMED (CP) 46.23%
180 CANDIDATE (PC) 86.44%
181 FALSE POSITIVE 58.48%
182 FALSE POSITIVE 52.05%
183 CANDIDATE (PC) 46.16%
184 CONFIRMED (CP) 53.88%
185 CANDIDATE (PC) 91.86%
186 CONFIRMED (CP) 83.63%
187 FALSE POSITIVE 63.59%
188 CANDIDATE (PC) 83.14%
189 CANDIDATE (PC) 76.24%
190 FALSE POSITIVE 62.68%
191 FALSE POSITIVE 86.38%
192 FALSE POSITIVE 99.83%
193 CONFIRMED (CP) 96.66%
194 CANDIDATE (PC) 70.75%
195 CANDIDATE (PC) 47.18%
196 CANDIDATE (PC) 86.35%
197 CANDIDATE (PC) 50.13%
198 CONFIRMED (CP) 94.91%
199 FALSE POSITIVE 100.00%
200 CANDIDATE (PC) 65.25%
201 FALSE POSITIVE 62.11%
202 CONFIRMED (CP) 42.71%
203 CONFIRMED (CP) 95.50%
204 CONFIRMED (CP) 84.22%
205 CANDIDATE (PC) 89.28%
206 FALSE POSITIVE 85.62%
207 FALSE POSITIVE 83.26%
208 CANDIDATE (PC) 81.11%
209 FALSE POSITIVE 58.55%
210 CANDIDATE (PC) 84.26%
211 FALSE POSITIVE 60.84%
212 CANDIDATE (PC) 49.66%
213 CONFIRMED (CP) 53.83%
214 FALSE POSITIVE 57.15%
215 FALSE POSITIVE 54.44%
216 FALSE POSITIVE 51.98%
217 FALSE POSITIVE 96.41%
218 CANDIDATE (PC) 83.84%
219 CONFIRMED (CP) 94.35%
220 CANDIDATE (PC) 78.94%
221 FALSE POSITIVE 99.93%
222 CONFIRMED (CP) 96.85%
223 CANDIDATE (PC) 54.06%
224 CANDIDATE (PC) 59.62%
225 CONFIRMED (CP) 52.63%
226 CANDIDATE (PC) 77.57%
227 FALSE POSITIVE 52.78%
228 CANDIDATE (PC) 59.90%
229 FALSE POSITIVE 73.60%
230 FALSE POSITIVE 99.99%
231 FALSE POSITIVE 85.10%
232 FALSE POSITIVE 57.78%
233 CONFIRMED (CP) 76.50%
234 FALSE POSITIVE 51.28%
235 CONFIRMED (CP) 82.00%
236 CANDIDATE (PC) 37.19%
237 FALSE POSITIVE 100.00%
238 CONFIRMED (CP) 42.77%
239 FALSE POSITIVE 99.16%
240 CONFIRMED (CP) 96.38%
241 CONFIRMED (CP) 99.26%
242 FALSE POSITIVE 48.54%
243 FALSE POSITIVE 58.21%
244 CANDIDATE (PC) 63.06%
245 CONFIRMED (CP) 43.71%
246 CANDIDATE (PC) 84.37%
247 CONFIRMED (CP) 99.13%
248 CANDIDATE (PC) 61.50%
249 CANDIDATE (PC) 88.06%
250 CANDIDATE (PC) 64.96%
251 FALSE POSITIVE 60.09%
252 FALSE POSITIVE 80.95%
253 FALSE POSITIVE 48.02%
254 CONFIRMED (CP) 35.15%
255 FALSE POSITIVE 97.37%
256 CANDIDATE (PC) 88.31%
257 FALSE POSITIVE 97.25%
258 CANDIDATE (PC) 92.59%
259 CANDIDATE (PC) 92.41%
260 CANDIDATE (PC) 80.37%
261 CONFIRMED (CP) 92.12%
262 FALSE POSITIVE 100.00%
263 FALSE POSITIVE 83.48%
264 CONFIRMED (CP) 99.96%
265 CONFIRMED (CP) 97.31%
266 CANDIDATE (PC) 84.07%
267 CANDIDATE (PC) 44.98%
268 CONFIRMED (CP) 95.81%
269 CANDIDATE (PC) 85.46%
270 CONFIRMED (CP) 95.46%
271 CANDIDATE (PC) 56.46%
272 FALSE POSITIVE 100.00%
273 CANDIDATE (PC) 39.78%
274 FALSE POSITIVE 58.75%
275 FALSE POSITIVE 80.09%
276 CANDIDATE (PC) 91.90%
277 CANDIDATE (PC) 75.46%
278 CONFIRMED (CP) 98.70%
279 CONFIRMED (CP) 99.45%
280 CONFIRMED (CP) 47.09%
281 FALSE POSITIVE 99.99%
282 FALSE POSITIVE 44.88%
283 CANDIDATE (PC) 90.90%
284 FALSE POSITIVE 39.57%
285 CANDIDATE (PC) 74.52%
286 CONFIRMED (CP) 46.51%
287 FALSE POSITIVE 88.76%
288 CANDIDATE (PC) 46.81%
289 CANDIDATE (PC) 63.35%
290 CANDIDATE (PC) 87.74%
291 CANDIDATE (PC) 77.66%
292 CANDIDATE (PC) 65.90%
293 CANDIDATE (PC) 54.04%
294 CANDIDATE (PC) 91.83%
295 CANDIDATE (PC) 82.53%
296 FALSE POSITIVE 95.85%
297 FALSE POSITIVE 56.78%
298 CONFIRMED (CP) 77.26%
299 CANDIDATE (PC) 90.16%
300 CANDIDATE (PC) 51.15%
301 CANDIDATE (PC) 56.51%
302 CANDIDATE (PC) 69.95%
303 FALSE POSITIVE 79.48%
304 CANDIDATE (PC) 50.96%
305 CANDIDATE (PC) 87.02%
306 CONFIRMED (CP) 80.76%
307 CANDIDATE (PC) 46.75%
308 FALSE POSITIVE 73.53%
309 FALSE POSITIVE 60.35%
310 CONFIRMED (CP) 99.13%
311 CANDIDATE (PC) 75.03%
312 CANDIDATE (PC) 81.94%
313 CANDIDATE (PC) 91.91%
314 FALSE POSITIVE 89.32%
315 FALSE POSITIVE 95.21%
316 CANDIDATE (PC) 55.61%
317 CANDIDATE (PC) 86.40%
318 CANDIDATE (PC) 55.87%
319 CANDIDATE (PC) 68.68%
320 CONFIRMED (CP) 82.69%
321 CONFIRMED (CP) 95.40%
322 CANDIDATE (PC) 63.78%
323 CANDIDATE (PC) 77.73%
324 CANDIDATE (PC) 85.07%
325 CONFIRMED (CP) 98.85%
326 CONFIRMED (CP) 38.61%
327 CANDIDATE (PC) 73.25%
328 CANDIDATE (PC) 75.45%
329 CANDIDATE (PC) 50.47%
330 CANDIDATE (PC) 79.85%
331 CANDIDATE (PC) 77.87%
332 FALSE POSITIVE 54.88%
333 FALSE POSITIVE 55.74%
334 CANDIDATE (PC) 73.86%
335 FALSE POSITIVE 99.85%
336 CANDIDATE (PC) 71.46%
337 CANDIDATE (PC) 63.53%
338 FALSE POSITIVE 98.20%
339 CONFIRMED (CP) 99.38%
340 FALSE POSITIVE 54.70%
341 FALSE POSITIVE 74.59%
342 CONFIRMED (CP) 77.49%
343 FALSE POSITIVE 58.14%
344 CANDIDATE (PC) 70.66%
345 CONFIRMED (CP) 62.46%
346 FALSE POSITIVE 41.35%
347 CANDIDATE (PC) 74.08%
348 CANDIDATE (PC) 83.55%
349 CONFIRMED (CP) 94.93%
350 CANDIDATE (PC) 44.92%
351 CONFIRMED (CP) 67.83%
352 CANDIDATE (PC) 52.34%
353 FALSE POSITIVE 56.92%
354 CONFIRMED (CP) 83.35%
355 CONFIRMED (CP) 69.85%
356 CONFIRMED (CP) 83.78%
357 FALSE POSITIVE 71.17%
358 CANDIDATE (PC) 93.13%
359 CONFIRMED (CP) 69.96%
360 CANDIDATE (PC) 62.06%
361 FALSE POSITIVE 81.14%
362 CANDIDATE (PC) 38.79%
363 FALSE POSITIVE 97.79%
364 CONFIRMED (CP) 74.31%
365 CANDIDATE (PC) 81.67%
366 FALSE POSITIVE 59.68%
367 CANDIDATE (PC) 64.13%
368 CANDIDATE (PC) 91.25%
369 FALSE POSITIVE 88.65%
370 FALSE POSITIVE 90.32%
371 FALSE POSITIVE 74.73%
372 FALSE POSITIVE 99.98%
373 FALSE POSITIVE 95.52%
374 FALSE POSITIVE 70.87%
375 CANDIDATE (PC) 90.43%
376 CONFIRMED (CP) 53.23%
377 CANDIDATE (PC) 49.51%
378 FALSE POSITIVE 89.66%
379 CONFIRMED (CP) 81.57%
380 FALSE POSITIVE 85.72%
381 CONFIRMED (CP) 74.63%
382 CONFIRMED (CP) 61.03%
383 CANDIDATE (PC) 60.72%
384 FALSE POSITIVE 87.95%
385 FALSE POSITIVE 100.00%
386 CONFIRMED (CP) 50.22%
387 CANDIDATE (PC) 44.44%
388 CANDIDATE (PC) 74.57%
389 CONFIRMED (CP) 45.31%
390 CANDIDATE (PC) 46.68%
391 CANDIDATE (PC) 84.13%
392 FALSE POSITIVE 72.85%
393 CANDIDATE (PC) 82.48%
394 CANDIDATE (PC) 72.33%
395 FALSE POSITIVE 89.36%
396 FALSE POSITIVE 57.22%
397 FALSE POSITIVE 100.00%
398 CANDIDATE (PC) 80.87%
399 CANDIDATE (PC) 90.43%
400 FALSE POSITIVE 99.98%
401 CONFIRMED (CP) 41.60%
402 CONFIRMED (CP) 98.80%
403 CONFIRMED (CP) 58.48%
404 CONFIRMED (CP) 55.64%
405 FALSE POSITIVE 66.84%
406 CANDIDATE (PC) 55.83%
407 CANDIDATE (PC) 86.25%
408 CANDIDATE (PC) 84.47%
409 CANDIDATE (PC) 82.69%
410 CONFIRMED (CP) 48.09%
411 CONFIRMED (CP) 61.23%
412 FALSE POSITIVE 58.20%
413 CANDIDATE (PC) 45.95%
414 CONFIRMED (CP) 95.15%
415 FALSE POSITIVE 99.28%
416 CANDIDATE (PC) 83.35%
417 CONFIRMED (CP) 97.51%
418 CONFIRMED (CP) 43.89%
419 FALSE POSITIVE 72.00%
420 CANDIDATE (PC) 91.03%
421 FALSE POSITIVE 99.44%
422 CANDIDATE (PC) 56.09%
423 CANDIDATE (PC) 83.19%
424 CANDIDATE (PC) 79.89%
425 CONFIRMED (CP) 94.58%
426 CONFIRMED (CP) 81.77%
427 CANDIDATE (PC) 66.67%
428 CONFIRMED (CP) 98.59%
429 FALSE POSITIVE 47.66%
430 CANDIDATE (PC) 84.57%
431 FALSE POSITIVE 99.30%
432 FALSE POSITIVE 66.63%
433 CANDIDATE (PC) 40.08%
434 CONFIRMED (CP) 96.93%
435 CONFIRMED (CP) 61.25%
436 CONFIRMED (CP) 93.92%
437 CANDIDATE (PC) 86.06%
438 FALSE POSITIVE 71.12%
439 FALSE POSITIVE 51.32%
440 CONFIRMED (CP) 55.69%
441 CANDIDATE (PC) 78.68%
442 CANDIDATE (PC) 80.59%
443 CONFIRMED (CP) 92.16%
444 CANDIDATE (PC) 75.52%
445 CANDIDATE (PC) 53.76%
446 CONFIRMED (CP) 39.44%
447 CONFIRMED (CP) 98.60%
448 FALSE POSITIVE 60.72%
449 FALSE POSITIVE 80.46%
450 CONFIRMED (CP) 44.78%
451 CONFIRMED (CP) 67.26%
452 FALSE POSITIVE 71.14%
453 CANDIDATE (PC) 50.46%
454 CONFIRMED (CP) 84.96%
455 FALSE POSITIVE 44.92%
456 FALSE POSITIVE 49.48%
457 CANDIDATE (PC) 94.17%
458 FALSE POSITIVE 79.49%
459 CANDIDATE (PC) 92.93%
460 FALSE POSITIVE 55.31%
461 CONFIRMED (CP) 47.70%
462 CONFIRMED (CP) 68.38%
463 CONFIRMED (CP) 42.35%
464 CANDIDATE (PC) 67.16%
465 CONFIRMED (CP) 59.10%
466 CONFIRMED (CP) 91.43%
467 CANDIDATE (PC) 87.44%
468 FALSE POSITIVE 85.34%
469 FALSE POSITIVE 44.00%
470 FALSE POSITIVE 50.80%
471 CANDIDATE (PC) 70.04%
472 FALSE POSITIVE 52.14%
473 FALSE POSITIVE 93.56%
474 CANDIDATE (PC) 86.01%
475 CANDIDATE (PC) 91.41%
476 CONFIRMED (CP) 94.79%
477 FALSE POSITIVE 51.22%
478 CONFIRMED (CP) 97.89%
479 CANDIDATE (PC) 49.48%
480 CANDIDATE (PC) 51.37%
481 CONFIRMED (CP) 95.02%
482 CONFIRMED (CP) 95.70%
483 CONFIRMED (CP) 80.34%
484 CONFIRMED (CP) 48.88%
485 CONFIRMED (CP) 83.95%
486 CANDIDATE (PC) 83.10%
487 CANDIDATE (PC) 89.77%
488 FALSE POSITIVE 59.89%
489 CANDIDATE (PC) 88.03%
490 CONFIRMED (CP) 45.64%
491 CANDIDATE (PC) 86.77%
492 CONFIRMED (CP) 99.40%
493 CANDIDATE (PC) 64.00%
494 CANDIDATE (PC) 55.60%
495 FALSE POSITIVE 63.52%
496 CANDIDATE (PC) 68.74%
497 FALSE POSITIVE 99.99%
498 CANDIDATE (PC) 87.10%
499 CONFIRMED (CP) 60.40%
500 CANDIDATE (PC) 66.67%
501 CANDIDATE (PC) 91.20%
502 CANDIDATE (PC) 45.25%
503 CONFIRMED (CP) 74.63%
504 FALSE POSITIVE 38.09%
505 FALSE POSITIVE 91.00%
506 CONFIRMED (CP) 86.26%
507 FALSE POSITIVE 52.83%
508 CANDIDATE (PC) 73.01%
509 CANDIDATE (PC) 85.30%
510 CONFIRMED (CP) 94.61%
511 CONFIRMED (CP) 43.49%
512 CANDIDATE (PC) 83.98%
513 FALSE POSITIVE 66.77%
514 CONFIRMED (CP) 83.79%
515 CANDIDATE (PC) 78.83%
516 CONFIRMED (CP) 95.23%
517 CONFIRMED (CP) 51.02%
518 CANDIDATE (PC) 80.57%
519 FALSE POSITIVE 62.24%
520 CANDIDATE (PC) 90.88%
521 CANDIDATE (PC) 80.83%
522 CANDIDATE (PC) 77.74%
523 CONFIRMED (CP) 61.73%
524 CANDIDATE (PC) 48.99%
525 FALSE POSITIVE 59.80%
526 CONFIRMED (CP) 84.66%
527 CANDIDATE (PC) 81.92%
528 CANDIDATE (PC) 50.57%
529 CANDIDATE (PC) 88.78%
530 CONFIRMED (CP) 94.10%
531 FALSE POSITIVE 99.99%
532 CANDIDATE (PC) 77.60%
533 CANDIDATE (PC) 84.45%
534 CONFIRMED (CP) 39.78%
535 CANDIDATE (PC) 81.56%
536 FALSE POSITIVE 99.98%
537 FALSE POSITIVE 58.39%
538 CONFIRMED (CP) 42.02%
539 FALSE POSITIVE 63.34%
540 CANDIDATE (PC) 87.09%
541 CONFIRMED (CP) 98.29%
542 FALSE POSITIVE 72.03%
543 FALSE POSITIVE 99.99%
544 CONFIRMED (CP) 84.54%
545 CONFIRMED (CP) 91.65%
546 CANDIDATE (PC) 79.81%
547 CANDIDATE (PC) 92.00%
548 CANDIDATE (PC) 64.06%
549 CANDIDATE (PC) 57.75%
550 FALSE POSITIVE 55.58%
551 FALSE POSITIVE 89.90%
552 CANDIDATE (PC) 80.62%
553 FALSE POSITIVE 55.69%
554 FALSE POSITIVE 81.64%
555 FALSE POSITIVE 90.05%
556 CONFIRMED (CP) 85.26%
557 FALSE POSITIVE 78.92%
558 CONFIRMED (CP) 47.58%
559 FALSE POSITIVE 36.58%
560 CANDIDATE (PC) 83.55%
561 CANDIDATE (PC) 58.11%
562 FALSE POSITIVE 68.95%
563 CANDIDATE (PC) 65.92%
564 CANDIDATE (PC) 40.81%
565 CANDIDATE (PC) 88.74%
566 CANDIDATE (PC) 81.21%
567 FALSE POSITIVE 99.65%
568 FALSE POSITIVE 98.49%
569 CANDIDATE (PC) 40.57%
570 CONFIRMED (CP) 54.69%
571 CANDIDATE (PC) 92.44%
572 CANDIDATE (PC) 48.15%
573 FALSE POSITIVE 42.79%
574 CANDIDATE (PC) 87.85%
575 FALSE POSITIVE 100.00%
576 FALSE POSITIVE 67.60%
577 FALSE POSITIVE 63.44%
578 FALSE POSITIVE 61.32%
579 CANDIDATE (PC) 50.12%
580 FALSE POSITIVE 67.63%
581 FALSE POSITIVE 93.02%
582 FALSE POSITIVE 36.53%
583 FALSE POSITIVE 97.23%
584 CONFIRMED (CP) 57.94%
585 CANDIDATE (PC) 92.01%
586 FALSE POSITIVE 92.50%
587 CANDIDATE (PC) 50.41%
588 CONFIRMED (CP) 69.83%
589 FALSE POSITIVE 97.57%
590 CONFIRMED (CP) 92.54%
591 CONFIRMED (CP) 97.81%
592 FALSE POSITIVE 57.93%
593 CANDIDATE (PC) 49.47%
594 CANDIDATE (PC) 75.01%
595 CANDIDATE (PC) 83.76%
596 CONFIRMED (CP) 84.74%
597 CONFIRMED (CP) 95.00%
598 FALSE POSITIVE 99.25%
599 CONFIRMED (CP) 65.85%
600 CANDIDATE (PC) 69.25%
601 FALSE POSITIVE 50.39%
602 FALSE POSITIVE 53.40%
603 CANDIDATE (PC) 75.81%
604 CANDIDATE (PC) 57.77%
605 CONFIRMED (CP) 93.15%
606 CANDIDATE (PC) 90.17%
607 FALSE POSITIVE 69.96%
608 CONFIRMED (CP) 61.00%
609 CONFIRMED (CP) 79.63%
610 FALSE POSITIVE 58.97%
611 CONFIRMED (CP) 99.33%
612 CANDIDATE (PC) 47.05%
613 CANDIDATE (PC) 89.13%
614 CANDIDATE (PC) 82.79%
615 FALSE POSITIVE 38.90%
616 CANDIDATE (PC) 56.37%
617 FALSE POSITIVE 60.62%
618 CANDIDATE (PC) 72.14%
619 CONFIRMED (CP) 98.74%
620 FALSE POSITIVE 82.11%
621 CONFIRMED (CP) 61.22%
622 FALSE POSITIVE 99.66%
623 CANDIDATE (PC) 50.18%
624 FALSE POSITIVE 99.97%
625 CONFIRMED (CP) 85.45%
626 CONFIRMED (CP) 88.41%
627 CANDIDATE (PC) 76.90%
628 FALSE POSITIVE 98.28%
629 CONFIRMED (CP) 38.98%
630 CANDIDATE (PC) 46.33%
631 FALSE POSITIVE 71.91%
632 CANDIDATE (PC) 72.73%
633 FALSE POSITIVE 52.07%
634 CANDIDATE (PC) 84.11%
635 FALSE POSITIVE 47.36%
636 FALSE POSITIVE 64.31%
637 CANDIDATE (PC) 82.42%
638 CANDIDATE (PC) 43.49%
639 CANDIDATE (PC) 85.31%
640 FALSE POSITIVE 49.41%
641 CONFIRMED (CP) 95.05%
642 CONFIRMED (CP) 55.10%
643 CONFIRMED (CP) 94.84%
644 FALSE POSITIVE 87.24%
645 CANDIDATE (PC) 77.27%
646 CONFIRMED (CP) 74.27%
647 CONFIRMED (CP) 92.32%
648 CANDIDATE (PC) 83.52%
649 CANDIDATE (PC) 57.10%
650 CANDIDATE (PC) 70.14%
651 CANDIDATE (PC) 63.78%
652 CONFIRMED (CP) 97.50%
653 FALSE POSITIVE 54.28%
654 FALSE POSITIVE 99.95%
655 CONFIRMED (CP) 98.41%
656 FALSE POSITIVE 52.75%
657 FALSE POSITIVE 80.99%
658 CONFIRMED (CP) 47.18%
659 CANDIDATE (PC) 81.04%
660 FALSE POSITIVE 42.93%
661 CANDIDATE (PC) 89.66%
662 CANDIDATE (PC) 85.78%
663 CANDIDATE (PC) 89.85%
664 CANDIDATE (PC) 87.87%
665 CANDIDATE (PC) 92.03%
666 CONFIRMED (CP) 48.56%
667 FALSE POSITIVE 99.99%
668 CONFIRMED (CP) 83.48%
669 FALSE POSITIVE 100.00%
670 FALSE POSITIVE 77.85%
671 CONFIRMED (CP) 98.20%
672 FALSE POSITIVE 58.29%
673 CONFIRMED (CP) 43.03%
674 CONFIRMED (CP) 39.98%
675 FALSE POSITIVE 38.51%
676 CANDIDATE (PC) 69.51%
677 CONFIRMED (CP) 70.20%
678 FALSE POSITIVE 97.77%
679 CANDIDATE (PC) 72.73%
680 CANDIDATE (PC) 63.97%
681 CONFIRMED (CP) 98.49%
682 FALSE POSITIVE 99.94%
683 CANDIDATE (PC) 76.51%
684 FALSE POSITIVE 98.87%
685 CANDIDATE (PC) 86.41%
686 FALSE POSITIVE 82.60%
687 CANDIDATE (PC) 51.02%
688 CONFIRMED (CP) 98.56%
689 CANDIDATE (PC) 87.98%
690 FALSE POSITIVE 48.07%
691 CONFIRMED (CP) 46.67%
692 CONFIRMED (CP) 99.36%
693 CONFIRMED (CP) 60.71%
694 CONFIRMED (CP) 94.51%
695 CONFIRMED (CP) 60.63%
696 FALSE POSITIVE 69.28%
697 CONFIRMED (CP) 99.97%
698 CANDIDATE (PC) 56.46%
699 FALSE POSITIVE 48.30%
700 FALSE POSITIVE 64.73%
701 FALSE POSITIVE 60.95%
702 CONFIRMED (CP) 84.31%
703 CANDIDATE (PC) 87.57%
704 FALSE POSITIVE 48.65%
705 FALSE POSITIVE 99.99%
706 FALSE POSITIVE 70.17%
707 FALSE POSITIVE 99.99%
708 CANDIDATE (PC) 71.25%
709 CONFIRMED (CP) 90.13%
710 CONFIRMED (CP) 97.54%
711 CANDIDATE (PC) 54.03%
712 CONFIRMED (CP) 87.71%
713 FALSE POSITIVE 86.60%
714 CANDIDATE (PC) 77.10%
715 CANDIDATE (PC) 59.23%
716 CANDIDATE (PC) 58.91%
717 CONFIRMED (CP) 49.72%
718 FALSE POSITIVE 66.57%
719 CONFIRMED (CP) 93.44%
720 FALSE POSITIVE 52.33%
721 FALSE POSITIVE 51.63%
722 FALSE POSITIVE 91.48%
723 CONFIRMED (CP) 39.57%
724 CONFIRMED (CP) 96.69%
725 CONFIRMED (CP) 94.39%
726 CANDIDATE (PC) 79.64%
727 CONFIRMED (CP) 78.97%
728 CONFIRMED (CP) 76.20%
729 FALSE POSITIVE 36.71%
730 CONFIRMED (CP) 44.03%
