RESULTADOS DEL MODELO: XGBoost
61 CONFIRMED (CP) 57.14%
62 CANDIDATE (PC) 60.35%
63 CONFIRMED (CP) 56.15%
64 CANDIDATE (PC) 75.68%
65 FALSE POSITIVE 96.31%
66 CANDIDATE (PC) 84.40%
67 CANDIDATE (PC) 82.75%
68 FALSE POSITIVE 78.65%
69 CANDIDATE (PC) 91.79%
70 CANDIDATE (PC) 83.99%
71 FALSE POSITIVE 99.11%
72 CANDIDATE (PC) 72.96%
73 FALSE POSITIVE 62.38%
74 FALSE POSITIVE 55.32%
75 CONFIRMED (CP) 98.39%
76 FALSE POSITIVE 92.49%
77 CANDIDATE (PC) 65.63%
78 FALSE POSITIVE 80.91%
79 CONFIRMED (CP) 75.54%
80 CONFIRMED (CP) 69.91%
81 FALSE POSITIVE 97.33%
82 CONFIRMED (CP) 50.80%
83 FALSE POSITIVE 48.94%
84 FALSE POSITIVE 98.96%
85 FALSE POSITIVE 97.77%
86 CONFIRMED (CP) 94.13%
87 FALSE POSITIVE 98.18%
88 CANDIDATE (PC) 64.05%
89 FALSE POSITIVE 99.42%
90 CONFIRMED (CP) 77.86%
91 FALSE POSITIVE 71.25%
92 CANDIDATE (PC) 92.56%
93 CONFIRMED (CP) 50.14%
94 FALSE POSITIVE 91.47%
95 CONFIRMED (CP) 72.32%
96 FALSE POSITIVE 42.99%
97 CONFIRMED (CP) 69.14%
98 FALSE POSITIVE 57.30%
99 CANDIDATE (PC) 83.64%
100 CANDIDATE (PC) 44.63%
101 CANDIDATE (PC) 49.54%
102 CONFIRMED (CP) 50.16%
103 CANDIDATE (PC) 88.14%
104 FALSE POSITIVE 97.04%
105 CONFIRMED (CP) 58.26%
106 CONFIRMED (CP) 58.44%
107 CANDIDATE (PC) 52.65%
108 FALSE POSITIVE 54.19%
109 FALSE POSITIVE 52.62%
110 CANDIDATE (PC) 68.49%
111 CANDIDATE (PC) 46.98%
112 CANDIDATE (PC) 55.65%
113 CONFIRMED (CP) 70.66%
114 CANDIDATE (PC) 79.05%
115 CANDIDATE (PC) 42.84%
116 CANDIDATE (PC) 68.57%
117 CONFIRMED (CP) 87.19%
118 CANDIDATE (PC) 68.92%
119 CANDIDATE (PC) 56.43%
120 CANDIDATE (PC) 77.23%
121 CANDIDATE (PC) 57.64%
122 CANDIDATE (PC) 79.43%
123 CONFIRMED (CP) 74.16%
124 CANDIDATE (PC) 79.67%
125 CANDIDATE (PC) 54.62%
126 FALSE POSITIVE 98.14%
127 CANDIDATE (PC) 78.95%
128 FALSE POSITIVE 82.56%
129 CONFIRMED (CP) 71.05%
130 CANDIDATE (PC) 87.88%
131 CONFIRMED (CP) 86.28%
132 CONFIRMED (CP) 96.32%
133 CANDIDATE (PC) 88.84%
134 CANDIDATE (PC) 63.25%
135 CONFIRMED (CP) 78.19%
136 CANDIDATE (PC) 81.36%
137 CONFIRMED (CP) 49.23%
138 CANDIDATE (PC) 75.46%
139 CONFIRMED (CP) 77.50%
140 FALSE POSITIVE 94.34%
141 CANDIDATE (PC) 87.70%
142 CONFIRMED (CP) 95.01%
143 CONFIRMED (CP) 60.20%
144 FALSE POSITIVE 60.74%
145 CANDIDATE (PC) 45.28%
146 CONFIRMED (CP) 86.91%
147 FALSE POSITIVE 56.00%
148 CANDIDATE (PC) 51.25%
149 CANDIDATE (PC) 85.49%
150 FALSE POSITIVE 85.98%
151 FALSE POSITIVE 56.45%
152 CONFIRMED (CP) 66.67%
153 CONFIRMED (CP) 85.80%
154 CANDIDATE (PC) 85.79%
155 CANDIDATE (PC) 44.75%
156 CONFIRMED (CP) 63.71%
157 CONFIRMED (CP) 90.91%
158 CANDIDATE (PC) 47.06%
159 CONFIRMED (CP) 95.60%
160 CANDIDATE (PC) 69.34%
161 FALSE POSITIVE 70.76%
162 FALSE POSITIVE 81.82%
163 CANDIDATE (PC) 52.69%
164 FALSE POSITIVE 94.23%
165 CANDIDATE (PC) 89.42%
166 CONFIRMED (CP) 95.09%
167 CANDIDATE (PC) 58.77%
168 FALSE POSITIVE 58.30%
169 CANDIDATE (PC) 68.77%
170 FALSE POSITIVE 53.48%
171 CANDIDATE (PC) 51.18%
172 CANDIDATE (PC) 52.08%
173 FALSE POSITIVE 46.88%
174 CANDIDATE (PC) 63.19%
175 CANDIDATE (PC) 91.34%
176 CONFIRMED (CP) 95.93%
177 CONFIRMED (CP) 81.54%
178 CONFIRMED (CP) 88.44%
179 CANDIDATE (PC) 41.88%
180 CANDIDATE (PC) 89.52%
181 CANDIDATE (PC) 73.49%
182 CANDIDATE (PC) 84.02%
183 CANDIDATE (PC) 45.25%
184 CONFIRMED (CP) 80.58%
185 CANDIDATE (PC) 56.71%
186 CONFIRMED (CP) 54.18%
187 FALSE POSITIVE 98.75%
188 CANDIDATE (PC) 72.66%
189 CANDIDATE (PC) 65.86%
190 FALSE POSITIVE 57.37%
191 FALSE POSITIVE 94.22%
192 FALSE POSITIVE 98.63%
193 CANDIDATE (PC) 66.64%
194 CANDIDATE (PC) 49.90%
195 CONFIRMED (CP) 50.58%
196 CANDIDATE (PC) 98.96%
197 CANDIDATE (PC) 47.22%
198 CONFIRMED (CP) 52.69%
199 FALSE POSITIVE 98.51%
200 CONFIRMED (CP) 43.46%
201 CANDIDATE (PC) 53.37%
202 CONFIRMED (CP) 46.83%
203 CONFIRMED (CP) 79.63%
204 CONFIRMED (CP) 65.53%
205 CANDIDATE (PC) 89.34%
206 FALSE POSITIVE 98.02%
207 CANDIDATE (PC) 52.65%
208 CANDIDATE (PC) 49.57%
209 CANDIDATE (PC) 46.87%
210 CANDIDATE (PC) 82.68%
211 FALSE POSITIVE 99.10%
212 FALSE POSITIVE 57.72%
213 CANDIDATE (PC) 57.73%
214 FALSE POSITIVE 74.86%
215 CANDIDATE (PC) 88.89%
216 CANDIDATE (PC) 56.72%
217 FALSE POSITIVE 96.78%
218 CANDIDATE (PC) 72.73%
219 CONFIRMED (CP) 81.62%
220 CANDIDATE (PC) 93.04%
221 FALSE POSITIVE 98.71%
222 CONFIRMED (CP) 95.36%
223 CANDIDATE (PC) 56.09%
224 CANDIDATE (PC) 85.63%
225 CONFIRMED (CP) 88.43%
226 CANDIDATE (PC) 48.30%
227 CANDIDATE (PC) 54.92%
228 CONFIRMED (CP) 54.70%
229 CANDIDATE (PC) 57.93%
230 FALSE POSITIVE 97.71%
231 FALSE POSITIVE 92.68%
232 CANDIDATE (PC) 47.77%
233 CONFIRMED (CP) 85.55%
234 CANDIDATE (PC) 55.76%
235 CONFIRMED (CP) 79.80%
236 FALSE POSITIVE 64.91%
237 FALSE POSITIVE 99.23%
238 CONFIRMED (CP) 84.35%
239 FALSE POSITIVE 96.72%
240 CANDIDATE (PC) 51.35%
241 CONFIRMED (CP) 73.93%
242 CANDIDATE (PC) 51.69%
243 FALSE POSITIVE 48.89%
244 FALSE POSITIVE 54.91%
245 CONFIRMED (CP) 73.34%
246 CANDIDATE (PC) 76.97%
247 CONFIRMED (CP) 80.41%
248 FALSE POSITIVE 59.10%
249 CANDIDATE (PC) 85.39%
250 CANDIDATE (PC) 55.38%
251 FALSE POSITIVE 58.92%
252 CANDIDATE (PC) 84.30%
253 FALSE POSITIVE 73.47%
254 FALSE POSITIVE 80.59%
255 FALSE POSITIVE 99.19%
256 CANDIDATE (PC) 85.43%
257 FALSE POSITIVE 99.21%
258 CANDIDATE (PC) 56.17%
259 CANDIDATE (PC) 93.70%
260 CONFIRMED (CP) 46.51%
261 CANDIDATE (PC) 55.87%
262 FALSE POSITIVE 97.31%
263 FALSE POSITIVE 85.73%
264 CONFIRMED (CP) 97.05%
265 CANDIDATE (PC) 52.36%
266 CANDIDATE (PC) 80.89%
267 FALSE POSITIVE 83.14%
268 CANDIDATE (PC) 44.40%
269 CANDIDATE (PC) 74.12%
270 CONFIRMED (CP) 53.62%
271 FALSE POSITIVE 57.06%
272 FALSE POSITIVE 98.26%
273 FALSE POSITIVE 68.62%
274 FALSE POSITIVE 63.80%
275 FALSE POSITIVE 98.54%
276 CANDIDATE (PC) 67.33%
277 CANDIDATE (PC) 90.42%
278 CONFIRMED (CP) 84.72%
279 CONFIRMED (CP) 91.69%
280 FALSE POSITIVE 46.15%
281 FALSE POSITIVE 99.04%
282 CONFIRMED (CP) 52.27%
283 CANDIDATE (PC) 83.26%
284 CANDIDATE (PC) 53.02%
285 CANDIDATE (PC) 83.32%
286 CONFIRMED (CP) 44.97%
287 FALSE POSITIVE 92.28%
288 CONFIRMED (CP) 60.56%
289 CANDIDATE (PC) 76.08%
290 CANDIDATE (PC) 99.03%
291 CONFIRMED (CP) 68.00%
292 FALSE POSITIVE 53.53%
293 CANDIDATE (PC) 55.10%
294 CANDIDATE (PC) 82.09%
295 CANDIDATE (PC) 87.66%
296 FALSE POSITIVE 96.56%
297 FALSE POSITIVE 48.88%
298 CONFIRMED (CP) 96.08%
299 CANDIDATE (PC) 98.88%
300 CANDIDATE (PC) 53.10%
301 CANDIDATE (PC) 75.26%
302 CANDIDATE (PC) 78.14%
303 FALSE POSITIVE 92.95%
304 FALSE POSITIVE 74.09%
305 CONFIRMED (CP) 52.88%
306 CONFIRMED (CP) 93.17%
307 CONFIRMED (CP) 48.59%
308 CONFIRMED (CP) 55.27%
309 CANDIDATE (PC) 53.66%
310 CONFIRMED (CP) 88.12%
311 FALSE POSITIVE 55.84%
312 CANDIDATE (PC) 96.82%
313 CANDIDATE (PC) 89.65%
314 FALSE POSITIVE 94.95%
315 FALSE POSITIVE 87.04%
316 CANDIDATE (PC) 62.84%
317 CANDIDATE (PC) 88.91%
318 CANDIDATE (PC) 64.69%
319 FALSE POSITIVE 51.29%
320 CONFIRMED (CP) 97.45%
321 CONFIRMED (CP) 87.19%
322 CANDIDATE (PC) 44.40%
323 CANDIDATE (PC) 95.01%
324 CANDIDATE (PC) 78.48%
325 CONFIRMED (CP) 95.95%
326 FALSE POSITIVE 60.88%
327 CANDIDATE (PC) 90.59%
328 CANDIDATE (PC) 92.64%
329 CONFIRMED (CP) 68.45%
330 CANDIDATE (PC) 69.05%
331 CANDIDATE (PC) 89.94%
332 FALSE POSITIVE 55.73%
333 FALSE POSITIVE 96.32%
334 CANDIDATE (PC) 82.01%
335 FALSE POSITIVE 99.42%
336 CONFIRMED (CP) 55.82%
337 FALSE POSITIVE 49.70%
338 FALSE POSITIVE 99.37%
339 CONFIRMED (CP) 95.07%
340 FALSE POSITIVE 61.10%
341 FALSE POSITIVE 94.11%
342 CONFIRMED (CP) 88.62%
343 CONFIRMED (CP) 77.69%
344 CANDIDATE (PC) 76.40%
345 CONFIRMED (CP) 92.12%
346 CANDIDATE (PC) 49.50%
347 CANDIDATE (PC) 77.56%
348 CANDIDATE (PC) 53.85%
349 CONFIRMED (CP) 49.78%
350 CANDIDATE (PC) 54.26%
351 CONFIRMED (CP) 76.82%
352 CANDIDATE (PC) 66.00%
353 FALSE POSITIVE 81.17%
354 CONFIRMED (CP) 95.42%
355 CANDIDATE (PC) 66.92%
356 CONFIRMED (CP) 88.40%
357 CANDIDATE (PC) 63.00%
358 CANDIDATE (PC) 91.06%
359 CONFIRMED (CP) 92.01%
360 CANDIDATE (PC) 79.24%
361 FALSE POSITIVE 85.75%
362 CONFIRMED (CP) 51.11%
363 FALSE POSITIVE 97.84%
364 CONFIRMED (CP) 57.84%
365 CANDIDATE (PC) 77.03%
366 FALSE POSITIVE 70.73%
367 CANDIDATE (PC) 77.34%
368 CANDIDATE (PC) 95.35%
369 FALSE POSITIVE 97.58%
370 FALSE POSITIVE 95.39%
371 FALSE POSITIVE 45.89%
372 FALSE POSITIVE 98.76%
373 FALSE POSITIVE 97.61%
374 CANDIDATE (PC) 75.08%
375 CANDIDATE (PC) 77.34%
376 CONFIRMED (CP) 91.85%
377 CANDIDATE (PC) 50.20%
378 FALSE POSITIVE 97.07%
379 CANDIDATE (PC) 78.45%
380 FALSE POSITIVE 45.60%
381 CONFIRMED (CP) 92.97%
382 CONFIRMED (CP) 42.58%
383 CANDIDATE (PC) 47.63%
384 FALSE POSITIVE 86.68%
385 FALSE POSITIVE 98.69%
386 CANDIDATE (PC) 54.81%
387 CONFIRMED (CP) 36.61%
388 FALSE POSITIVE 53.57%
389 CANDIDATE (PC) 65.33%
390 CONFIRMED (CP) 48.47%
391 CANDIDATE (PC) 78.43%
392 FALSE POSITIVE 61.96%
393 CANDIDATE (PC) 86.16%
394 CANDIDATE (PC) 85.57%
395 FALSE POSITIVE 98.22%
396 FALSE POSITIVE 93.66%
397 FALSE POSITIVE 97.65%
398 CONFIRMED (CP) 83.62%
399 CANDIDATE (PC) 52.69%
400 FALSE POSITIVE 98.56%
401 CONFIRMED (CP) 60.21%
402 CONFIRMED (CP) 93.86%
403 CONFIRMED (CP) 49.91%
404 CONFIRMED (CP) 65.08%
405 FALSE POSITIVE 82.12%
406 CANDIDATE (PC) 56.72%
407 CANDIDATE (PC) 81.03%
408 CONFIRMED (CP) 39.52%
409 CANDIDATE (PC) 82.41%
410 CONFIRMED (CP) 67.01%
411 CANDIDATE (PC) 56.55%
412 CANDIDATE (PC) 71.21%
413 CANDIDATE (PC) 53.79%
414 CANDIDATE (PC) 57.46%
415 FALSE POSITIVE 95.16%
416 CANDIDATE (PC) 98.49%
417 CONFIRMED (CP) 80.63%
418 CONFIRMED (CP) 70.47%
419 CONFIRMED (CP) 49.38%
420 CANDIDATE (PC) 93.35%
421 FALSE POSITIVE 98.50%
422 CANDIDATE (PC) 73.26%
423 CANDIDATE (PC) 86.45%
424 CANDIDATE (PC) 48.23%
425 CONFIRMED (CP) 89.94%
426 CANDIDATE (PC) 56.10%
427 CONFIRMED (CP) 52.89%
428 CONFIRMED (CP) 71.54%
429 CANDIDATE (PC) 63.48%
430 CANDIDATE (PC) 84.04%
431 FALSE POSITIVE 99.27%
432 CANDIDATE (PC) 74.36%
433 FALSE POSITIVE 66.01%
434 CONFIRMED (CP) 96.66%
435 CONFIRMED (CP) 92.53%
436 CANDIDATE (PC) 64.18%
437 CANDIDATE (PC) 72.12%
438 FALSE POSITIVE 77.95%
439 CANDIDATE (PC) 67.70%
440 CONFIRMED (CP) 92.76%
441 CONFIRMED (CP) 58.12%
442 CANDIDATE (PC) 57.93%
443 CANDIDATE (PC) 43.74%
444 CANDIDATE (PC) 86.20%
445 FALSE POSITIVE 92.25%
446 FALSE POSITIVE 37.36%
447 CONFIRMED (CP) 88.42%
448 FALSE POSITIVE 51.39%
449 FALSE POSITIVE 93.23%
450 CONFIRMED (CP) 57.37%
451 CONFIRMED (CP) 91.74%
452 CONFIRMED (CP) 53.28%
453 FALSE POSITIVE 53.93%
454 CONFIRMED (CP) 90.35%
455 FALSE POSITIVE 74.92%
456 FALSE POSITIVE 47.47%
457 CANDIDATE (PC) 48.23%
458 CANDIDATE (PC) 66.27%
459 CANDIDATE (PC) 68.30%
460 FALSE POSITIVE 70.38%
461 FALSE POSITIVE 83.10%
462 CONFIRMED (CP) 75.09%
463 CONFIRMED (CP) 51.32%
464 CANDIDATE (PC) 71.82%
465 CONFIRMED (CP) 45.37%
466 CONFIRMED (CP) 50.93%
467 CANDIDATE (PC) 70.19%
468 FALSE POSITIVE 98.35%
469 FALSE POSITIVE 44.73%
470 FALSE POSITIVE 51.21%
471 CANDIDATE (PC) 65.86%
472 CANDIDATE (PC) 52.60%
473 FALSE POSITIVE 97.85%
474 CANDIDATE (PC) 73.16%
475 CANDIDATE (PC) 99.34%
476 CONFIRMED (CP) 80.69%
477 FALSE POSITIVE 46.49%
478 CANDIDATE (PC) 55.26%
479 FALSE POSITIVE 79.45%
480 FALSE POSITIVE 51.89%
481 CONFIRMED (CP) 63.72%
482 CANDIDATE (PC) 45.73%
483 CONFIRMED (CP) 88.86%
484 CONFIRMED (CP) 62.66%
485 CONFIRMED (CP) 95.66%
486 CANDIDATE (PC) 83.88%
487 CANDIDATE (PC) 60.99%
488 FALSE POSITIVE 44.32%
489 CANDIDATE (PC) 84.56%
490 CONFIRMED (CP) 45.28%
491 CANDIDATE (PC) 74.53%
492 CONFIRMED (CP) 91.86%
493 CANDIDATE (PC) 54.63%
494 CANDIDATE (PC) 59.63%
495 CANDIDATE (PC) 85.40%
496 CANDIDATE (PC) 87.65%
497 FALSE POSITIVE 98.96%
498 CANDIDATE (PC) 57.56%
499 CANDIDATE (PC) 60.00%
500 CANDIDATE (PC) 51.64%
501 CANDIDATE (PC) 65.04%
502 CANDIDATE (PC) 71.84%
503 CANDIDATE (PC) 80.44%
504 CONFIRMED (CP) 81.78%
505 FALSE POSITIVE 96.52%
506 CONFIRMED (CP) 96.49%
507 CANDIDATE (PC) 55.02%
508 CANDIDATE (PC) 86.41%
509 CANDIDATE (PC) 87.46%
510 CONFIRMED (CP) 46.00%
511 CONFIRMED (CP) 83.39%
512 CANDIDATE (PC) 90.47%
513 FALSE POSITIVE 68.79%
514 CANDIDATE (PC) 69.46%
515 CANDIDATE (PC) 71.56%
516 CONFIRMED (CP) 63.72%
517 CONFIRMED (CP) 56.94%
518 CANDIDATE (PC) 91.08%
519 FALSE POSITIVE 65.54%
520 CANDIDATE (PC) 83.99%
521 FALSE POSITIVE 61.03%
522 FALSE POSITIVE 53.53%
523 CONFIRMED (CP) 89.44%
524 CANDIDATE (PC) 56.61%
525 CONFIRMED (CP) 73.62%
526 CANDIDATE (PC) 56.43%
527 CONFIRMED (CP) 55.05%
528 CANDIDATE (PC) 54.55%
529 CANDIDATE (PC) 90.47%
530 CANDIDATE (PC) 83.61%
531 FALSE POSITIVE 98.06%
532 FALSE POSITIVE 85.98%
533 CANDIDATE (PC) 52.68%
534 CONFIRMED (CP) 67.58%
535 CONFIRMED (CP) 59.76%
536 FALSE POSITIVE 94.60%
537 CANDIDATE (PC) 53.25%
538 FALSE POSITIVE 52.60%
539 FALSE POSITIVE 74.93%
540 CANDIDATE (PC) 49.01%
541 CONFIRMED (CP) 93.04%
542 FALSE POSITIVE 96.95%
543 FALSE POSITIVE 98.83%
544 FALSE POSITIVE 57.95%
545 CONFIRMED (CP) 44.39%
546 CANDIDATE (PC) 85.16%
547 CANDIDATE (PC) 86.72%
548 CONFIRMED (CP) 67.54%
549 FALSE POSITIVE 53.30%
550 FALSE POSITIVE 61.04%
551 FALSE POSITIVE 99.16%
552 CANDIDATE (PC) 72.74%
553 FALSE POSITIVE 91.34%
554 FALSE POSITIVE 56.00%
555 FALSE POSITIVE 98.33%
556 CONFIRMED (CP) 89.18%
557 FALSE POSITIVE 94.78%
558 CONFIRMED (CP) 75.21%
559 CONFIRMED (CP) 66.38%
560 CANDIDATE (PC) 79.97%
561 CANDIDATE (PC) 58.87%
562 FALSE POSITIVE 49.27%
563 CANDIDATE (PC) 90.59%
564 CANDIDATE (PC) 55.99%
565 CANDIDATE (PC) 86.77%
566 CONFIRMED (CP) 45.20%
567 FALSE POSITIVE 96.37%
568 FALSE POSITIVE 98.13%
569 CANDIDATE (PC) 38.18%
570 CANDIDATE (PC) 68.64%
571 CANDIDATE (PC) 82.16%
572 CANDIDATE (PC) 58.43%
573 CONFIRMED (CP) 43.42%
574 CANDIDATE (PC) 54.63%
575 FALSE POSITIVE 98.42%
576 FALSE POSITIVE 97.92%
577 FALSE POSITIVE 61.04%
578 CANDIDATE (PC) 87.49%
579 CANDIDATE (PC) 61.44%
580 CANDIDATE (PC) 39.20%
581 FALSE POSITIVE 98.00%
582 CANDIDATE (PC) 40.60%
583 FALSE POSITIVE 99.21%
584 FALSE POSITIVE 41.21%
585 CANDIDATE (PC) 52.54%
586 FALSE POSITIVE 95.58%
587 FALSE POSITIVE 49.32%
588 CONFIRMED (CP) 39.77%
589 FALSE POSITIVE 98.71%
590 CONFIRMED (CP) 54.71%
591 CONFIRMED (CP) 96.54%
592 FALSE POSITIVE 95.55%
593 CANDIDATE (PC) 41.67%
594 FALSE POSITIVE 94.31%
595 CANDIDATE (PC) 72.55%
596 CONFIRMED (CP) 88.00%
597 CANDIDATE (PC) 88.43%
598 FALSE POSITIVE 98.96%
599 CONFIRMED (CP) 68.00%
600 CANDIDATE (PC) 87.58%
601 CANDIDATE (PC) 51.85%
602 FALSE POSITIVE 64.11%
603 CANDIDATE (PC) 43.09%
604 CANDIDATE (PC) 84.11%
605 CONFIRMED (CP) 54.83%
606 CANDIDATE (PC) 61.66%
607 FALSE POSITIVE 83.86%
608 CONFIRMED (CP) 65.83%
609 CONFIRMED (CP) 92.14%
610 CANDIDATE (PC) 64.71%
611 CONFIRMED (CP) 95.15%
612 CANDIDATE (PC) 49.77%
613 CANDIDATE (PC) 76.93%
614 CANDIDATE (PC) 87.77%
615 CANDIDATE (PC) 41.65%
616 CANDIDATE (PC) 53.13%
617 CANDIDATE (PC) 60.06%
618 CANDIDATE (PC) 48.99%
619 CONFIRMED (CP) 93.97%
620 FALSE POSITIVE 94.85%
621 CONFIRMED (CP) 85.94%
622 FALSE POSITIVE 99.34%
623 CONFIRMED (CP) 66.55%
624 FALSE POSITIVE 98.65%
625 CONFIRMED (CP) 93.97%
626 CANDIDATE (PC) 46.87%
627 FALSE POSITIVE 44.07%
628 FALSE POSITIVE 97.79%
629 CONFIRMED (CP) 74.12%
630 CONFIRMED (CP) 63.33%
631 FALSE POSITIVE 66.62%
632 FALSE POSITIVE 38.71%
633 CANDIDATE (PC) 69.17%
634 CONFIRMED (CP) 53.86%
635 CANDIDATE (PC) 47.38%
636 CANDIDATE (PC) 69.54%
637 CANDIDATE (PC) 84.40%
638 CONFIRMED (CP) 79.52%
639 CANDIDATE (PC) 87.72%
640 CANDIDATE (PC) 50.37%
641 CONFIRMED (CP) 55.08%
642 CONFIRMED (CP) 85.34%
643 CONFIRMED (CP) 65.70%
644 FALSE POSITIVE 93.53%
645 CANDIDATE (PC) 54.92%
646 CONFIRMED (CP) 61.56%
647 CANDIDATE (PC) 57.41%
648 CANDIDATE (PC) 75.89%
649 CANDIDATE (PC) 69.01%
650 CANDIDATE (PC) 74.72%
651 CANDIDATE (PC) 76.63%
652 CONFIRMED (CP) 45.68%
653 CONFIRMED (CP) 54.68%
654 FALSE POSITIVE 93.16%
655 CONFIRMED (CP) 86.53%
656 CANDIDATE (PC) 83.61%
657 FALSE POSITIVE 47.96%
658 CONFIRMED (CP) 76.69%
659 CANDIDATE (PC) 68.45%
660 FALSE POSITIVE 91.09%
661 CANDIDATE (PC) 84.92%
662 CANDIDATE (PC) 68.08%
663 CANDIDATE (PC) 71.68%
664 CANDIDATE (PC) 75.44%
665 CANDIDATE (PC) 87.92%
666 CONFIRMED (CP) 61.60%
667 FALSE POSITIVE 97.41%
668 CONFIRMED (CP) 91.21%
669 FALSE POSITIVE 99.13%
670 FALSE POSITIVE 94.58%
671 CONFIRMED (CP) 98.77%
672 CANDIDATE (PC) 50.38%
673 FALSE POSITIVE 78.92%
674 CONFIRMED (CP) 81.36%
675 FALSE POSITIVE 76.24%
676 CANDIDATE (PC) 86.88%
677 CONFIRMED (CP) 77.09%
678 FALSE POSITIVE 97.30%
679 CANDIDATE (PC) 57.08%
680 CANDIDATE (PC) 61.97%
681 CONFIRMED (CP) 93.56%
682 FALSE POSITIVE 98.90%
683 CANDIDATE (PC) 96.66%
684 FALSE POSITIVE 96.39%
685 CANDIDATE (PC) 71.40%
686 FALSE POSITIVE 80.70%
687 CANDIDATE (PC) 53.00%
688 CONFIRMED (CP) 94.38%
689 CANDIDATE (PC) 85.95%
690 FALSE POSITIVE 59.17%
691 FALSE POSITIVE 47.34%
692 CONFIRMED (CP) 97.34%
693 CONFIRMED (CP) 84.17%
694 CONFIRMED (CP) 51.51%
695 CONFIRMED (CP) 56.37%
696 FALSE POSITIVE 75.96%
697 CONFIRMED (CP) 98.45%
698 CONFIRMED (CP) 63.32%
699 FALSE POSITIVE 59.11%
700 CANDIDATE (PC) 47.92%
701 CONFIRMED (CP) 76.15%
702 CONFIRMED (CP) 89.43%
703 CANDIDATE (PC) 85.25%
704 CONFIRMED (CP) 49.25%
705 FALSE POSITIVE 98.87%
706 FALSE POSITIVE 90.92%
707 FALSE POSITIVE 96.72%
708 CANDIDATE (PC) 97.65%
709 CANDIDATE (PC) 62.98%
710 CANDIDATE (PC) 76.45%
711 FALSE POSITIVE 53.05%
712 CONFIRMED (CP) 81.39%
713 FALSE POSITIVE 98.28%
714 CANDIDATE (PC) 72.06%
715 CANDIDATE (PC) 68.00%
716 CONFIRMED (CP) 45.35%
717 CONFIRMED (CP) 82.82%
718 FALSE POSITIVE 50.71%
719 CANDIDATE (PC) 53.52%
720 CANDIDATE (PC) 53.15%
721 CANDIDATE (PC) 76.08%
722 FALSE POSITIVE 91.21%
723 CANDIDATE (PC) 38.44%
724 CONFIRMED (CP) 48.05%
725 CONFIRMED (CP) 83.39%
726 CANDIDATE (PC) 56.43%
727 CONFIRMED (CP) 96.49%
728 CONFIRMED (CP) 88.57%
729 CONFIRMED (CP) 52.50%
730 CANDIDATE (PC) 57.55%
731 CANDIDATE (PC) 58.94%
