PERIOD,RADIUS,DENSITY,NUM_PLANETS,DISPOSITION_ENCODED
2.333123,2.95,0.993,0.0,1
20.2073,2.12,0.993,0.0,1
36.7099,3.567,0.993,0.0,1
36.762337,3.44,0.993,0.0,1
19.565799,6.412,0.993,0.0,1
6.39916,1.48,0.993,0.0,1
6.3991398,1.85,0.993,0.0,1
2.72273204,3.567,0.993,0.0,1
15.695142,2.028,0.993,0.0,1
2.48038,1.44,0.993,0.0,1
1.9668579,1.51,0.993,0.0,1
1.96712,1.73,0.993,0.0,1
6.146653835,3.567,0.993,0.0,0
12.726743,1.91,0.993,0.0,1
13.2359,2.09,0.993,0.0,1
0.18746328,217.0,0.993,0.0,1
8.6382631,8.53,0.993,0.0,1
8.63829,6.81,0.993,0.0,1
8.6381,15.99,0.993,0.0,1
8.63795,15.1,0.993,0.0,1
5.7968861,24.2,0.993,0.0,0
5.79687,27.81,0.993,0.0,0
0.4775252,20.1,0.993,0.0,1
22.197992,5.34,0.993,0.0,1
44.394,4.07,0.993,0.0,1
3.29163,1.17,0.993,0.0,1
3.2908998,1.57,0.993,0.0,1
0.877214,1.3,0.993,2.0,2
0.87724,1.565,11.1,2.0,2
0.87703,1.2,0.993,2.0,2
0.877183,1.40575209,0.993,2.0,2
2.8964139,2.45,0.993,0.0,1
2.89607106,3.567,0.993,0.0,1
2.896528,1.45,0.993,0.0,1
0.44433632,1.01,0.993,0.0,1
0.444372,1.22,0.993,0.0,1
3.80464,1.22,0.993,2.0,2
7.28161,1.78,0.993,0.0,1
7.28116,1.79,0.993,0.0,1
7.28076,2.6,0.993,0.0,1
7.28138,17.0,0.993,0.0,1
7.28131,1.9,0.993,0.0,1
4.58328,2.21,0.993,0.0,1
1.65336,1.51,0.993,0.0,1
5.28081,10.9,0.993,0.0,1
5.28130579,3.567,0.993,0.0,1
440.0,16.3,0.993,0.0,1
30.0,22.8,0.993,0.0,1
6.146653835,24.9,0.993,0.0,1
7.655533,2.328,0.993,0.0,1
27.770388,25.1,0.993,0.0,0
27.77045,32.79,0.993,0.0,0
0.259669,0.77,0.993,0.0,1
0.25967056,0.742,0.993,0.0,1
5.54583,0.441,0.993,0.0,1
18.4502,2.52,0.993,0.0,1
35.621,1.89,0.993,1.0,1
4.1333,1.2,0.993,0.0,1
1.9611469,5.93,0.993,0.0,1
1.96133691104,15.86577929,0.993,0.0,1
40.7302,7.8,0.993,0.0,1
40.7362,7.28,0.993,0.0,1
18.10220826,3.567,0.993,0.0,1
0.60408352,2.26,0.993,0.0,1
3.52743,1.11,0.993,0.0,1
3.52725,1.21,0.993,0.0,1
3.52674,1.32,0.993,0.0,1
3.5269024,2.98,0.993,0.0,1
6340.0,12.8,0.993,0.0,1
9.321691,17.325,0.993,0.0,1
6.662,1.59,0.993,0.0,1
2.71578,1.03,0.993,3.0,2
2.0478,0.90819,0.993,1.0,2
6.146653835,35.0,0.993,0.0,1
27.27048734,3.567,0.993,0.0,0
27.242808,93.0,0.993,0.0,0
27.24273,31.73,0.993,0.0,0
27.242912,18.8,0.993,0.0,0
1.395336,0.76,0.993,0.0,1
1.39533316,3.567,0.993,0.0,1
1.3951513,0.879,0.993,0.0,1
15.3791,1.89,0.993,0.0,1
33.5107,2.14,0.993,0.0,1
33.51569,3.83,0.993,0.0,1
33.5116,2.89,0.993,0.0,1
33.513607,2.47313225,0.993,0.0,1
33.515399,2.03,0.993,0.0,1
3.96151,1.0,0.993,2.0,2
3.96165,1.48,0.993,2.0,2
6.97251,2.01,0.993,0.0,1
4.1698,1.04,0.993,1.0,2
4.16959,1.1,0.993,1.0,2
4.16888,1.41,0.993,1.0,2
12.3389,2.11,0.993,1.0,1
12.339133,2.59,0.993,1.0,1
2.89465,1.75,0.993,0.0,1
3.83794,1.51,0.993,0.0,1
5.24086,1.46,0.993,0.0,1
2790.0,12.2,0.993,0.0,1
8.91058,2.8,0.993,0.0,1
28.2692,3.35,0.993,0.0,1
28.270642,2.79,0.993,0.0,1
28.2671,2.94,0.993,0.0,1
28.271761,2.7100633,0.993,0.0,1
28.2717,3.567,0.993,0.0,1
4.73172,1.7,0.993,0.0,1
0.782022,1.58,0.993,0.0,1
0.78214992,1.29,0.993,0.0,1
15.4769,2.89,0.993,0.0,1
6.4498648,2.63,0.993,0.0,1
6.45027,2.29,0.993,0.0,1
1.19478,1.65,0.993,0.0,0
6.146653835,3.567,0.993,0.0,0
1.5771832,33.4,0.993,0.0,0
1.57753,26.0,0.993,0.0,0
3.262038,3.567,0.993,0.0,1
4.4654,45.0,0.993,0.0,1
21.140574,31.5,0.993,0.0,1
5.74372,3.567,0.993,0.0,1
3.2923818,19.6,0.993,0.0,1
6.90487,53.0,0.993,0.0,1
6.905053,3.567,0.993,0.0,1
6.9055211,33.6,0.993,0.0,1
1.696374,35.3,0.993,0.0,1
3.046136,76.0,0.993,0.0,1
3.0459383,19.0,0.993,0.0,1
3.04622,29.0,0.993,0.0,1
3.23792,3.567,0.993,0.0,1
3.238542,1.67,0.993,0.0,1
3.2367,1.58,0.993,0.0,1
6.2719092,60.0,0.993,0.0,1
23.7782,98.0,0.993,0.0,0
1.42636,6.66,0.993,0.0,1
3.979287,37.5,0.993,0.0,1
2.1417519,86.2,0.993,0.0,1
2.86136,3.567,0.993,0.0,1
3.10622,3.567,0.993,0.0,1
1.814553,3.567,0.993,0.0,1
17.1541,3.567,0.993,0.0,1
12.1507,1.48,0.993,0.0,1
2.4343734,61.4,0.993,0.0,1
1.8490876,17.3,0.993,0.0,1
2.620724,11.7,0.993,0.0,1
2.620799,37.0,0.993,0.0,1
2.62077,58.0,0.993,0.0,1
1.314437,3.09990986,0.993,0.0,1
1.3144014,2.78,0.993,0.0,1
4.8045244,3.62,0.993,0.0,1
6.14818,3.567,0.993,0.0,1
1.49761,3.567,0.993,0.0,1
6.479656,3.33165021,0.993,0.0,1
6.48167,3.46,0.993,0.0,1
6.4804111,3.39,0.993,0.0,1
2.8445331,65.3,0.993,0.0,1
0.6687,2.22,0.993,0.0,1
13.3461,42.0,0.993,0.0,1
4.13737,24.5,0.993,0.0,1
4.1376047,7.33,0.993,0.0,1
2.469851,6.6,0.993,0.0,1
0.690458,3.567,0.993,0.0,1
0.689647,6.58,0.993,0.0,1
4.1687922,16.1,0.993,0.0,1
21.17051,81.0,0.993,0.0,1
5.31937553733,19.66846395,0.993,0.0,1
5.319075,20.0,0.993,0.0,1
12.86772,71.0,0.993,0.0,0
12.866412,61.0,0.993,0.0,0
12.866539,22.3,0.993,0.0,0
1.8461222,19.5,0.993,0.0,0
1.84617,2.14,0.993,0.0,0
6.6223,3.567,0.993,0.0,1
0.5217136,452.0,0.993,0.0,1
11.975818,8.43,0.993,0.0,1
11.97495,256.0,0.993,0.0,1
5.9895,2.04,0.993,0.0,1
28.707623,21.2,0.993,0.0,1
15.4715,9.2,0.993,0.0,1
15.465691,4.13,0.993,0.0,1
15.466674,16.12109089,0.993,0.0,1
1.4556637,3.567,0.993,0.0,1
1.45556515,71.0,0.993,0.0,1
3.3262396,1.16,0.993,0.0,1
3.32592848,3.567,0.993,0.0,1
3.3255,1080.0,0.993,0.0,1
13.1426,200.0,0.993,0.0,1
4.474513,8.16881084,0.993,0.0,1
4.4743465,3.06,0.993,0.0,1
4.47471,22.0,0.993,0.0,1
2.1989041,46.6,0.993,0.0,1
4.1657292,1.86,0.993,0.0,1
0.6308,3.567,0.993,0.0,0
0.2358684,6.1,0.993,0.0,1
12.99109,43.0,0.993,0.0,1
1.7359447,1.89,0.993,0.0,1
1.8389349,0.837,0.993,0.0,1
1.83916,0.62,0.993,0.0,1
2.032664,1.92,0.993,0.0,1
6.11706,1.76,0.993,0.0,1
1.859017,64.0,0.993,0.0,1
1.85872487,3.567,0.993,0.0,1
1.8590179,30.5,0.993,0.0,1
540.0,5.7,0.993,0.0,1
6.146653835,12.81,0.993,0.0,1
1.4408,3.567,0.993,0.0,0
0.841202,82.0,0.993,0.0,0
0.8411257,0.884,0.993,0.0,1
0.17566,3.11,0.993,0.0,1
29.33873041,3.567,0.993,0.0,1
22.7984,9.0,0.993,0.0,0
1.68027,2.9,0.993,0.0,1
2.54427583,3.567,0.993,0.0,1
0.7099504,80.0,0.993,0.0,1
1.8204,3.567,0.993,0.0,0
2.809,3.567,0.993,0.0,0
1.404411,99.0,0.993,0.0,0
1.4044283,3.66,0.993,0.0,0
3.400858,14.1,0.993,0.0,1
3.4007758,5.57,0.993,0.0,1
6.146653835,7.51,0.993,2.0,1
6.146653835,3.567,0.993,0.0,1
8.2781,3.567,0.993,0.0,0
8.2758,10.2,0.993,0.0,0
8.2766395,0.724,0.993,0.0,0
0.6199,3.567,0.993,0.0,0
28.46762,37.0,0.993,0.0,1
28.465633,18.4,0.993,0.0,1
4.5417,3.567,0.993,0.0,0
83830.0,12.0,0.993,0.0,1
8.79689,4.85,0.993,0.0,1
1.153886,99.0,0.993,0.0,1
1.6398934,33.0,0.993,0.0,1
1.486243,58.0,0.993,0.0,0
23.210585,5.7,0.993,0.0,1
23.21037,15.3,0.993,0.0,1
1.330023,44.0,0.993,0.0,1
50.73641,10.31,0.993,0.0,1
1.124,3.567,0.993,0.0,0
0.7474,3.567,0.993,0.0,0
46.1373,2.6,0.993,0.0,1
1.957,3.567,0.993,0.0,1
22.6398,1.27,0.993,0.0,1
24.193613,30.7,0.993,0.0,1
2.784496,2.09,0.993,0.0,1
0.64292573,3.567,0.993,0.0,1
1.4562,3.567,0.993,0.0,0
2.8742,3.567,0.993,0.0,0
10.2236,132.0,0.993,0.0,1
1.6281,3.567,0.993,0.0,0
2.7518,0.669,0.993,0.0,1
6.146653835,133.0,0.993,0.0,1
23.277669,32.8,0.993,0.0,1
24.6842,2.49,0.993,0.0,1
2.2,8.4,0.993,0.0,1
2.6454165,9.47,0.993,0.0,1
2.64594828,3.567,0.993,0.0,1
20.98296043,3.567,0.993,0.0,1
1.5271792,3.567,0.993,0.0,1
7.8392,1.46,0.993,1.0,1
9.2048,3.567,0.993,0.0,0
2.32046168,3.567,0.993,0.0,1
2.320937,15.7,0.993,0.0,1
1.94297,2.571,0.993,0.0,1
1.3178719,62.0,0.993,0.0,0
1.3179,55.0,0.993,0.0,0
0.2338108,3.567,0.993,0.0,1
1.1488,3.567,0.993,0.0,0
46.38363,3.22,0.993,0.0,1
46.40651,3.35,0.993,0.0,1
16.56127,0.957,0.993,0.0,1
16.563155,1.66,0.993,0.0,1
18.357773,1.74,0.993,0.0,1
18.3647,2.61,0.993,0.0,1
21.9184,3.18,0.993,0.0,1
49.8558,3.29,0.993,0.0,1
4.9818921,2.66,0.993,0.0,1
4.98049071,3.567,0.993,0.0,1
4.981838,2.39347065,0.993,0.0,1
4.98205,2.3,0.993,0.0,1
4.9815,2.39,0.993,0.0,1
3.3055191,1.27,0.993,0.0,1
3.30524,6.6,0.993,0.0,1
1.8361,3.567,0.993,0.0,0
14.5444413,3.567,0.993,0.0,1
4.30221683,3.567,0.993,0.0,1
8.02678456,3.567,0.993,0.0,0
8.0241306,4.42,0.993,0.0,0
8.02415,194.0,0.993,0.0,0
8.02335,86.0,0.993,0.0,0
11.31028,18.9,0.993,0.0,1
11.31009,130.0,0.993,0.0,1
16.63311,44.0,0.993,0.0,1
16.63237,10.7,0.993,0.0,1
16.63091654,3.567,0.993,0.0,1
1.057171,1.51,0.993,0.0,1
4.377326,27.0,0.993,0.0,0
4.37983009,3.567,0.993,0.0,0
4.377339,31.9,0.993,0.0,0
4.3772986,16.6,0.993,0.0,0
0.980414,1.58,0.993,0.0,1
0.98036126,1.44,0.993,0.0,1
0.97988263,3.567,0.993,0.0,1
0.980294,1.81,0.993,0.0,1
14.2005,2.36,0.993,0.0,1
28.8077,2.08,0.993,0.0,1
3.75927,68.0,0.993,0.0,1
2.41628,2.68,0.993,0.0,1
2.4165066,0.988,0.993,0.0,1
4.4984354,3.12,0.993,0.0,1
0.3938505,13.7,0.993,0.0,1
2.3240489,33.4,0.993,0.0,1
1.86732,0.648,0.993,0.0,1
22.9735,2.61,0.993,0.0,1
5.6683,3.567,0.993,0.0,0
14.658196,1.6,0.993,0.0,1
14.65835,1.12,0.993,0.0,1
6.4349,2.47,0.993,0.0,1
4.27065,7.6,0.993,0.0,1
7.64309,8.0,0.993,0.0,1
16.858,5.6,0.993,0.0,1
2.167697,12.14,0.993,0.0,1
19.2299,1.96,0.993,0.0,1
5.07152,3.2,0.993,0.0,1
8.1191,57.0,0.993,0.0,1
16.235,11.0,0.993,0.0,1
24.9922,36.0,0.993,0.0,0
4.20773,1.47,0.993,0.0,1
1.1761477,19.3,0.993,0.0,1
27.270191,2.5,0.993,0.0,1
2.475527,42.0,0.993,0.0,1
2.475641,5.02277659,0.993,0.0,1
2.4756313,2.48,0.993,0.0,1
2.475573,2.98,0.993,0.0,1
17.7256773,15.4613,0.993,0.0,1
17.7259,23.4,0.993,0.0,1
17.725837,6.63,0.993,0.0,1
17.72507,45.0,0.993,0.0,1
54.169832,22.0,0.993,0.0,1
8.050722,1.31,0.993,2.0,2
8.0516,1.62,0.993,2.0,2
8.0468,1.18,0.993,2.0,2
6.79143,1.72,0.993,0.0,1
14.353438,2.159584,0.993,0.0,1
14.353347,2.19,0.993,0.0,1
14.3533,2.18,0.993,0.0,1
1.88282,2.6,0.993,0.0,1
6.4756,1.85,0.993,0.0,1
2.31803,2.34,0.993,0.0,1
2.3181466,2.9,0.993,0.0,1
12.4292,1.1126,0.993,0.0,0
6.37733,0.76,0.993,0.0,1
19.44212,22.0,0.993,0.0,0
19.441899,4.15,0.993,0.0,0
0.80032756,21.3,0.993,0.0,1
8.3958,3.95,0.993,0.0,1
12.25823207,3.567,0.993,0.0,1
12.2631,1.87,0.993,0.0,1
12.26422,2.22,0.993,0.0,1
12.263354,2.16,0.993,0.0,1
10.3631,1.64,0.993,0.0,1
4.50717,1.44,0.993,3.0,2
4.50756,1.7,0.993,3.0,2
0.911724,1.4,0.993,3.0,2
0.9116567,1.35,0.993,3.0,2
0.911618,1.16,0.993,3.0,2
14.641541,2.94,0.993,3.0,2
14.637,4.0,0.993,3.0,2
14.6435,2.52,0.993,3.0,2
14.647531,2.6,0.993,3.0,2
9.38053,2.89,0.993,0.0,1
9.3826,2.39,0.993,0.0,1
9.3813402,2.86,0.993,0.0,1
5.6505,1.33,0.993,0.0,1
4.2304959,2.56,0.993,0.0,1
4.23119,2.17,0.993,0.0,1
9.9487,1.48,0.993,0.0,1
2.87814,1.01,0.993,1.0,2
4.1107634,1.01,0.993,1.0,1
1.131316,4.6,0.993,0.0,1
1.131305,3.93,0.993,0.0,1
5.29853,3.32,0.993,2.0,2
5.29711,1.62,0.993,2.0,2
5.2986,1.7,0.993,2.0,2
0.35490972,1.45,0.993,2.0,2
0.354884,1.2,0.993,2.0,2
4.1029,2.28,0.993,0.0,1
14.454495,2.21,0.993,0.0,1
28.564994,2.25,0.993,0.0,1
5.87672094142,8.02139241,0.993,0.0,1
5.8797,3.567,0.993,0.0,1
5.879829,6.97,0.993,0.0,1
5.87913354,3.567,0.993,0.0,1
5.8796123,6.5,0.993,0.0,1
5.87975,3.76,0.993,0.0,1
25.2768,25.0,0.993,0.0,0
3.292013,5.76,0.993,0.0,1
3.291897,3.39,0.993,0.0,1
3.2920598,4.54,0.993,0.0,1
7.445026,2.2805044,0.993,0.0,1
7.4448754,2.11,0.993,0.0,1
13.8543,3.18,0.993,0.0,1
54.976021,39.1,0.993,0.0,1
2.59824,7.7,0.993,0.0,1
2.573088,34.0,0.993,0.0,1
2.5730187,17.2,0.993,0.0,1
37.827,1.42,0.993,3.0,1
0.35840528,1.92,0.993,0.0,1
0.358378,1.65,0.993,0.0,1
0.3584061,2.66,0.993,0.0,1
0.80858305,3.567,0.993,0.0,1
4.00932,1.08,0.993,0.0,1
20.6714,1.47,0.993,1.0,1
6.146653835,7.72,0.993,0.0,1
6.146653835,31.1,0.993,0.0,1
0.367453,2.55,0.993,0.0,1
0.36747226,3.32,0.993,0.0,1
0.367473,3.55452348,0.993,0.0,1
0.3674645,3.9,0.993,0.0,1
6.57986525,3.567,0.993,0.0,1
3.59922,1.63,0.993,0.0,1
3.5990666,1.62,0.993,0.0,1
3.59905,1.58797235,0.993,0.0,1
3.59912,1.46,0.993,0.0,1
5.01038,4.28,0.993,0.0,1
2.25372,0.9,0.993,1.0,2
2.25558,2.0,0.993,1.0,2
2.255436,1.0,0.993,1.0,2
0.62309386,2.52,0.993,1.0,1
3.11594,1.59,0.993,1.0,1
11.63547,2.6,0.993,0.0,1
1.982116,35.0,0.993,0.0,1
36.9321,2.98,0.993,0.0,1
1.35823,1.44,0.993,0.0,0
8.4532,2.66,0.993,0.0,1
0.4348359,1.59,0.993,0.0,1
0.434827,1.62,0.993,0.0,1
0.434832,0.96,0.993,0.0,1
4.31444335,3.567,0.993,0.0,1
1.5339666,1.47,0.993,0.0,1
1.53402,1.13,0.993,0.0,1
0.3176828,11.9,0.993,0.0,1
1.58252,0.96,0.993,2.0,2
1.58316,1.22,0.993,2.0,2
17.501662,2.63,0.993,2.0,2
17.5125,2.15,0.993,2.0,2
17.515472,2.094,0.993,2.0,2
10.49927,1.43,0.993,0.0,1
5.23189,3.62,0.993,0.0,1
1.13666,3.18,0.993,0.0,1
12.4404,2.72,0.993,0.0,1
1.49462,1.8,0.993,0.0,1
2.018725,91.0,0.993,0.0,1
23.8039,12.0,0.993,0.0,1
3.47722,1.53,0.993,0.0,1
0.442185,2.02,0.993,0.0,1
0.442094,1.16,0.993,0.0,1
0.44214967,1.32,0.993,0.0,1
18.415126,69.44309317,0.993,0.0,1
18.406118,5.2,0.993,0.0,1
10.4404,0.6739,0.993,0.0,1
27.837146,5.149,0.993,0.0,1
12.19649,2.23,0.993,0.0,1
8.15306759,3.567,0.993,0.0,1
2.2021868,56.5,0.993,0.0,1
20.398071,2.57901435,0.993,0.0,1
20.3997,2.65,0.993,0.0,1
20.398147,2.93,0.993,0.0,1
17.812866,22.5,0.993,0.0,1
17.80345864,3.567,0.993,0.0,1
17.81188,21.6,0.993,0.0,1
2.931226,90.0,0.993,0.0,1
6.3878,65.0,0.993,0.0,0
1.81449,27.0,0.993,0.0,1
22.4844,79.0,0.993,0.0,1
3.47323985883,16.65896453,0.993,0.0,1
3.47451,10.6,0.993,0.0,1
0.369181,16.5,0.993,0.0,1
6.71694,39.0,0.993,0.0,1
3.951971,8.44551389,0.993,0.0,1
11.3256,2.18,0.993,0.0,1
2.9237,2.57,0.993,0.0,1
14.08549,21.1,0.993,0.0,1
15.0818,1.83,0.993,0.0,1
3.16363,1.25,0.993,0.0,1
1.31559,102.0,0.993,0.0,0
1.3155918,38.3,0.993,0.0,0
0.969967,59.0,0.993,0.0,0
0.96997227,3.567,0.993,0.0,0
0.970016,6.29,0.993,0.0,0
23.9683,1.6119,0.993,0.0,1
19.860476,2.08349198,0.993,0.0,1
19.8606,2.21,0.993,0.0,1
4.72048898787,14.61863458,0.993,0.0,1
4.72046,8.7,0.993,0.0,1
1.1430018,3.567,0.993,0.0,1
3.74234,1.61,0.993,0.0,1
24.2747,1.56,0.993,2.0,1
1.1489833,76.0,0.993,0.0,0
1.14907861,3.567,0.993,0.0,0
7.46967,2.4,0.993,0.0,1
2.16594452,3.567,0.993,0.0,1
2.165976,2.61,0.993,0.0,1
2.16595219375,2.91081826,0.993,0.0,1
14.27669647,3.567,0.993,0.0,1
14.2683,3.567,0.993,0.0,1
14.26763,2.04,0.993,0.0,1
4.86406,1.09,0.993,0.0,1
4.86496,1.09,0.993,0.0,1
15.97700259,3.567,0.993,0.0,1
3.7342439,30.71,0.993,0.0,1
3.73478175,3.567,0.993,0.0,1
0.567055,16.22,0.993,0.0,1
0.5670195,3.567,0.993,0.0,1
14.145239,14.86409395,0.993,0.0,1
14.14459,16.6,0.993,0.0,1
2.386772,4.0,0.993,0.0,1
2.38669,3.5,0.993,0.0,1
43.36143,29.8,0.993,0.0,1
27.353103,3.05048319,0.993,0.0,1
2.35771,3.0,0.993,0.0,1
2.357651,1.95,0.993,0.0,1
27.9329,2.51,0.993,0.0,1
3.72007,1.55,0.993,0.0,1
1.39657671,3.567,0.993,0.0,1
1.396291,1.89,0.993,0.0,1
31.3537,3.85,0.993,0.0,1
14.8484,2.68,0.993,0.0,1
10.0696,1.69,0.993,0.0,1
3.6494,3.567,0.993,0.0,1
3.65017,1.15,0.993,0.0,1
5.7663,3.567,0.993,0.0,1
5.76808,1.19,0.993,0.0,1
7.98471,1.19,0.993,0.0,1
7.98221,3.567,0.993,0.0,1
5.1718,0.8891,0.993,0.0,1
5.7408,1.0668,0.993,0.0,1
29.0529,3.567,0.993,0.0,1
25.2208,65.0,0.993,0.0,0
25.219709,87.0,0.993,0.0,0
25.2077883,3.567,0.993,0.0,0
0.87052967,3.567,0.993,0.0,0
0.8706763,6.52133,0.993,0.0,0
0.870775,3.97,0.993,0.0,0
0.870673,21.0,0.993,0.0,0
1.43689647,3.567,0.993,0.0,1
1.436756,110.0,0.993,0.0,1
59.848566,10.81438298,0.993,0.0,1
59.847399221,11.75567728,0.993,0.0,1
59.84871,12.0,0.993,0.0,1
11.376,2.03,0.993,0.0,1
11.37698,3.567,0.993,0.0,1
29.12555,205.0,0.993,0.0,0
0.8925,2.7,0.993,0.0,1
14.7582,3.567,0.993,0.0,1
14.7619,2.11,0.993,0.0,1
0.5111,3.567,0.993,0.0,0
0.7041655,3.567,0.993,0.0,1
1.93426,1.64,0.993,0.0,1
3.43827,1.98,0.993,0.0,1
18.03895153,3.567,0.993,0.0,1
2.41040731,3.567,0.993,0.0,1
2.410271,17.3,0.993,0.0,1
1.6865884,3.567,0.993,0.0,1
8.4044,1.24,0.993,0.0,1
1.1829266,29.0,0.993,0.0,1
20.5949,1.5097,0.993,0.0,1
20.600656,2.166,0.993,0.0,1
0.950356,6.94,0.993,0.0,0
56.6205,7.68,0.993,0.0,1
1.702301,19.1,0.993,0.0,1
0.3499146,39.4,0.993,0.0,1
0.349935,2.18,0.993,0.0,1
4.27681,2.27,0.993,1.0,1
13.16121,2.62,0.993,1.0,1
21.0858,2.95,0.993,1.0,1
30.2894,2.33,0.993,1.0,1
1.82876,1.46,0.993,1.0,1
7.1149,0.9835,0.993,0.0,1
3.347872,28.1,0.993,0.0,1
1.31982263,3.567,0.993,0.0,1
3.32257,2.53,0.993,0.0,1
6.146653835,44.0,0.993,0.0,1
2.4616,3.567,0.993,0.0,0
6.146653835,8.7,0.993,0.0,1
28.29213,3.55,0.993,0.0,1
7.0502,3.567,0.993,0.0,0
14.643071,66.04981083,0.993,0.0,1
18.8652,1.57,0.993,0.0,1
7.434876,32.0,0.993,0.0,1
2.349455,15.8,0.993,0.0,1
2.34951024,3.567,0.993,0.0,1
2.349515,53.42672849,0.993,0.0,1
2.3494903,14.6551,0.993,0.0,1
2.349545,15.3,0.993,0.0,1
0.2990737,7.6,0.993,0.0,1
16.43831081,3.567,0.993,0.0,1
5.88165,2.58,0.993,0.0,1
11.55059,1.98,0.993,0.0,1
0.19785,0.72,0.993,0.0,1
6.423,3.567,0.993,0.0,1
3.1393667,15.9004,0.993,0.0,1
3.1393226,15.43,0.993,0.0,1
3.139404,16.419,0.993,0.0,1
1.385246,5.01,0.993,0.0,1
1.38521606684,6.52719853,0.993,0.0,1
13.8240078,2.38171,0.993,0.0,1
13.8253157,3.567,0.993,0.0,1
22.194346,3.174,0.993,0.0,1
1.72397,1.33,0.993,0.0,1
17.178,3.567,0.993,0.0,1
5.409,3.567,0.993,0.0,1
4.99,3.567,0.993,0.0,1
4.9898664,9.128,0.993,0.0,1
0.22181,1.13,0.993,0.0,1
44.13,3.567,0.993,0.0,1
14.448767,44.2,0.993,0.0,1
14.449,3.567,0.993,0.0,1
14.4518248,3.567,0.993,0.0,1
14.448987,86.0,0.993,0.0,1
0.463954,0.53,0.993,0.0,1
0.46395,0.85,0.993,0.0,1
0.46395,0.84,0.993,0.0,1
5.264,3.567,0.993,0.0,1
1.529084,48.0,0.993,0.0,1
2.084,3.567,0.993,0.0,1
4.166738,94.8,0.993,0.0,1
1.56699,1.34,0.993,0.0,1
1.567,3.567,0.993,0.0,1
1.56706496,3.567,0.993,0.0,1
7.757595,1.95,0.993,0.0,1
4.871902,15.383,0.993,0.0,1
4.8718955,14.64,0.993,0.0,1
4.8740385,14.3194,0.993,0.0,1
8.514184,38.298,0.993,0.0,1
0.967865,3.567,0.993,0.0,0
16.168833,3.567,0.993,0.0,1
25.23658,3.567,0.993,0.0,0
36.0861607,3.567,0.993,0.0,1
36.109,8.0,0.993,0.0,1
10.337864,3.567,0.993,0.0,0
9.967689,2.005,0.993,0.0,1
13.919301,3.567,0.993,0.0,0
0.954863,3.567,0.993,0.0,0
3.25182,33.2,0.993,0.0,1
5.032134,25.83,0.993,0.0,1
5.03207,36.70955114,0.993,0.0,1
6.45795,2.78,0.993,0.0,1
