PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
7.7991586,1.57,0.993,1.0,3.30605,4535.0,0.0423,1
3.883,1.06,0.993,1.0,3.30605,5726.0,0.0322,1
2.3330982,5.48,0.993,0.0,3.30605,3726.0,0.993,1
2.33293,3.2,0.993,0.0,3.30605,3508.0,714.1,1
20.2073,2.12,0.993,0.0,3.30605,5726.0,0.0735,1
36.7099,3.567,0.993,0.0,3.30605,5069.12,714.1,1
36.762337,3.44,0.993,0.0,3.30605,4932.0,0.177,1
19.565799,6.412,0.993,0.0,3.30605,4486.0,714.1,1
6.39916,1.48,0.993,0.0,3.30605,5726.0,0.0401,1
6.3991398,1.85,0.993,0.0,3.30605,5210.0,0.0449,1
2.72273204,3.567,0.993,0.0,3.30605,8002.0,1.494,1
15.695142,2.028,0.993,0.0,3.30605,4270.0,714.1,1
2.48038,1.44,0.993,0.0,3.30605,5726.0,0.0116,1
1.9668579,1.51,0.993,0.0,3.30605,5063.0,0.0322,1
1.96712,1.73,0.993,0.0,3.30605,5726.0,0.0361,1
6.146653835,3.567,0.993,0.0,3.30605,4419.0,714.1,0
12.726743,1.91,0.993,0.0,3.30605,4767.0,0.0579,1
13.2359,2.09,0.993,0.0,3.30605,5726.0,0.0469,1
0.18746328,217.0,0.993,0.0,3.30605,46696.0,1.32,1
8.63829,6.81,0.993,0.0,3.30605,3960.0,714.1,1
8.6381,15.99,0.993,0.0,3.30605,3987.0,714.1,1
8.63795,15.1,0.993,0.0,3.30605,5726.0,2.738,1
5.7968861,24.2,0.993,0.0,3.30605,4721.0,9.43,0
5.79687,27.81,0.993,0.0,3.30605,5192.0,714.1,0
22.197992,5.34,0.993,0.0,3.30605,3508.0,1.52,1
44.394,4.07,0.993,0.0,3.30605,5726.0,1.517,1
3.2908998,1.57,0.993,0.0,3.30605,4671.0,0.0406,1
0.877214,1.3,0.993,2.0,3.30605,5820.0,714.1,2
0.87724,1.565,11.1,2.0,3.30605,5679.0,714.1,2
0.877183,1.40575209,0.993,2.0,3.30605,5705.0,714.1,2
2.89607106,3.567,0.993,0.0,3.30605,3565.0,0.383,1
0.44433632,1.01,0.993,0.0,3.30605,5208.0,0.0134,1
0.444372,1.22,0.993,0.0,3.30605,5540.0,714.1,1
3.80464,1.22,0.993,2.0,3.30605,5726.0,714.1,2
7.28161,1.78,0.993,0.0,3.30605,3742.0,714.1,1
7.28076,2.6,0.993,0.0,3.30605,5726.0,0.1293,1
4.58328,2.21,0.993,0.0,3.30605,5726.0,0.152,1
5.28081,10.9,0.993,0.0,3.30605,6227.0,714.1,1
5.28130579,3.567,0.993,0.0,3.30605,6161.41,0.074,1
440.0,16.3,0.993,0.0,3.30605,4600.0,714.1,1
6.146653835,24.9,0.993,0.0,3.30605,5726.0,3.177,1
7.655533,2.328,0.993,0.0,3.30605,5114.0,714.1,1
27.770388,25.1,0.993,0.0,3.30605,4598.0,10.6,0
0.259669,0.77,0.993,0.0,3.30605,4340.0,714.1,1
0.25967056,0.742,0.993,0.0,3.30605,3982.0,0.0132,1
5.54583,0.441,0.993,0.0,3.30605,5726.0,0.0152,1
4.1333,1.2,0.993,0.0,3.30605,5726.0,0.112,1
1.9611469,5.93,0.993,0.0,3.30605,4166.0,0.727,1
1.96133691104,15.86577929,0.993,0.0,3.30605,4427.0,0.92350385,1
40.7302,7.8,0.993,0.0,3.30605,5840.0,714.1,1
40.7362,7.28,0.993,0.0,3.30605,5618.0,714.1,1
0.60408352,2.26,0.993,0.0,3.30605,4331.0,0.0963,1
3.52743,1.11,0.993,0.0,3.30605,3624.0,714.1,1
3.52674,1.32,0.993,0.0,3.30605,3413.0,714.1,1
3.5269024,2.98,0.993,0.0,3.30605,4332.0,0.167,1
9.321691,17.325,0.993,0.0,3.30605,5089.0,714.1,1
6.662,1.59,0.993,0.0,3.30605,5726.0,0.0946,1
2.71578,1.03,0.993,3.0,3.30605,5726.0,714.1,2
2.0478,0.90819,0.993,1.0,3.30605,4520.0,714.1,2
6.146653835,35.0,0.993,0.0,3.30605,5726.0,1.3972,1
27.27048734,3.567,0.993,0.0,3.30605,5990.87,3.413,0
27.24273,31.73,0.993,0.0,3.30605,6166.0,714.1,0
27.242912,18.8,0.993,0.0,3.30605,5547.0,3.7,0
1.395336,0.76,0.993,0.0,3.30605,5726.0,0.0665,1
1.39533316,3.567,0.993,0.0,3.30605,3433.0,0.054,1
1.3951513,0.879,0.993,0.0,3.30605,3390.0,0.0616,1
15.3791,1.89,0.993,0.0,3.30605,5726.0,0.256,1
33.51569,3.83,0.993,0.0,3.30605,5552.0,714.1,1
33.5116,2.89,0.993,0.0,3.30605,5726.0,0.0732,1
33.513607,2.47313225,0.993,0.0,3.30605,5628.0,714.1,1
33.515399,2.03,0.993,0.0,3.30605,4222.0,0.0822,1
3.96151,1.0,0.993,2.0,3.30605,5726.0,714.1,2
3.96165,1.48,0.993,2.0,3.30605,5726.0,0.0485,2
6.97251,2.01,0.993,0.0,3.30605,5726.0,0.0916,1
4.1698,1.04,0.993,1.0,3.30605,5053.0,714.1,2
4.16959,1.1,0.993,1.0,3.30605,5726.0,714.1,2
4.16888,1.41,0.993,1.0,3.30605,5726.0,0.0447,2
12.3389,2.11,0.993,1.0,3.30605,5726.0,0.1021,1
2.89465,1.75,0.993,0.0,3.30605,5726.0,0.0551,1
3.83794,1.51,0.993,0.0,3.30605,5726.0,0.0315,1
2790.0,12.2,0.993,0.0,3.30605,5100.0,714.1,1
8.91058,2.8,0.993,0.0,3.30605,5726.0,0.0592,1
28.2692,3.35,0.993,0.0,3.30605,5631.0,714.1,1
28.270642,2.79,0.993,0.0,3.30605,5545.0,0.0813,1
28.2671,2.94,0.993,0.0,3.30605,5726.0,0.0757,1
28.271761,2.7100633,0.993,0.0,3.30605,5548.0,714.1,1
28.2717,3.567,0.993,0.0,3.30605,5564.0,714.1,1
4.73172,1.7,0.993,0.0,3.30605,5726.0,0.0245,1
0.782022,1.58,0.993,0.0,3.30605,5726.0,0.0267,1
0.78214992,1.29,0.993,0.0,3.30605,5144.0,0.0226,1
6.4498648,2.63,0.993,0.0,3.30605,5395.0,0.0814,1
6.45027,2.29,0.993,0.0,3.30605,5726.0,0.0606,1
1.19478,1.65,0.993,0.0,3.30605,3671.0,714.1,0
6.146653835,3.567,0.993,0.0,3.30605,4786.0,714.1,0
1.5771832,33.4,0.993,0.0,3.30605,8210.0,2.49,0
3.262038,3.567,0.993,0.0,3.30605,10318.0,2.4289,1
21.140574,31.5,0.993,0.0,3.30605,6205.0,5.01,1
5.74372,3.567,0.993,0.0,3.30605,5726.0,0.7985,1
3.2923818,19.6,0.993,0.0,3.30605,7824.0,0.924,1
6.90487,53.0,0.993,0.0,3.30605,6599.0,714.1,1
6.905053,3.567,0.993,0.0,3.30605,5726.0,2.5067,1
6.9055211,33.6,0.993,0.0,3.30605,6722.0,2.65,1
1.696374,35.3,0.993,0.0,3.30605,5726.0,3.779,1
3.046136,76.0,0.993,0.0,3.30605,5726.0,3.778,1
3.0459383,19.0,0.993,0.0,3.30605,5529.0,3.82,1
3.04622,29.0,0.993,0.0,3.30605,5529.0,714.1,1
3.23792,3.567,0.993,0.0,3.30605,4500.0,0.0431,1
3.2367,1.58,0.993,0.0,3.30605,4863.0,714.1,1
6.2719092,60.0,0.993,0.0,3.30605,7254.0,9.29,1
23.7782,98.0,0.993,0.0,3.30605,7498.0,714.1,0
1.42636,6.66,0.993,0.0,3.30605,5726.0,0.03016,1
3.979287,37.5,0.993,0.0,3.30605,7430.0,3.5,1
2.1417519,86.2,0.993,0.0,3.30605,6492.0,24.8,1
2.86136,3.567,0.993,0.0,3.30605,3697.0,0.1169,1
3.10622,3.567,0.993,0.0,3.30605,3636.0,0.195,1
1.814553,3.567,0.993,0.0,3.30605,4618.0,1.289,1
12.1507,1.48,0.993,0.0,3.30605,5726.0,0.029,1
2.4343734,61.4,0.993,0.0,3.30605,5568.0,38.7,1
1.8490876,17.3,0.993,0.0,3.30605,5693.0,2.74,1
2.620724,11.7,0.993,0.0,3.30605,6013.0,0.889,1
2.620799,37.0,0.993,0.0,3.30605,5726.0,0.941,1
2.62077,58.0,0.993,0.0,3.30605,6302.0,714.1,1
6.14818,3.567,0.993,0.0,3.30605,6591.31,0.1513,1
1.49761,3.567,0.993,0.0,3.30605,5726.0,0.02228,1
6.479656,3.33165021,0.993,0.0,3.30605,5586.0,714.1,1
6.4804111,3.39,0.993,0.0,3.30605,5537.0,0.121,1
2.8445331,65.3,0.993,0.0,3.30605,6045.0,26.5,1
0.6687,2.22,0.993,0.0,3.30605,5726.0,0.01196,1
13.3461,42.0,0.993,0.0,3.30605,5726.0,0.5465,1
4.13737,24.5,0.993,0.0,3.30605,5726.0,1.049,1
4.1376047,7.33,0.993,0.0,3.30605,4581.0,0.911,1
2.469851,6.6,0.993,0.0,3.30605,5726.0,0.1234,1
0.690458,3.567,0.993,0.0,3.30605,6912.12,0.6655,1
0.689647,6.58,0.993,0.0,3.30605,6481.0,714.1,1
4.1687922,16.1,0.993,0.0,3.30605,6005.0,1.69,1
21.17051,81.0,0.993,0.0,3.30605,5726.0,1.5771,1
5.31937553733,19.66846395,0.993,0.0,3.30605,6350.0,0.6537084,1
5.319075,20.0,0.993,0.0,3.30605,5726.0,0.7124,1
12.86772,71.0,0.993,0.0,3.30605,6861.0,714.1,0
12.866412,61.0,0.993,0.0,3.30605,5726.0,3.1311,0
12.866539,22.3,0.993,0.0,3.30605,6066.0,3.01,0
1.84617,2.14,0.993,0.0,3.30605,3252.0,714.1,0
6.6223,3.567,0.993,0.0,3.30605,5000.0,0.348,1
0.5217136,452.0,0.993,0.0,3.30605,5726.0,1.4286,1
11.97495,256.0,0.993,0.0,3.30605,5200.0,714.1,1
5.9895,2.04,0.993,0.0,3.30605,5726.0,0.0354,1
15.4715,9.2,0.993,0.0,3.30605,5791.0,714.1,1
15.465691,4.13,0.993,0.0,3.30605,4989.0,0.249,1
15.466674,16.12109089,0.993,0.0,3.30605,5807.0,714.1,1
1.45556515,71.0,0.993,0.0,3.30605,5726.0,2.7008,1
3.3262396,1.16,0.993,0.0,3.30605,3404.0,0.101,1
3.32592848,3.567,0.993,0.0,3.30605,4017.0,0.091,1
3.3255,1080.0,0.993,0.0,3.30605,5726.0,0.1179,1
13.1426,200.0,0.993,0.0,3.30605,5726.0,0.529,1
4.4743465,3.06,0.993,0.0,3.30605,5248.0,0.12,1
4.47471,22.0,0.993,0.0,3.30605,5726.0,0.173,1
2.1989041,46.6,0.993,0.0,3.30605,4938.0,32.4,1
4.1657292,1.86,0.993,0.0,3.30605,3442.0,0.227,1
0.6308,3.567,0.993,0.0,3.30605,5726.0,5.52,0
0.2358684,6.1,0.993,0.0,3.30605,5726.0,0.0754,1
12.99109,43.0,0.993,0.0,3.30605,5726.0,0.602,1
1.8389349,0.837,0.993,0.0,3.30605,3930.0,0.0177,1
1.83916,0.62,0.993,0.0,3.30605,5726.0,0.01515,1
2.032664,1.92,0.993,0.0,3.30605,5726.0,0.1159,1
6.11706,1.76,0.993,0.0,3.30605,5726.0,0.0976,1
1.859017,64.0,0.993,0.0,3.30605,6842.0,714.1,1
1.85872487,3.567,0.993,0.0,3.30605,6015.0,4.143,1
1.8590179,30.5,0.993,0.0,3.30605,6244.0,4.44,1
6.146653835,12.81,0.993,0.0,3.30605,5726.0,0.3511,1
0.841202,82.0,0.993,0.0,3.30605,6237.0,714.1,0
0.8411257,0.884,0.993,0.0,3.30605,4289.0,0.015,1
0.17566,3.11,0.993,0.0,3.30605,6620.0,714.1,1
29.33873041,3.567,0.993,0.0,3.30605,3171.0,1.277,1
22.7984,9.0,0.993,0.0,3.30605,6195.0,714.1,0
1.68027,2.9,0.993,0.0,3.30605,5726.0,0.0262,1
0.7099504,80.0,0.993,0.0,3.30605,5726.0,1.6512,1
1.8204,3.567,0.993,0.0,3.30605,3112.0,0.5,0
2.809,3.567,0.993,0.0,3.30605,2901.0,4.73,0
1.4044283,3.66,0.993,0.0,3.30605,2721.0,7.26,0
3.4007758,5.57,0.993,0.0,3.30605,5520.0,0.331,1
8.2781,3.567,0.993,0.0,3.30605,6520.0,0.26,0
8.2758,10.2,0.993,0.0,3.30605,5926.0,714.1,0
8.2766395,0.724,0.993,0.0,3.30605,2586.0,0.371,0
0.6199,3.567,0.993,0.0,3.30605,2978.0,2.52,0
28.46762,37.0,0.993,0.0,3.30605,5726.0,3.1445,1
28.465633,18.4,0.993,0.0,3.30605,5700.0,3.09,1
4.5417,3.567,0.993,0.0,3.30605,2897.0,7.19,0
83830.0,12.0,0.993,0.0,3.30605,4000.0,714.1,1
8.79689,4.85,0.993,0.0,3.30605,5726.0,0.0527,1
1.153886,99.0,0.993,0.0,3.30605,6841.0,714.1,1
1.6398934,33.0,0.993,0.0,3.30605,5175.0,14.6,1
1.486243,58.0,0.993,0.0,3.30605,5991.0,714.1,0
23.210585,5.7,0.993,0.0,3.30605,5244.0,0.419,1
1.330023,44.0,0.993,0.0,3.30605,5726.0,0.2836,1
50.73641,10.31,0.993,0.0,3.30605,5726.0,0.3938,1
1.124,3.567,0.993,0.0,3.30605,3074.0,0.62,0
0.7474,3.567,0.993,0.0,3.30605,5726.0,0.17,0
46.1373,2.6,0.993,0.0,3.30605,5726.0,0.1137,1
1.957,3.567,0.993,0.0,3.30605,3913.0,0.01,1
22.6398,1.27,0.993,0.0,3.30605,5726.0,0.02,1
2.784496,2.09,0.993,0.0,3.30605,5726.0,0.585,1
0.64292573,3.567,0.993,0.0,3.30605,2914.0,2.46,1
2.8742,3.567,0.993,0.0,3.30605,3648.0,0.73,0
10.2236,132.0,0.993,0.0,3.30605,6960.0,714.1,1
1.6281,3.567,0.993,0.0,3.30605,5691.0,1.49,0
2.7518,0.669,0.993,0.0,3.30605,5726.0,0.00992,1
6.146653835,133.0,0.993,0.0,3.30605,5726.0,0.9753,1
1.5271792,3.567,0.993,0.0,3.30605,5359.0,0.192,1
7.8392,1.46,0.993,1.0,3.30605,5726.0,0.0158,1
9.2048,3.567,0.993,0.0,3.30605,11886.0,14.79,0
2.32046168,3.567,0.993,0.0,3.30605,5726.0,0.538,1
2.320937,15.7,0.993,0.0,3.30605,5726.0,0.3298,1
1.94297,2.571,0.993,0.0,3.30605,3197.0,714.1,1
1.3178719,62.0,0.993,0.0,3.30605,5726.0,1.978,0
1.3179,55.0,0.993,0.0,3.30605,5876.0,714.1,0
0.2338108,3.567,0.993,0.0,3.30605,5726.0,1.26,1
1.1488,3.567,0.993,0.0,3.30605,3429.0,0.98,0
46.38363,3.22,0.993,0.0,3.30605,5726.0,0.1771,1
46.40651,3.35,0.993,0.0,3.30605,4812.0,0.176,1
16.56127,0.957,0.993,0.0,3.30605,5726.0,0.109,1
18.357773,1.74,0.993,0.0,3.30605,4937.0,0.0452,1
18.3647,2.61,0.993,0.0,3.30605,5726.0,0.0421,1
49.8558,3.29,0.993,0.0,3.30605,5726.0,0.0539,1
4.98049071,3.567,0.993,0.0,3.30605,5234.0,0.041,1
4.981838,2.39347065,0.993,0.0,3.30605,5774.0,714.1,1
4.98205,2.3,0.993,0.0,3.30605,5594.0,714.1,1
4.9815,2.39,0.993,0.0,3.30605,5726.0,0.05902,1
3.30524,6.6,0.993,0.0,3.30605,5726.0,0.121,1
14.5444413,3.567,0.993,0.0,3.30605,5726.0,0.268,1
4.30221683,3.567,0.993,0.0,3.30605,7168.62,2.613,1
8.02678456,3.567,0.993,0.0,3.30605,4708.46,0.472,0
8.0241306,4.42,0.993,0.0,3.30605,3939.0,0.488,0
8.02415,194.0,0.993,0.0,3.30605,4734.0,714.1,0
8.02335,86.0,0.993,0.0,3.30605,5726.0,0.503,0
11.31028,18.9,0.993,0.0,3.30605,5726.0,1.773,1
16.63311,44.0,0.993,0.0,3.30605,5700.0,714.1,1
16.63091654,3.567,0.993,0.0,3.30605,5121.0,4.087,1
1.057171,1.51,0.993,0.0,3.30605,5726.0,0.0204,1
4.377326,27.0,0.993,0.0,3.30605,5928.0,714.1,0
4.37983009,3.567,0.993,0.0,3.30605,5982.0,3.43,0
4.3772986,16.6,0.993,0.0,3.30605,5102.0,3.84,0
0.980414,1.58,0.993,0.0,3.30605,4202.0,714.1,1
0.98036126,1.44,0.993,0.0,3.30605,3932.0,0.0523,1
0.97988263,3.567,0.993,0.0,3.30605,4063.0,0.042,1
0.980294,1.81,0.993,0.0,3.30605,5726.0,0.0655,1
14.2005,2.36,0.993,0.0,3.30605,5726.0,0.0856,1
28.8077,2.08,0.993,0.0,3.30605,5726.0,0.853,1
3.75927,68.0,0.993,0.0,3.30605,5726.0,0.361,1
2.41628,2.68,0.993,0.0,3.30605,5726.0,0.0704,1
2.4165066,0.988,0.993,0.0,3.30605,3483.0,0.056,1
0.3938505,13.7,0.993,0.0,3.30605,5726.0,0.0488,1
1.86732,0.648,0.993,0.0,3.30605,5726.0,0.00794,1
22.9735,2.61,0.993,0.0,3.30605,5726.0,0.0541,1
5.6683,3.567,0.993,0.0,3.30605,3521.0,6.49,0
14.65835,1.12,0.993,0.0,3.30605,5726.0,0.1029,1
4.27065,7.6,0.993,0.0,3.30605,5726.0,0.22,1
7.64309,8.0,0.993,0.0,3.30605,5726.0,0.236,1
2.167697,12.14,0.993,0.0,3.30605,5726.0,0.2228,1
19.2299,1.96,0.993,0.0,3.30605,5726.0,0.0922,1
5.07152,3.2,0.993,0.0,3.30605,5726.0,0.216,1
8.1191,57.0,0.993,0.0,3.30605,6040.0,714.1,1
16.235,11.0,0.993,0.0,3.30605,6040.0,714.1,1
24.9922,36.0,0.993,0.0,3.30605,6040.0,714.1,0
4.20773,1.47,0.993,0.0,3.30605,5726.0,0.0277,1
1.1761477,19.3,0.993,0.0,3.30605,5726.0,0.136,1
27.270191,2.5,0.993,0.0,3.30605,6171.0,714.1,1
2.475527,42.0,0.993,0.0,3.30605,5962.0,714.1,1
2.4756313,2.48,0.993,0.0,3.30605,5239.0,0.0798,1
2.475573,2.98,0.993,0.0,3.30605,5726.0,0.0898,1
17.7256773,15.4613,0.993,0.0,3.30605,6010.0,0.286,1
17.725837,6.63,0.993,0.0,3.30605,5971.0,0.299,1
17.72507,45.0,0.993,0.0,3.30605,6189.0,714.1,1
54.169832,22.0,0.993,0.0,3.30605,3836.0,13.6,1
8.0468,1.18,0.993,2.0,3.30605,5726.0,714.1,2
14.353438,2.159584,0.993,0.0,3.30605,5317.0,714.1,1
14.353347,2.19,0.993,0.0,3.30605,5162.0,0.0648,1
14.3533,2.18,0.993,0.0,3.30605,5726.0,0.0625,1
1.88282,2.6,0.993,0.0,3.30605,5726.0,0.595,1
6.4756,1.85,0.993,0.0,3.30605,5726.0,0.0174,1
2.31803,2.34,0.993,0.0,3.30605,5726.0,0.143,1
2.3181466,2.9,0.993,0.0,3.30605,4343.0,0.157,1
12.4292,1.1126,0.993,0.0,3.30605,5414.0,714.1,0
6.37733,0.76,0.993,0.0,3.30605,5726.0,0.0769,1
19.44212,22.0,0.993,0.0,3.30605,3864.0,714.1,0
8.3958,3.95,0.993,0.0,3.30605,5726.0,0.034,1
12.25823207,3.567,0.993,0.0,3.30605,5038.0,0.076,1
12.26422,2.22,0.993,0.0,3.30605,5726.0,0.0726,1
12.263354,2.16,0.993,0.0,3.30605,4980.0,0.0681,1
10.3631,1.64,0.993,0.0,3.30605,5726.0,0.062,1
4.50717,1.44,0.993,3.0,3.30605,5726.0,0.0267,2
4.50756,1.7,0.993,3.0,3.30605,5726.0,714.1,2
0.911724,1.4,0.993,3.0,3.30605,5724.0,714.1,2
0.9116567,1.35,0.993,3.0,3.30605,5648.0,0.0174,2
14.641541,2.94,0.993,3.0,3.30605,5648.0,0.0825,2
14.637,4.0,0.993,3.0,3.30605,6438.0,714.1,2
14.647531,2.6,0.993,3.0,3.30605,5724.0,714.1,2
9.38053,2.89,0.993,0.0,3.30605,5726.0,0.0385,1
9.3826,2.39,0.993,0.0,3.30605,6377.0,714.1,1
9.3813402,2.86,0.993,0.0,3.30605,6305.0,0.0358,1
5.6505,1.33,0.993,0.0,3.30605,5726.0,0.0164,1
4.2304959,2.56,0.993,0.0,3.30605,4335.0,0.123,1
4.23119,2.17,0.993,0.0,3.30605,5726.0,0.158,1
9.9487,1.48,0.993,0.0,3.30605,5726.0,0.01525,1
2.87814,1.01,0.993,1.0,3.30605,5726.0,714.1,2
4.1107634,1.01,0.993,1.0,3.30605,2989.0,0.263,1
1.131316,4.6,0.993,0.0,3.30605,6292.0,714.1,1
5.29853,3.32,0.993,2.0,3.30605,5726.0,0.197,2
5.29711,1.62,0.993,2.0,3.30605,5726.0,714.1,2
5.2986,1.7,0.993,2.0,3.30605,4114.0,714.1,2
0.35490972,1.45,0.993,2.0,3.30605,3893.0,0.0553,2
0.354884,1.2,0.993,2.0,3.30605,4114.0,714.1,2
4.1029,2.28,0.993,0.0,3.30605,5726.0,0.0124,1
14.454495,2.21,0.993,0.0,3.30605,4521.0,0.0843,1
28.564994,2.25,0.993,0.0,3.30605,4418.0,0.0914,1
5.879829,6.97,0.993,0.0,3.30605,5726.0,0.9542,1
5.87913354,3.567,0.993,0.0,3.30605,4111.0,0.841,1
5.8796123,6.5,0.993,0.0,3.30605,4089.0,0.922,1
5.87975,3.76,0.993,0.0,3.30605,4056.0,714.1,1
25.2768,25.0,0.993,0.0,3.30605,4215.0,714.1,0
3.2920598,4.54,0.993,0.0,3.30605,3764.0,0.642,1
7.445026,2.2805044,0.993,0.0,3.30605,5277.0,714.1,1
7.4448754,2.11,0.993,0.0,3.30605,5132.0,0.061,1
13.8543,3.18,0.993,0.0,3.30605,5726.0,0.0269,1
54.976021,39.1,0.993,0.0,3.30605,6333.0,6.46,1
2.59824,7.7,0.993,0.0,3.30605,5726.0,0.87,1
2.573088,34.0,0.993,0.0,3.30605,5165.0,714.1,1
2.5730187,17.2,0.993,0.0,3.30605,4488.0,5.2,1
0.35840528,1.92,0.993,0.0,3.30605,5862.0,0.0286,1
0.3584061,2.66,0.993,0.0,3.30605,5726.0,0.0341,1
4.00932,1.08,0.993,0.0,3.30605,5726.0,0.0227,1
20.6714,1.47,0.993,1.0,3.30605,5726.0,0.0455,1
6.146653835,7.72,0.993,0.0,3.30605,5726.0,0.2243,1
0.36747226,3.32,0.993,0.0,3.30605,6205.0,0.0556,1
6.57986525,3.567,0.993,0.0,3.30605,5874.0,0.561,1
3.59922,1.63,0.993,0.0,3.30605,5726.0,0.036,1
3.5990666,1.62,0.993,0.0,3.30605,5107.0,0.0365,1
3.59905,1.58797235,0.993,0.0,3.30605,5459.0,714.1,1
3.59912,1.46,0.993,0.0,3.30605,5518.0,714.1,1
5.01038,4.28,0.993,0.0,3.30605,5726.0,0.0718,1
2.25372,0.9,0.993,1.0,3.30605,5726.0,714.1,2
2.255436,1.0,0.993,1.0,3.30605,3297.0,714.1,2
0.62309386,2.52,0.993,1.0,3.30605,4231.0,0.126,1
11.63547,2.6,0.993,0.0,3.30605,5726.0,0.0767,1
1.982116,35.0,0.993,0.0,3.30605,5726.0,0.3731,1
36.9321,2.98,0.993,0.0,3.30605,5726.0,0.0856,1
1.35823,1.44,0.993,0.0,3.30605,5675.0,714.1,0
8.4532,2.66,0.993,0.0,3.30605,5726.0,0.0595,1
0.434827,1.62,0.993,0.0,3.30605,3724.0,714.1,1
0.434832,0.96,0.993,0.0,3.30605,5726.0,0.0762,1
1.5339666,1.47,0.993,0.0,3.30605,3757.0,0.0685,1
1.53402,1.13,0.993,0.0,3.30605,3698.0,714.1,1
0.3176828,11.9,0.993,0.0,3.30605,5726.0,1.593,1
1.58252,0.96,0.993,2.0,3.30605,5726.0,714.1,2
1.58316,1.22,0.993,2.0,3.30605,5726.0,0.03,2
17.501662,2.63,0.993,2.0,3.30605,4749.0,0.111,2
17.5125,2.15,0.993,2.0,3.30605,5726.0,0.0948,2
17.515472,2.094,0.993,2.0,3.30605,4752.0,714.1,2
10.49927,1.43,0.993,0.0,3.30605,5726.0,0.0575,1
