RESULTADOS DEL MODELO: XGBoost
113 CONFIRMED (CP) 98.76%
114 CANDIDATE (PC) 92.05%
115 CONFIRMED (CP) 99.10%
116 CANDIDATE (PC) 87.56%
117 CONFIRMED (CP) 91.84%
118 CANDIDATE (PC) 71.44%
119 CONFIRMED (CP) 97.68%
120 CANDIDATE (PC) 51.33%
121 CANDIDATE (PC) 79.21%
122 CANDIDATE (PC) 84.87%
123 FALSE POSITIVE 55.65%
124 CANDIDATE (PC) 55.46%
125 CANDIDATE (PC) 72.79%
126 FALSE POSITIVE 99.58%
127 CANDIDATE (PC) 85.68%
128 FALSE POSITIVE 80.40%
129 CONFIRMED (CP) 84.82%
130 CANDIDATE (PC) 92.07%
131 CONFIRMED (CP) 70.57%
132 CONFIRMED (CP) 74.33%
133 CANDIDATE (PC) 93.22%
134 CONFIRMED (CP) 72.33%
135 CONFIRMED (CP) 84.10%
136 CANDIDATE (PC) 80.38%
137 CONFIRMED (CP) 62.05%
138 FALSE POSITIVE 52.06%
139 CONFIRMED (CP) 97.72%
140 FALSE POSITIVE 99.83%
141 CANDIDATE (PC) 90.67%
142 CONFIRMED (CP) 99.15%
143 CONFIRMED (CP) 78.23%
144 FALSE POSITIVE 63.45%
145 CANDIDATE (PC) 44.46%
146 CONFIRMED (CP) 86.14%
147 CANDIDATE (PC) 64.56%
148 CONFIRMED (CP) 98.45%
149 CANDIDATE (PC) 89.98%
150 FALSE POSITIVE 97.02%
151 CONFIRMED (CP) 49.20%
152 CONFIRMED (CP) 50.04%
153 CONFIRMED (CP) 49.32%
154 CANDIDATE (PC) 92.41%
155 CONFIRMED (CP) 42.80%
156 CONFIRMED (CP) 63.41%
157 CONFIRMED (CP) 92.03%
158 CANDIDATE (PC) 78.47%
159 CONFIRMED (CP) 99.60%
160 CANDIDATE (PC) 69.53%
161 FALSE POSITIVE 70.87%
162 FALSE POSITIVE 90.31%
163 CONFIRMED (CP) 99.11%
164 FALSE POSITIVE 93.52%
165 CANDIDATE (PC) 95.16%
166 CONFIRMED (CP) 98.51%
167 CANDIDATE (PC) 92.26%
168 CANDIDATE (PC) 50.82%
169 CANDIDATE (PC) 95.17%
170 CANDIDATE (PC) 93.15%
171 CANDIDATE (PC) 58.54%
172 FALSE POSITIVE 82.35%
173 CANDIDATE (PC) 54.66%
174 CANDIDATE (PC) 73.57%
175 CANDIDATE (PC) 92.79%
176 CONFIRMED (CP) 93.09%
177 CONFIRMED (CP) 86.12%
178 CONFIRMED (CP) 94.02%
179 CANDIDATE (PC) 45.68%
180 CANDIDATE (PC) 93.66%
181 FALSE POSITIVE 59.13%
182 CANDIDATE (PC) 72.41%
183 CANDIDATE (PC) 50.77%
184 CONFIRMED (CP) 81.93%
185 CANDIDATE (PC) 92.81%
186 CANDIDATE (PC) 59.04%
187 FALSE POSITIVE 79.65%
188 CANDIDATE (PC) 89.66%
189 CANDIDATE (PC) 83.26%
190 FALSE POSITIVE 62.82%
191 FALSE POSITIVE 98.85%
192 FALSE POSITIVE 99.71%
193 CONFIRMED (CP) 99.21%
194 CANDIDATE (PC) 90.82%
195 CONFIRMED (CP) 56.21%
196 CANDIDATE (PC) 99.35%
197 CANDIDATE (PC) 59.95%
198 CONFIRMED (CP) 77.41%
199 FALSE POSITIVE 99.76%
200 CANDIDATE (PC) 80.69%
201 CANDIDATE (PC) 75.62%
202 CANDIDATE (PC) 50.24%
203 CONFIRMED (CP) 98.65%
204 CONFIRMED (CP) 88.60%
205 CANDIDATE (PC) 96.91%
206 FALSE POSITIVE 98.14%
207 FALSE POSITIVE 87.00%
208 CANDIDATE (PC) 87.97%
209 CANDIDATE (PC) 69.61%
210 CANDIDATE (PC) 91.12%
211 FALSE POSITIVE 98.18%
212 FALSE POSITIVE 55.72%
213 CANDIDATE (PC) 55.13%
214 FALSE POSITIVE 50.05%
215 CANDIDATE (PC) 90.27%
216 CANDIDATE (PC) 87.84%
217 FALSE POSITIVE 88.13%
218 CANDIDATE (PC) 79.13%
219 CONFIRMED (CP) 97.73%
220 CANDIDATE (PC) 99.77%
221 FALSE POSITIVE 99.89%
222 CONFIRMED (CP) 95.35%
223 FALSE POSITIVE 55.99%
224 CANDIDATE (PC) 86.39%
225 CONFIRMED (CP) 91.94%
226 CANDIDATE (PC) 94.87%
227 FALSE POSITIVE 82.32%
228 FALSE POSITIVE 46.10%
229 FALSE POSITIVE 56.57%
230 FALSE POSITIVE 99.85%
231 FALSE POSITIVE 96.42%
232 FALSE POSITIVE 72.35%
233 CONFIRMED (CP) 87.35%
234 FALSE POSITIVE 58.76%
235 CONFIRMED (CP) 97.55%
236 FALSE POSITIVE 83.05%
237 FALSE POSITIVE 99.78%
238 CONFIRMED (CP) 91.02%
239 FALSE POSITIVE 99.58%
240 CONFIRMED (CP) 98.02%
241 CONFIRMED (CP) 99.26%
242 CANDIDATE (PC) 66.87%
243 FALSE POSITIVE 56.58%
244 FALSE POSITIVE 61.47%
245 CONFIRMED (CP) 87.80%
246 CANDIDATE (PC) 92.73%
247 CONFIRMED (CP) 97.28%
248 CANDIDATE (PC) 54.68%
249 CANDIDATE (PC) 93.14%
250 CANDIDATE (PC) 68.78%
251 FALSE POSITIVE 67.17%
252 FALSE POSITIVE 54.53%
253 FALSE POSITIVE 64.09%
254 FALSE POSITIVE 83.23%
255 FALSE POSITIVE 99.34%
256 CANDIDATE (PC) 93.00%
257 FALSE POSITIVE 98.72%
258 CANDIDATE (PC) 93.03%
259 CANDIDATE (PC) 96.00%
260 CANDIDATE (PC) 93.08%
261 CONFIRMED (CP) 97.36%
262 FALSE POSITIVE 99.45%
263 FALSE POSITIVE 91.33%
264 CONFIRMED (CP) 99.79%
265 CANDIDATE (PC) 70.51%
266 CANDIDATE (PC) 89.03%
267 FALSE POSITIVE 70.01%
268 CONFIRMED (CP) 98.77%
269 CANDIDATE (PC) 95.13%
270 CONFIRMED (CP) 98.45%
271 FALSE POSITIVE 63.87%
272 FALSE POSITIVE 99.84%
273 FALSE POSITIVE 46.25%
274 FALSE POSITIVE 86.13%
275 FALSE POSITIVE 97.70%
276 CANDIDATE (PC) 91.76%
277 CANDIDATE (PC) 95.76%
278 CONFIRMED (CP) 98.11%
279 CONFIRMED (CP) 97.83%
280 CONFIRMED (CP) 50.53%
281 FALSE POSITIVE 99.91%
282 CONFIRMED (CP) 60.29%
283 CANDIDATE (PC) 91.64%
284 FALSE POSITIVE 64.10%
285 CANDIDATE (PC) 88.76%
286 CONFIRMED (CP) 54.65%
287 FALSE POSITIVE 96.04%
288 CONFIRMED (CP) 48.45%
289 CANDIDATE (PC) 75.06%
290 CANDIDATE (PC) 99.82%
291 CONFIRMED (CP) 85.84%
292 FALSE POSITIVE 63.55%
293 CANDIDATE (PC) 47.48%
294 CANDIDATE (PC) 95.71%
295 CANDIDATE (PC) 89.56%
296 FALSE POSITIVE 96.75%
297 FALSE POSITIVE 87.14%
298 CONFIRMED (CP) 98.97%
299 CANDIDATE (PC) 99.80%
300 FALSE POSITIVE 49.66%
301 CANDIDATE (PC) 93.89%
302 FALSE POSITIVE 87.44%
303 CANDIDATE (PC) 52.85%
304 FALSE POSITIVE 78.00%
305 CONFIRMED (CP) 62.80%
306 CONFIRMED (CP) 94.46%
307 CANDIDATE (PC) 66.67%
308 CONFIRMED (CP) 84.73%
309 FALSE POSITIVE 61.46%
310 CONFIRMED (CP) 98.83%
311 CANDIDATE (PC) 98.22%
312 CANDIDATE (PC) 98.87%
313 CANDIDATE (PC) 97.02%
314 FALSE POSITIVE 97.16%
315 FALSE POSITIVE 94.34%
316 CANDIDATE (PC) 97.47%
317 CANDIDATE (PC) 92.41%
318 FALSE POSITIVE 53.36%
319 CANDIDATE (PC) 59.65%
320 CONFIRMED (CP) 96.44%
321 CONFIRMED (CP) 95.97%
322 CANDIDATE (PC) 69.49%
323 CANDIDATE (PC) 98.48%
324 CANDIDATE (PC) 92.49%
325 CONFIRMED (CP) 99.67%
326 FALSE POSITIVE 62.63%
327 CANDIDATE (PC) 89.56%
328 CANDIDATE (PC) 92.16%
329 CONFIRMED (CP) 59.97%
330 CANDIDATE (PC) 77.44%
331 CANDIDATE (PC) 99.29%
332 CANDIDATE (PC) 57.49%
333 FALSE POSITIVE 91.61%
334 CANDIDATE (PC) 88.94%
335 FALSE POSITIVE 99.76%
336 CONFIRMED (CP) 57.62%
337 FALSE POSITIVE 54.70%
338 FALSE POSITIVE 99.00%
339 CONFIRMED (CP) 99.32%
340 FALSE POSITIVE 72.18%
341 FALSE POSITIVE 93.41%
342 CONFIRMED (CP) 81.55%
343 CONFIRMED (CP) 71.92%
344 CANDIDATE (PC) 91.39%
345 CONFIRMED (CP) 89.21%
346 CANDIDATE (PC) 47.81%
347 CANDIDATE (PC) 92.82%
348 CANDIDATE (PC) 75.48%
349 CONFIRMED (CP) 98.10%
350 CANDIDATE (PC) 70.22%
351 CONFIRMED (CP) 77.02%
352 FALSE POSITIVE 61.36%
353 FALSE POSITIVE 82.32%
354 CONFIRMED (CP) 97.26%
355 CONFIRMED (CP) 95.17%
356 CONFIRMED (CP) 95.23%
357 FALSE POSITIVE 77.22%
358 CANDIDATE (PC) 96.23%
359 CONFIRMED (CP) 96.23%
360 CANDIDATE (PC) 78.41%
361 FALSE POSITIVE 91.53%
362 CANDIDATE (PC) 86.52%
363 FALSE POSITIVE 98.70%
364 CANDIDATE (PC) 54.66%
365 CANDIDATE (PC) 90.06%
366 FALSE POSITIVE 70.16%
367 CANDIDATE (PC) 60.81%
368 CANDIDATE (PC) 96.42%
369 FALSE POSITIVE 97.90%
370 FALSE POSITIVE 97.66%
371 FALSE POSITIVE 62.78%
372 FALSE POSITIVE 99.76%
373 FALSE POSITIVE 94.89%
374 CANDIDATE (PC) 66.49%
375 CANDIDATE (PC) 95.10%
376 CONFIRMED (CP) 90.87%
377 FALSE POSITIVE 73.87%
378 FALSE POSITIVE 95.89%
379 CONFIRMED (CP) 98.99%
380 CONFIRMED (CP) 47.80%
381 CONFIRMED (CP) 94.20%
382 CONFIRMED (CP) 69.14%
383 FALSE POSITIVE 49.96%
384 FALSE POSITIVE 92.98%
385 FALSE POSITIVE 99.69%
386 CANDIDATE (PC) 53.31%
387 CANDIDATE (PC) 41.68%
388 FALSE POSITIVE 69.27%
389 CANDIDATE (PC) 71.37%
390 CANDIDATE (PC) 67.55%
391 CANDIDATE (PC) 85.87%
392 CONFIRMED (CP) 49.21%
393 CANDIDATE (PC) 94.41%
394 CANDIDATE (PC) 80.97%
395 FALSE POSITIVE 98.72%
396 FALSE POSITIVE 54.43%
397 FALSE POSITIVE 99.78%
398 CANDIDATE (PC) 96.85%
399 CANDIDATE (PC) 89.89%
400 FALSE POSITIVE 99.76%
401 CONFIRMED (CP) 56.57%
402 CONFIRMED (CP) 98.32%
403 FALSE POSITIVE 43.96%
404 CONFIRMED (CP) 80.50%
405 FALSE POSITIVE 89.06%
406 CANDIDATE (PC) 79.30%
407 CANDIDATE (PC) 91.98%
408 CANDIDATE (PC) 87.52%
409 CANDIDATE (PC) 78.04%
410 CANDIDATE (PC) 47.25%
411 CANDIDATE (PC) 79.67%
412 CANDIDATE (PC) 61.17%
413 CANDIDATE (PC) 68.05%
414 CONFIRMED (CP) 71.70%
415 FALSE POSITIVE 99.75%
416 CANDIDATE (PC) 97.60%
417 CONFIRMED (CP) 97.58%
418 FALSE POSITIVE 51.02%
419 FALSE POSITIVE 62.49%
420 CANDIDATE (PC) 92.79%
421 FALSE POSITIVE 99.64%
422 CANDIDATE (PC) 55.00%
423 CANDIDATE (PC) 94.53%
424 CANDIDATE (PC) 71.58%
425 CONFIRMED (CP) 84.35%
426 CONFIRMED (CP) 95.84%
427 CANDIDATE (PC) 90.43%
428 CONFIRMED (CP) 99.06%
429 CANDIDATE (PC) 61.31%
430 CANDIDATE (PC) 91.52%
431 FALSE POSITIVE 98.85%
432 FALSE POSITIVE 57.71%
433 FALSE POSITIVE 57.57%
434 CONFIRMED (CP) 99.51%
435 CONFIRMED (CP) 89.06%
436 CONFIRMED (CP) 97.63%
437 CANDIDATE (PC) 79.62%
438 FALSE POSITIVE 86.04%
439 CANDIDATE (PC) 60.49%
440 CONFIRMED (CP) 95.39%
441 CANDIDATE (PC) 94.88%
442 CANDIDATE (PC) 88.61%
443 CONFIRMED (CP) 96.64%
444 CANDIDATE (PC) 88.49%
445 FALSE POSITIVE 61.40%
446 FALSE POSITIVE 35.35%
447 CONFIRMED (CP) 98.97%
448 FALSE POSITIVE 55.32%
449 FALSE POSITIVE 94.47%
450 CONFIRMED (CP) 61.07%
451 CONFIRMED (CP) 86.99%
452 FALSE POSITIVE 56.83%
453 FALSE POSITIVE 62.50%
454 CONFIRMED (CP) 94.64%
455 FALSE POSITIVE 82.30%
456 CANDIDATE (PC) 49.29%
457 CANDIDATE (PC) 92.89%
458 FALSE POSITIVE 51.91%
459 CANDIDATE (PC) 94.24%
460 FALSE POSITIVE 76.69%
461 FALSE POSITIVE 84.38%
462 CONFIRMED (CP) 72.50%
463 CONFIRMED (CP) 62.96%
464 CANDIDATE (PC) 59.88%
465 CANDIDATE (PC) 43.60%
466 CONFIRMED (CP) 97.28%
467 CANDIDATE (PC) 94.48%
468 FALSE POSITIVE 99.13%
469 FALSE POSITIVE 40.95%
470 FALSE POSITIVE 59.10%
471 CANDIDATE (PC) 71.46%
472 CANDIDATE (PC) 54.40%
473 FALSE POSITIVE 99.41%
474 CANDIDATE (PC) 89.69%
475 CANDIDATE (PC) 99.60%
476 CONFIRMED (CP) 96.95%
477 FALSE POSITIVE 55.59%
478 CONFIRMED (CP) 98.52%
479 FALSE POSITIVE 60.80%
480 CANDIDATE (PC) 62.07%
481 CONFIRMED (CP) 96.21%
482 CONFIRMED (CP) 98.99%
483 CONFIRMED (CP) 68.91%
484 CONFIRMED (CP) 82.03%
485 CONFIRMED (CP) 94.75%
486 CANDIDATE (PC) 93.25%
487 CANDIDATE (PC) 81.56%
488 FALSE POSITIVE 64.72%
489 CANDIDATE (PC) 94.95%
490 CONFIRMED (CP) 42.27%
491 CANDIDATE (PC) 81.26%
492 CONFIRMED (CP) 98.86%
493 CANDIDATE (PC) 52.60%
494 FALSE POSITIVE 61.08%
495 CANDIDATE (PC) 69.59%
496 CANDIDATE (PC) 85.31%
497 FALSE POSITIVE 99.71%
498 CANDIDATE (PC) 93.99%
499 CANDIDATE (PC) 49.84%
500 CANDIDATE (PC) 92.76%
501 CANDIDATE (PC) 92.35%
502 CANDIDATE (PC) 80.63%
503 CONFIRMED (CP) 98.39%
504 CONFIRMED (CP) 84.93%
505 FALSE POSITIVE 97.46%
506 CONFIRMED (CP) 97.88%
507 CANDIDATE (PC) 66.23%
508 CANDIDATE (PC) 86.01%
509 CANDIDATE (PC) 94.56%
510 CONFIRMED (CP) 96.51%
511 CONFIRMED (CP) 75.89%
512 CANDIDATE (PC) 89.56%
513 FALSE POSITIVE 75.71%
514 CONFIRMED (CP) 91.69%
515 CANDIDATE (PC) 89.63%
516 CONFIRMED (CP) 93.13%
517 CONFIRMED (CP) 53.48%
518 CANDIDATE (PC) 97.33%
519 FALSE POSITIVE 65.87%
520 CANDIDATE (PC) 95.06%
521 FALSE POSITIVE 69.31%
522 CANDIDATE (PC) 66.76%
523 CONFIRMED (CP) 92.14%
524 CANDIDATE (PC) 46.37%
525 FALSE POSITIVE 84.08%
526 CONFIRMED (CP) 97.61%
527 CONFIRMED (CP) 66.84%
528 FALSE POSITIVE 55.68%
529 CANDIDATE (PC) 92.85%
530 CONFIRMED (CP) 97.69%
531 FALSE POSITIVE 99.79%
532 FALSE POSITIVE 97.36%
533 CANDIDATE (PC) 87.15%
534 CONFIRMED (CP) 50.79%
535 CONFIRMED (CP) 59.16%
536 FALSE POSITIVE 99.47%
537 CANDIDATE (PC) 53.38%
538 FALSE POSITIVE 39.84%
539 FALSE POSITIVE 76.60%
540 CANDIDATE (PC) 95.21%
541 CONFIRMED (CP) 99.39%
542 FALSE POSITIVE 98.82%
543 FALSE POSITIVE 99.90%
544 CONFIRMED (CP) 95.73%
545 CONFIRMED (CP) 96.23%
546 CANDIDATE (PC) 88.14%
547 CANDIDATE (PC) 95.38%
548 CANDIDATE (PC) 58.27%
549 FALSE POSITIVE 74.92%
550 FALSE POSITIVE 72.85%
551 FALSE POSITIVE 97.77%
552 CANDIDATE (PC) 86.07%
553 FALSE POSITIVE 90.14%
554 FALSE POSITIVE 69.84%
555 FALSE POSITIVE 96.76%
556 CONFIRMED (CP) 78.21%
557 FALSE POSITIVE 91.92%
558 CONFIRMED (CP) 86.04%
559 CONFIRMED (CP) 50.84%
560 CANDIDATE (PC) 85.58%
561 CANDIDATE (PC) 90.37%
562 FALSE POSITIVE 73.30%
563 CANDIDATE (PC) 86.87%
564 CANDIDATE (PC) 58.16%
565 CANDIDATE (PC) 83.54%
566 CANDIDATE (PC) 42.27%
567 FALSE POSITIVE 99.35%
568 FALSE POSITIVE 99.02%
569 CANDIDATE (PC) 55.72%
570 CANDIDATE (PC) 66.80%
571 CANDIDATE (PC) 96.30%
572 FALSE POSITIVE 48.75%
573 CONFIRMED (CP) 54.21%
574 CANDIDATE (PC) 88.74%
575 FALSE POSITIVE 99.82%
576 FALSE POSITIVE 99.42%
577 FALSE POSITIVE 48.72%
578 CANDIDATE (PC) 93.40%
579 CANDIDATE (PC) 65.27%
580 FALSE POSITIVE 56.31%
581 FALSE POSITIVE 95.06%
582 FALSE POSITIVE 46.44%
583 FALSE POSITIVE 98.87%
584 CONFIRMED (CP) 59.59%
585 CANDIDATE (PC) 92.90%
586 FALSE POSITIVE 99.58%
587 FALSE POSITIVE 59.80%
588 CONFIRMED (CP) 57.28%
589 FALSE POSITIVE 99.56%
590 CONFIRMED (CP) 96.83%
591 CONFIRMED (CP) 99.28%
592 FALSE POSITIVE 94.15%
593 CONFIRMED (CP) 37.56%
594 FALSE POSITIVE 97.15%
595 CANDIDATE (PC) 83.06%
596 CONFIRMED (CP) 83.23%
597 CONFIRMED (CP) 99.22%
598 FALSE POSITIVE 99.72%
599 CONFIRMED (CP) 91.10%
600 CANDIDATE (PC) 88.63%
601 CANDIDATE (PC) 65.02%
602 FALSE POSITIVE 80.23%
603 CANDIDATE (PC) 82.98%
604 CANDIDATE (PC) 81.74%
605 CONFIRMED (CP) 96.79%
606 CANDIDATE (PC) 92.59%
607 FALSE POSITIVE 70.49%
608 CONFIRMED (CP) 64.75%
609 CONFIRMED (CP) 94.83%
610 CANDIDATE (PC) 75.43%
611 CONFIRMED (CP) 99.42%
612 CANDIDATE (PC) 93.37%
613 CANDIDATE (PC) 90.79%
614 CANDIDATE (PC) 90.47%
615 CANDIDATE (PC) 53.20%
616 CANDIDATE (PC) 85.03%
617 FALSE POSITIVE 73.73%
618 CANDIDATE (PC) 91.87%
619 CONFIRMED (CP) 99.05%
620 FALSE POSITIVE 98.23%
621 CONFIRMED (CP) 79.82%
622 FALSE POSITIVE 99.81%
623 CONFIRMED (CP) 39.88%
624 FALSE POSITIVE 99.74%
625 CONFIRMED (CP) 95.94%
626 CONFIRMED (CP) 98.71%
627 FALSE POSITIVE 55.44%
628 FALSE POSITIVE 98.18%
629 CONFIRMED (CP) 60.11%
630 CANDIDATE (PC) 49.69%
631 FALSE POSITIVE 84.65%
632 CANDIDATE (PC) 47.03%
633 CANDIDATE (PC) 62.97%
634 CANDIDATE (PC) 93.97%
635 CANDIDATE (PC) 48.06%
636 CANDIDATE (PC) 73.29%
637 CANDIDATE (PC) 92.00%
638 CONFIRMED (CP) 77.80%
639 CANDIDATE (PC) 92.08%
640 FALSE POSITIVE 86.48%
641 CONFIRMED (CP) 94.46%
642 CONFIRMED (CP) 76.20%
643 CONFIRMED (CP) 97.78%
644 FALSE POSITIVE 97.96%
645 CANDIDATE (PC) 98.66%
646 CONFIRMED (CP) 74.39%
647 CANDIDATE (PC) 47.92%
648 CANDIDATE (PC) 98.93%
649 CANDIDATE (PC) 63.77%
650 CANDIDATE (PC) 83.30%
651 CANDIDATE (PC) 78.03%
652 CONFIRMED (CP) 96.53%
653 CONFIRMED (CP) 50.58%
654 FALSE POSITIVE 99.80%
655 CONFIRMED (CP) 97.61%
656 CANDIDATE (PC) 71.04%
657 FALSE POSITIVE 66.13%
658 CANDIDATE (PC) 44.36%
659 FALSE POSITIVE 83.34%
660 FALSE POSITIVE 86.27%
661 CANDIDATE (PC) 90.16%
662 CANDIDATE (PC) 84.24%
663 CANDIDATE (PC) 92.87%
664 CANDIDATE (PC) 91.23%
665 CANDIDATE (PC) 95.29%
666 CONFIRMED (CP) 70.40%
667 FALSE POSITIVE 99.85%
668 CONFIRMED (CP) 91.07%
669 FALSE POSITIVE 99.91%
670 FALSE POSITIVE 88.32%
671 CONFIRMED (CP) 99.55%
672 FALSE POSITIVE 66.35%
673 FALSE POSITIVE 62.60%
674 CONFIRMED (CP) 83.26%
675 FALSE POSITIVE 75.16%
676 CANDIDATE (PC) 89.88%
677 CONFIRMED (CP) 77.49%
678 FALSE POSITIVE 99.69%
679 CANDIDATE (PC) 79.10%
680 CANDIDATE (PC) 62.82%
681 CONFIRMED (CP) 98.67%
682 FALSE POSITIVE 99.81%
683 CANDIDATE (PC) 99.76%
684 FALSE POSITIVE 99.68%
685 CANDIDATE (PC) 95.50%
686 FALSE POSITIVE 97.46%
687 CANDIDATE (PC) 84.45%
688 CONFIRMED (CP) 97.88%
689 CANDIDATE (PC) 94.49%
690 FALSE POSITIVE 52.48%
691 FALSE POSITIVE 42.04%
692 CONFIRMED (CP) 99.52%
693 CONFIRMED (CP) 78.58%
694 CONFIRMED (CP) 98.22%
695 CONFIRMED (CP) 74.12%
696 FALSE POSITIVE 65.25%
697 CONFIRMED (CP) 99.20%
698 CONFIRMED (CP) 65.15%
699 CONFIRMED (CP) 43.59%
700 FALSE POSITIVE 81.58%
701 CONFIRMED (CP) 46.56%
702 CONFIRMED (CP) 85.88%
703 CANDIDATE (PC) 94.67%
704 FALSE POSITIVE 41.89%
705 FALSE POSITIVE 99.88%
706 FALSE POSITIVE 84.00%
707 FALSE POSITIVE 99.75%
708 CANDIDATE (PC) 99.10%
709 CANDIDATE (PC) 74.63%
710 CONFIRMED (CP) 98.62%
711 FALSE POSITIVE 51.63%
712 CONFIRMED (CP) 91.15%
713 FALSE POSITIVE 97.81%
714 CANDIDATE (PC) 79.17%
715 CANDIDATE (PC) 79.80%
716 FALSE POSITIVE 51.86%
717 CONFIRMED (CP) 84.92%
718 FALSE POSITIVE 74.72%
719 CONFIRMED (CP) 96.91%
720 FALSE POSITIVE 62.57%
721 CANDIDATE (PC) 76.23%
722 FALSE POSITIVE 94.12%
723 FALSE POSITIVE 52.10%
724 CONFIRMED (CP) 97.78%
725 CONFIRMED (CP) 98.73%
726 CANDIDATE (PC) 84.11%
727 CONFIRMED (CP) 95.25%
728 CONFIRMED (CP) 87.68%
729 CONFIRMED (CP) 54.37%
730 CANDIDATE (PC) 59.08%
731 CANDIDATE (PC) 53.31%
732 CANDIDATE (PC) 51.20%
733 CANDIDATE (PC) 56.00%
